Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PIO.txt

Data for: 2016-01-27 02:55:00 UTC - 2016-12-22 14:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PIO	2016-01-27 02:55:00	0.0	-0.038	0.122	0.307	0.0	-0.019	0.065	0.295	1	0.2	0.523	1.529	1.0	2.212	0.0	2016-01-26	21:55:00	US/Eastern
PIO	2016-01-27 03:10:00	0.0	-0.038	0.122	0.307	0.0	-0.019	0.065	0.295	1	0.2	0.523	1.529	1.0	2.212	0.0	2016-01-26	22:10:00	US/Eastern
PIO	2016-01-27 03:25:00	0.0	-0.038	0.122	0.307	0.0	-0.019	0.065	0.295	1	0.2	0.523	1.529	1.0	2.212	0.0	2016-01-26	22:25:00	US/Eastern
PIO	2016-01-27 03:40:00	0.0	-0.038	0.122	0.307	0.0	-0.019	0.065	0.295	1	0.2	0.523	1.529	1.0	2.212	0.0	2016-01-26	22:40:00	US/Eastern
PIO	2016-01-27 03:55:00	0.0	-0.038	0.122	0.307	0.0	-0.019	0.065	0.295	1	0.2	0.523	1.529	1.0	2.212	0.0	2016-01-26	22:55:00	US/Eastern
PIO	2016-01-27 04:10:00	0.0	-0.038	0.122	0.307	0.0	-0.019	0.065	0.295	1	0.2	0.523	1.529	1.0	2.212	0.0	2016-01-26	23:10:00	US/Eastern
PIO	2016-01-27 04:25:00	0.0	-0.038	0.122	0.307	0.0	-0.019	0.065	0.295	1	0.2	0.523	1.529	1.0	2.212	0.0	2016-01-26	23:25:00	US/Eastern
PIO	2016-01-27 04:40:00	0.0	-0.038	0.122	0.307	0.0	-0.019	0.065	0.295	1	0.2	0.523	1.529	1.0	2.212	0.0	2016-01-26	23:40:00	US/Eastern
PIO	2016-01-27 04:55:00	0.0	-0.038	0.122	0.307	0.0	-0.019	0.065	0.295	1	0.2	0.523	1.529	1.0	2.212	0.0	2016-01-26	23:55:00	US/Eastern
PIO	2016-01-27 05:10:00	0.0	-0.038	0.122	0.307	0.0	-0.019	0.065	0.295	1	0.2	0.523	1.529	1.0	2.212	0.0	2016-01-27	00:10:00	US/Eastern
