Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PPH.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-30 19:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PPH	2016-01-20 05:10:00	-0.075	0.008	0.129	-0.638	-0.04	-0.002	0.064	-0.578	2	0.831	0.995	1.175	1.0	2.081	0.035	2016-01-20	00:10:00	US/Eastern
PPH	2016-01-20 05:25:00	-0.075	0.008	0.13	-0.638	-0.039	-0.003	0.064	-0.572	2	0.832	0.995	1.174	1.0	2.081	0.007	2016-01-20	00:25:00	US/Eastern
PPH	2016-01-20 05:40:00	-0.075	0.008	0.13	-0.638	-0.039	-0.003	0.064	-0.565	2	0.832	0.995	1.174	1.0	2.081	0.013	2016-01-20	00:40:00	US/Eastern
PPH	2016-01-20 05:55:00	-0.075	0.008	0.13	-0.637	-0.038	-0.003	0.064	-0.558	2	0.833	0.994	1.174	1.0	2.081	0.02	2016-01-20	00:55:00	US/Eastern
PPH	2016-01-20 06:10:00	-0.075	0.007	0.13	-0.637	-0.038	-0.003	0.064	-0.552	2	0.833	0.994	1.174	1.0	2.081	0.027	2016-01-20	01:10:00	US/Eastern
PPH	2016-01-20 06:25:00	-0.075	0.007	0.13	-0.636	-0.038	-0.003	0.064	-0.545	2	0.834	0.994	1.173	1.0	2.081	0.033	2016-01-20	01:25:00	US/Eastern
PPH	2016-01-20 06:40:00	-0.075	0.007	0.13	-0.636	-0.037	-0.003	0.064	-0.539	2	0.834	0.994	1.173	1.0	2.081	0.006	2016-01-20	01:40:00	US/Eastern
PPH	2016-01-20 06:55:00	-0.075	0.007	0.13	-0.636	-0.037	-0.003	0.064	-0.532	2	0.835	0.994	1.173	1.0	2.081	0.013	2016-01-20	01:55:00	US/Eastern
PPH	2016-01-20 07:10:00	-0.075	0.007	0.13	-0.635	-0.037	-0.003	0.064	-0.526	2	0.835	0.993	1.172	1.0	2.081	0.019	2016-01-20	02:10:00	US/Eastern
PPH	2016-01-20 07:25:00	-0.075	0.007	0.13	-0.635	-0.036	-0.003	0.064	-0.52	2	0.836	0.993	1.172	1.0	2.081	0.025	2016-01-20	02:25:00	US/Eastern
PPH	2016-01-20 07:40:00	-0.075	0.007	0.13	-0.635	-0.036	-0.003	0.064	-0.514	2	0.836	0.993	1.172	1.0	2.081	0.032	2016-01-20	02:40:00	US/Eastern
PPH	2016-01-20 07:55:00	-0.075	0.007	0.13	-0.634	-0.035	-0.003	0.064	-0.507	2	0.837	0.993	1.171	1.0	2.081	0.006	2016-01-20	02:55:00	US/Eastern
PPH	2016-01-20 08:10:00	-0.075	0.007	0.13	-0.634	-0.035	-0.003	0.064	-0.501	2	0.838	0.993	1.171	1.0	2.081	0.012	2016-01-20	03:10:00	US/Eastern
PPH	2016-01-20 08:25:00	-0.075	0.007	0.13	-0.633	-0.035	-0.003	0.064	-0.495	2	0.838	0.992	1.171	1.0	2.081	0.018	2016-01-20	03:25:00	US/Eastern
PPH	2016-01-20 08:40:00	-0.075	0.007	0.13	-0.633	-0.034	-0.003	0.064	-0.489	2	0.839	0.992	1.17	1.0	2.081	0.024	2016-01-20	03:40:00	US/Eastern
PPH	2016-01-20 08:55:00	-0.075	0.007	0.13	-0.633	-0.034	-0.003	0.064	-0.483	2	0.839	0.992	1.17	1.0	2.081	0.03	2016-01-20	03:55:00	US/Eastern
PPH	2016-01-20 09:10:00	-0.075	0.007	0.13	-0.632	-0.034	-0.003	0.064	-0.478	2	0.84	0.992	1.17	1.0	2.081	0.006	2016-01-20	04:10:00	US/Eastern
PPH	2016-01-20 09:25:00	-0.075	0.007	0.13	-0.632	-0.033	-0.003	0.065	-0.472	2	0.84	0.992	1.17	1.0	2.081	0.012	2016-01-20	04:25:00	US/Eastern
PPH	2016-01-20 09:40:00	-0.075	0.007	0.13	-0.632	-0.033	-0.003	0.065	-0.466	2	0.841	0.992	1.169	1.0	2.081	0.017	2016-01-20	04:40:00	US/Eastern
PPH	2016-01-20 09:55:00	-0.075	0.007	0.13	-0.631	-0.033	-0.003	0.065	-0.46	2	0.841	0.991	1.169	1.0	2.081	0.023	2016-01-20	04:55:00	US/Eastern
PPH	2016-01-20 10:10:00	-0.075	0.007	0.13	-0.631	-0.032	-0.003	0.065	-0.455	2	0.842	0.991	1.169	1.0	2.081	0.029	2016-01-20	05:10:00	US/Eastern
PPH	2016-01-20 10:25:00	-0.075	0.007	0.13	-0.631	-0.032	-0.003	0.065	-0.449	2	0.842	0.991	1.168	1.0	2.081	0.006	2016-01-20	05:25:00	US/Eastern
PPH	2016-01-20 10:40:00	-0.075	0.007	0.13	-0.63	-0.032	-0.003	0.065	-0.443	2	0.843	0.991	1.168	1.0	2.081	0.011	2016-01-20	05:40:00	US/Eastern
PPH	2016-01-20 10:55:00	-0.075	0.007	0.13	-0.63	-0.031	-0.003	0.065	-0.438	2	0.843	0.991	1.168	1.0	2.081	0.017	2016-01-20	05:55:00	US/Eastern
PPH	2016-01-20 11:10:00	-0.075	0.007	0.13	-0.629	-0.031	-0.003	0.065	-0.432	2	0.844	0.99	1.167	1.0	2.081	0.022	2016-01-20	06:10:00	US/Eastern
PPH	2016-01-20 11:25:00	-0.075	0.007	0.13	-0.629	-0.031	-0.003	0.065	-0.427	2	0.844	0.99	1.167	1.0	2.081	0.028	2016-01-20	06:25:00	US/Eastern
PPH	2016-01-20 11:40:00	-0.075	0.007	0.13	-0.629	-0.03	-0.003	0.065	-0.422	2	0.845	0.99	1.167	1.0	2.081	0.005	2016-01-20	06:40:00	US/Eastern
PPH	2016-01-20 11:55:00	-0.075	0.007	0.13	-0.628	-0.03	-0.003	0.065	-0.416	2	0.845	0.99	1.167	1.0	2.081	0.011	2016-01-20	06:55:00	US/Eastern
PPH	2016-01-20 12:10:00	-0.075	0.007	0.13	-0.628	-0.03	-0.003	0.065	-0.411	2	0.846	0.99	1.166	1.0	2.081	0.016	2016-01-20	07:10:00	US/Eastern
PPH	2016-01-20 12:25:00	-0.075	0.007	0.13	-0.628	-0.029	-0.003	0.065	-0.406	2	0.846	0.989	1.166	1.0	2.081	0.021	2016-01-20	07:25:00	US/Eastern
PPH	2016-01-20 12:40:00	-0.075	0.006	0.13	-0.627	-0.029	-0.003	0.065	-0.401	2	0.847	0.989	1.166	1.0	2.081	0.026	2016-01-20	07:40:00	US/Eastern
