Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PSAU.txt

Data for: 2016-01-25 16:55:00 UTC - 2016-12-24 08:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PSAU	2016-01-25 16:55:00	0.15	0.008	0.034	4.249	0.15	0.007	0.034	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	11:55:00	US/Eastern
PSAU	2016-01-25 17:10:00	0.15	0.008	0.034	4.249	0.148	0.007	0.033	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	12:10:00	US/Eastern
PSAU	2016-01-25 17:25:00	0.15	0.008	0.034	4.249	0.147	0.007	0.033	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	12:25:00	US/Eastern
PSAU	2016-01-25 17:40:00	0.15	0.008	0.034	4.249	0.145	0.007	0.032	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	12:40:00	US/Eastern
PSAU	2016-01-25 17:55:00	0.15	0.008	0.034	4.249	0.144	0.007	0.032	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	12:55:00	US/Eastern
PSAU	2016-01-25 18:10:00	0.15	0.008	0.034	4.249	0.142	0.007	0.032	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	13:10:00	US/Eastern
PSAU	2016-01-25 18:25:00	0.15	0.008	0.034	4.249	0.141	0.007	0.031	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	13:25:00	US/Eastern
PSAU	2016-01-25 18:40:00	0.15	0.008	0.034	4.249	0.139	0.007	0.031	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	13:40:00	US/Eastern
PSAU	2016-01-25 18:55:00	0.15	0.008	0.034	4.249	0.138	0.007	0.031	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	13:55:00	US/Eastern
PSAU	2016-01-25 19:10:00	0.15	0.008	0.034	4.249	0.137	0.007	0.031	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	14:10:00	US/Eastern
PSAU	2016-01-25 19:25:00	0.15	0.008	0.034	4.249	0.135	0.007	0.03	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	14:25:00	US/Eastern
PSAU	2016-01-25 19:40:00	0.15	0.008	0.034	4.249	0.134	0.007	0.03	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	14:40:00	US/Eastern
PSAU	2016-01-25 19:55:00	0.15	0.008	0.034	4.249	0.132	0.007	0.03	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	14:55:00	US/Eastern
PSAU	2016-01-25 20:10:00	0.15	0.008	0.034	4.249	0.131	0.007	0.029	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	15:10:00	US/Eastern
PSAU	2016-01-25 20:25:00	0.15	0.008	0.034	4.249	0.13	0.006	0.029	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	15:25:00	US/Eastern
PSAU	2016-01-25 20:40:00	0.15	0.008	0.034	4.249	0.128	0.006	0.029	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	15:40:00	US/Eastern
PSAU	2016-01-25 20:55:00	0.15	0.008	0.034	4.249	0.127	0.006	0.028	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	15:55:00	US/Eastern
PSAU	2016-01-25 21:10:00	0.15	0.008	0.034	4.249	0.126	0.006	0.028	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	16:10:00	US/Eastern
PSAU	2016-01-25 21:25:00	0.15	0.008	0.034	4.249	0.124	0.006	0.028	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	16:25:00	US/Eastern
PSAU	2016-01-25 21:40:00	0.15	0.008	0.034	4.249	0.123	0.006	0.028	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	16:40:00	US/Eastern
PSAU	2016-01-25 21:55:00	0.15	0.008	0.034	4.249	0.122	0.006	0.027	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	16:55:00	US/Eastern
PSAU	2016-01-25 22:10:00	0.15	0.008	0.034	4.249	0.12	0.006	0.027	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	17:10:00	US/Eastern
PSAU	2016-01-25 22:25:00	0.15	0.008	0.034	4.249	0.119	0.006	0.027	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	17:25:00	US/Eastern
PSAU	2016-01-25 22:40:00	0.15	0.008	0.034	4.249	0.118	0.006	0.026	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	17:40:00	US/Eastern
PSAU	2016-01-25 22:55:00	0.15	0.008	0.034	4.249	0.117	0.006	0.026	4.249	1	0.1	0.308	2.924	1.0	3.209	0.0	2016-01-25	17:55:00	US/Eastern
