Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PSCC.txt

Data for: 2016-01-26 17:25:00 UTC - 2016-12-31 14:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PSCC	2016-01-26 17:25:00	0.1	0.01	0.031	2.924	0.099	0.007	0.024	3.917	1	0.15	0.366	2.32	1.0	2.681	4.14	2016-01-26	12:25:00	US/Eastern
PSCC	2016-01-26 17:40:00	0.1	0.01	0.031	2.924	0.098	0.007	0.023	3.91	1	0.15	0.366	2.32	1.0	2.681	-0.006	2016-01-26	12:40:00	US/Eastern
PSCC	2016-01-26 17:55:00	0.1	0.01	0.031	2.924	0.097	0.007	0.023	3.904	1	0.15	0.366	2.32	1.0	2.681	-0.013	2016-01-26	12:55:00	US/Eastern
PSCC	2016-01-26 18:10:00	0.1	0.01	0.031	2.924	0.096	0.007	0.023	3.897	1	0.15	0.366	2.32	1.0	2.681	-0.019	2016-01-26	13:10:00	US/Eastern
PSCC	2016-01-26 18:25:00	0.1	0.01	0.031	2.924	0.095	0.007	0.023	3.891	1	0.15	0.366	2.32	1.0	2.681	-0.026	2016-01-26	13:25:00	US/Eastern
PSCC	2016-01-26 18:40:00	0.1	0.01	0.031	2.924	0.094	0.007	0.022	3.884	1	0.15	0.366	2.32	1.0	2.681	-0.033	2016-01-26	13:40:00	US/Eastern
PSCC	2016-01-26 18:55:00	0.1	0.01	0.031	2.924	0.093	0.007	0.022	3.877	1	0.15	0.366	2.32	1.0	2.681	-0.007	2016-01-26	13:55:00	US/Eastern
PSCC	2016-01-26 19:10:00	0.1	0.01	0.031	2.924	0.092	0.007	0.022	3.87	1	0.15	0.366	2.32	1.0	2.681	-0.014	2016-01-26	14:10:00	US/Eastern
PSCC	2016-01-26 19:25:00	0.1	0.01	0.031	2.924	0.091	0.007	0.022	3.863	1	0.15	0.366	2.32	1.0	2.681	-0.021	2016-01-26	14:25:00	US/Eastern
PSCC	2016-01-26 19:40:00	0.1	0.01	0.031	2.924	0.09	0.007	0.022	3.856	1	0.15	0.366	2.32	1.0	2.681	-0.028	2016-01-26	14:40:00	US/Eastern
PSCC	2016-01-26 19:55:00	0.1	0.01	0.031	2.924	0.089	0.007	0.022	3.849	1	0.15	0.366	2.32	1.0	2.681	-0.035	2016-01-26	14:55:00	US/Eastern
PSCC	2016-01-26 20:10:00	0.1	0.01	0.031	2.924	0.088	0.006	0.021	3.841	1	0.15	0.366	2.32	1.0	2.681	-0.007	2016-01-26	15:10:00	US/Eastern
PSCC	2016-01-26 20:25:00	0.1	0.01	0.031	2.924	0.088	0.006	0.021	3.834	1	0.15	0.366	2.32	1.0	2.681	-0.015	2016-01-26	15:25:00	US/Eastern
PSCC	2016-01-26 20:40:00	0.1	0.01	0.031	2.924	0.087	0.006	0.021	3.826	1	0.15	0.366	2.32	1.0	2.681	-0.023	2016-01-26	15:40:00	US/Eastern
PSCC	2016-01-26 20:55:00	0.1	0.01	0.031	2.924	0.086	0.006	0.021	3.818	1	0.15	0.366	2.32	1.0	2.681	-0.03	2016-01-26	15:55:00	US/Eastern
PSCC	2016-01-26 21:10:00	0.1	0.01	0.031	2.924	0.085	0.006	0.021	3.81	1	0.15	0.366	2.32	1.0	2.681	-0.038	2016-01-26	16:10:00	US/Eastern
PSCC	2016-01-26 21:25:00	0.1	0.01	0.031	2.924	0.084	0.006	0.02	3.802	1	0.15	0.366	2.32	1.0	2.681	-0.008	2016-01-26	16:25:00	US/Eastern
PSCC	2016-01-26 21:40:00	0.1	0.01	0.031	2.924	0.083	0.006	0.02	3.794	1	0.15	0.366	2.32	1.0	2.681	-0.016	2016-01-26	16:40:00	US/Eastern
PSCC	2016-01-26 21:55:00	0.1	0.01	0.031	2.924	0.082	0.006	0.02	3.786	1	0.15	0.366	2.32	1.0	2.681	-0.024	2016-01-26	16:55:00	US/Eastern
PSCC	2016-01-26 22:10:00	0.1	0.01	0.031	2.924	0.081	0.006	0.02	3.777	1	0.15	0.366	2.32	1.0	2.681	-0.033	2016-01-26	17:10:00	US/Eastern
PSCC	2016-01-26 22:25:00	0.1	0.01	0.031	2.924	0.081	0.006	0.02	3.769	1	0.15	0.366	2.32	1.0	2.681	-0.041	2016-01-26	17:25:00	US/Eastern
PSCC	2016-01-26 22:40:00	0.1	0.01	0.031	2.924	0.08	0.006	0.02	3.76	1	0.15	0.366	2.32	1.0	2.681	-0.009	2016-01-26	17:40:00	US/Eastern
PSCC	2016-01-26 22:55:00	0.1	0.01	0.031	2.924	0.079	0.006	0.019	3.751	1	0.15	0.366	2.32	1.0	2.681	-0.017	2016-01-26	17:55:00	US/Eastern
