Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - QDEF.txt

Data for: 2016-01-20 20:10:00 UTC - 2016-11-23 06:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
QDEF	2016-01-20 20:10:00	0.063	0.003	0.014	4.249	0.062	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	15:10:00	US/Eastern
QDEF	2016-01-20 20:25:00	0.063	0.003	0.014	4.249	0.062	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	15:25:00	US/Eastern
QDEF	2016-01-20 20:40:00	0.063	0.003	0.014	4.249	0.061	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	15:40:00	US/Eastern
QDEF	2016-01-20 20:55:00	0.063	0.003	0.014	4.249	0.06	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	15:55:00	US/Eastern
QDEF	2016-01-20 21:10:00	0.063	0.003	0.014	4.249	0.06	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	16:10:00	US/Eastern
QDEF	2016-01-20 21:25:00	0.063	0.003	0.014	4.249	0.059	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	16:25:00	US/Eastern
QDEF	2016-01-20 21:40:00	0.063	0.003	0.014	4.249	0.059	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	16:40:00	US/Eastern
QDEF	2016-01-20 21:55:00	0.063	0.003	0.014	4.249	0.058	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	16:55:00	US/Eastern
QDEF	2016-01-20 22:10:00	0.063	0.003	0.014	4.249	0.057	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	17:10:00	US/Eastern
QDEF	2016-01-20 22:25:00	0.063	0.003	0.014	4.249	0.057	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	17:25:00	US/Eastern
QDEF	2016-01-20 22:40:00	0.063	0.003	0.014	4.249	0.056	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	17:40:00	US/Eastern
QDEF	2016-01-20 22:55:00	0.063	0.003	0.014	4.249	0.056	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	17:55:00	US/Eastern
QDEF	2016-01-20 23:10:00	0.063	0.003	0.014	4.249	0.055	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	18:10:00	US/Eastern
QDEF	2016-01-20 23:25:00	0.063	0.003	0.014	4.249	0.054	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	18:25:00	US/Eastern
QDEF	2016-01-20 23:40:00	0.063	0.003	0.014	4.249	0.054	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	18:40:00	US/Eastern
QDEF	2016-01-20 23:55:00	0.063	0.003	0.014	4.249	0.053	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	18:55:00	US/Eastern
QDEF	2016-01-21 00:10:00	0.063	0.003	0.014	4.249	0.053	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	19:10:00	US/Eastern
QDEF	2016-01-21 00:25:00	0.063	0.003	0.014	4.249	0.052	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	19:25:00	US/Eastern
QDEF	2016-01-21 00:40:00	0.063	0.003	0.014	4.249	0.052	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	19:40:00	US/Eastern
QDEF	2016-01-21 00:55:00	0.063	0.003	0.014	4.249	0.051	0.003	0.011	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	19:55:00	US/Eastern
QDEF	2016-01-21 01:10:00	0.063	0.003	0.014	4.249	0.051	0.003	0.011	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	20:10:00	US/Eastern
QDEF	2016-01-21 01:25:00	0.063	0.003	0.014	4.249	0.05	0.003	0.011	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	20:25:00	US/Eastern
QDEF	2016-01-21 01:40:00	0.063	0.003	0.014	4.249	0.05	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	20:40:00	US/Eastern
QDEF	2016-01-21 01:55:00	0.063	0.003	0.014	4.249	0.049	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	20:55:00	US/Eastern
QDEF	2016-01-21 02:10:00	0.063	0.003	0.014	4.249	0.049	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	21:10:00	US/Eastern
QDEF	2016-01-21 02:25:00	0.063	0.003	0.014	4.249	0.048	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	21:25:00	US/Eastern
QDEF	2016-01-21 02:40:00	0.063	0.003	0.014	4.249	0.048	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	21:40:00	US/Eastern
QDEF	2016-01-21 02:55:00	0.063	0.003	0.014	4.249	0.047	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	21:55:00	US/Eastern
QDEF	2016-01-21 03:10:00	0.063	0.003	0.014	4.249	0.047	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	22:10:00	US/Eastern
QDEF	2016-01-21 03:25:00	0.063	0.003	0.014	4.249	0.046	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	22:25:00	US/Eastern
QDEF	2016-01-21 03:40:00	0.063	0.003	0.014	4.249	0.046	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	22:40:00	US/Eastern
QDEF	2016-01-21 03:55:00	0.063	0.003	0.014	4.249	0.045	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	22:55:00	US/Eastern
QDEF	2016-01-21 04:10:00	0.063	0.003	0.014	4.249	0.045	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	23:10:00	US/Eastern
QDEF	2016-01-21 04:25:00	0.063	0.003	0.014	4.249	0.044	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	23:25:00	US/Eastern
QDEF	2016-01-21 04:40:00	0.063	0.003	0.014	4.249	0.044	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	23:40:00	US/Eastern
QDEF	2016-01-21 04:55:00	0.063	0.003	0.014	4.249	0.043	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-20	23:55:00	US/Eastern
QDEF	2016-01-21 05:10:00	0.063	0.003	0.014	4.249	0.043	0.002	0.01	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	00:10:00	US/Eastern
QDEF	2016-01-21 05:25:00	0.063	0.003	0.014	4.249	0.042	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	00:25:00	US/Eastern
QDEF	2016-01-21 05:40:00	0.063	0.003	0.014	4.249	0.042	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	00:40:00	US/Eastern
QDEF	2016-01-21 05:55:00	0.063	0.003	0.014	4.249	0.042	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	00:55:00	US/Eastern
QDEF	2016-01-21 06:10:00	0.063	0.003	0.014	4.249	0.041	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	01:10:00	US/Eastern
QDEF	2016-01-21 06:25:00	0.063	0.003	0.014	4.249	0.041	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	01:25:00	US/Eastern
QDEF	2016-01-21 06:40:00	0.063	0.003	0.014	4.249	0.04	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	01:40:00	US/Eastern
QDEF	2016-01-21 06:55:00	0.063	0.003	0.014	4.249	0.04	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	01:55:00	US/Eastern
QDEF	2016-01-21 07:10:00	0.063	0.003	0.014	4.249	0.039	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	02:10:00	US/Eastern
QDEF	2016-01-21 07:25:00	0.063	0.003	0.014	4.249	0.039	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	02:25:00	US/Eastern
QDEF	2016-01-21 07:40:00	0.063	0.003	0.014	4.249	0.039	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	02:40:00	US/Eastern
QDEF	2016-01-21 07:55:00	0.063	0.003	0.014	4.249	0.038	0.002	0.009	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	02:55:00	US/Eastern
QDEF	2016-01-21 08:10:00	0.063	0.003	0.014	4.249	0.038	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	03:10:00	US/Eastern
QDEF	2016-01-21 08:25:00	0.063	0.003	0.014	4.249	0.037	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	03:25:00	US/Eastern
QDEF	2016-01-21 08:40:00	0.063	0.003	0.014	4.249	0.037	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	03:40:00	US/Eastern
QDEF	2016-01-21 08:55:00	0.063	0.003	0.014	4.249	0.037	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	03:55:00	US/Eastern
QDEF	2016-01-21 09:10:00	0.063	0.003	0.014	4.249	0.036	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	04:10:00	US/Eastern
QDEF	2016-01-21 09:25:00	0.063	0.003	0.014	4.249	0.036	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	04:25:00	US/Eastern
QDEF	2016-01-21 09:40:00	0.063	0.003	0.014	4.249	0.036	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	04:40:00	US/Eastern
QDEF	2016-01-21 09:55:00	0.063	0.003	0.014	4.249	0.035	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	04:55:00	US/Eastern
QDEF	2016-01-21 10:10:00	0.063	0.003	0.014	4.249	0.035	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	05:10:00	US/Eastern
QDEF	2016-01-21 10:25:00	0.063	0.003	0.014	4.249	0.034	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	05:25:00	US/Eastern
QDEF	2016-01-21 10:40:00	0.063	0.003	0.014	4.249	0.034	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	05:40:00	US/Eastern
QDEF	2016-01-21 10:55:00	0.063	0.003	0.014	4.249	0.034	0.002	0.008	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	05:55:00	US/Eastern
QDEF	2016-01-21 11:10:00	0.063	0.003	0.014	4.249	0.033	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	06:10:00	US/Eastern
QDEF	2016-01-21 11:25:00	0.063	0.003	0.014	4.249	0.033	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	06:25:00	US/Eastern
QDEF	2016-01-21 11:40:00	0.063	0.003	0.014	4.249	0.033	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	06:40:00	US/Eastern
QDEF	2016-01-21 11:55:00	0.063	0.003	0.014	4.249	0.032	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	06:55:00	US/Eastern
QDEF	2016-01-21 12:10:00	0.063	0.003	0.014	4.249	0.032	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	07:10:00	US/Eastern
QDEF	2016-01-21 12:25:00	0.063	0.003	0.014	4.249	0.032	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	07:25:00	US/Eastern
QDEF	2016-01-21 12:40:00	0.063	0.003	0.014	4.249	0.031	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	07:40:00	US/Eastern
QDEF	2016-01-21 12:55:00	0.063	0.003	0.014	4.249	0.031	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	07:55:00	US/Eastern
QDEF	2016-01-21 13:10:00	0.063	0.003	0.014	4.249	0.031	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	08:10:00	US/Eastern
QDEF	2016-01-21 13:25:00	0.063	0.003	0.014	4.249	0.03	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	08:25:00	US/Eastern
QDEF	2016-01-21 13:40:00	0.063	0.003	0.014	4.249	0.03	0.002	0.007	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	08:40:00	US/Eastern
QDEF	2016-01-21 13:55:00	0.063	0.003	0.014	4.249	0.03	0.001	0.007	4.249	1	0.05	0.224	4.249	1.0	1.752	0.0	2016-01-21	08:55:00	US/Eastern
QDEF	2016-01-21 14:10:00	0.063	0.003	0.014	4.249	0.029	0.001	0.007	4.249	1	0.05	0.224	4.249	1.0	3.05	0.0	2016-01-21	09:10:00	US/Eastern
QDEF	2016-01-21 14:25:00	0.063	0.003	0.014	4.225	0.029	0.001	0.007	4.225	1	0.051	0.225	4.225	1.0	3.05	-0.024	2016-01-21	09:25:00	US/Eastern
QDEF	2016-01-21 14:40:00	0.063	0.003	0.014	4.203	0.029	0.001	0.007	4.201	1	0.051	0.226	4.203	1.0	3.05	-0.048	2016-01-21	09:40:00	US/Eastern
QDEF	2016-01-21 14:55:00	0.063	0.003	0.014	4.18	0.029	0.001	0.006	4.176	1	0.052	0.227	4.18	1.0	3.05	-0.073	2016-01-21	09:55:00	US/Eastern
QDEF	2016-01-21 15:10:00	0.063	0.003	0.014	4.158	0.028	0.001	0.006	4.151	1	0.052	0.228	4.158	1.0	3.05	-0.025	2016-01-21	10:10:00	US/Eastern
QDEF	2016-01-21 15:25:00	0.063	0.003	0.014	4.136	0.028	0.001	0.006	4.125	1	0.053	0.229	4.136	1.0	3.05	-0.051	2016-01-21	10:25:00	US/Eastern
QDEF	2016-01-21 15:40:00	0.063	0.003	0.014	4.115	0.028	0.001	0.006	4.098	1	0.053	0.23	4.115	1.0	3.05	-0.078	2016-01-21	10:40:00	US/Eastern
QDEF	2016-01-21 15:55:00	0.063	0.003	0.014	4.094	0.027	0.001	0.006	4.071	1	0.054	0.231	4.094	1.0	3.05	-0.105	2016-01-21	10:55:00	US/Eastern
QDEF	2016-01-21 16:10:00	0.063	0.003	0.015	4.073	0.027	0.001	0.006	4.043	1	0.054	0.232	4.073	1.0	3.05	-0.133	2016-01-21	11:10:00	US/Eastern
QDEF	2016-01-21 16:25:00	0.063	0.003	0.015	4.052	0.027	0.001	0.006	4.015	1	0.055	0.233	4.052	1.0	3.05	-0.028	2016-01-21	11:25:00	US/Eastern
QDEF	2016-01-21 16:40:00	0.063	0.003	0.015	4.032	0.027	0.001	0.006	3.986	1	0.055	0.234	4.032	1.0	3.05	-0.057	2016-01-21	11:40:00	US/Eastern
QDEF	2016-01-21 16:55:00	0.063	0.003	0.015	4.012	0.026	0.001	0.006	3.957	1	0.056	0.235	4.012	1.0	3.05	-0.086	2016-01-21	11:55:00	US/Eastern
QDEF	2016-01-21 17:10:00	0.063	0.004	0.015	3.992	0.026	0.001	0.006	3.927	1	0.056	0.236	3.992	1.0	3.05	-0.116	2016-01-21	12:10:00	US/Eastern
QDEF	2016-01-21 17:25:00	0.063	0.004	0.015	3.973	0.026	0.001	0.006	3.897	1	0.057	0.237	3.973	1.0	3.05	-0.146	2016-01-21	12:25:00	US/Eastern
QDEF	2016-01-21 17:40:00	0.063	0.004	0.015	3.954	0.025	0.001	0.006	3.866	1	0.057	0.238	3.954	1.0	3.05	-0.031	2016-01-21	12:40:00	US/Eastern
QDEF	2016-01-21 17:55:00	0.063	0.004	0.015	3.935	0.025	0.001	0.006	3.835	1	0.058	0.239	3.935	1.0	3.05	-0.062	2016-01-21	12:55:00	US/Eastern
QDEF	2016-01-21 18:10:00	0.063	0.004	0.015	3.916	0.025	0.001	0.006	3.803	1	0.058	0.24	3.916	1.0	3.05	-0.094	2016-01-21	13:10:00	US/Eastern
