Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - QLTC.txt

Data for: 2016-07-20 05:10:00 UTC - 2016-09-10 21:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
QLTC	2016-07-20 05:10:00	0.238	0.012	0.053	4.249	0.236	0.012	0.053	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	01:10:00	US/Eastern
QLTC	2016-07-20 05:25:00	0.238	0.012	0.053	4.249	0.234	0.012	0.052	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	01:25:00	US/Eastern
QLTC	2016-07-20 05:40:00	0.238	0.012	0.053	4.249	0.231	0.012	0.052	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	01:40:00	US/Eastern
QLTC	2016-07-20 05:55:00	0.238	0.012	0.053	4.249	0.229	0.011	0.051	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	01:55:00	US/Eastern
QLTC	2016-07-20 06:10:00	0.238	0.012	0.053	4.249	0.227	0.011	0.051	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	02:10:00	US/Eastern
QLTC	2016-07-20 06:25:00	0.238	0.012	0.053	4.249	0.224	0.011	0.05	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	02:25:00	US/Eastern
QLTC	2016-07-20 06:40:00	0.238	0.012	0.053	4.249	0.222	0.011	0.05	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	02:40:00	US/Eastern
QLTC	2016-07-20 06:55:00	0.238	0.012	0.053	4.249	0.22	0.011	0.049	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	02:55:00	US/Eastern
QLTC	2016-07-20 07:10:00	0.238	0.012	0.053	4.249	0.217	0.011	0.049	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	03:10:00	US/Eastern
QLTC	2016-07-20 07:25:00	0.238	0.012	0.053	4.249	0.215	0.011	0.048	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	03:25:00	US/Eastern
QLTC	2016-07-20 07:40:00	0.238	0.012	0.053	4.249	0.213	0.011	0.048	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	03:40:00	US/Eastern
QLTC	2016-07-20 07:55:00	0.238	0.012	0.053	4.249	0.211	0.011	0.047	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	03:55:00	US/Eastern
QLTC	2016-07-20 08:10:00	0.238	0.012	0.053	4.249	0.208	0.01	0.047	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	04:10:00	US/Eastern
QLTC	2016-07-20 08:25:00	0.238	0.012	0.053	4.249	0.206	0.01	0.046	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	04:25:00	US/Eastern
QLTC	2016-07-20 08:40:00	0.238	0.012	0.053	4.249	0.204	0.01	0.046	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	04:40:00	US/Eastern
QLTC	2016-07-20 08:55:00	0.238	0.012	0.053	4.249	0.202	0.01	0.045	4.249	1	0.05	0.224	4.249	1.0	1.836	0.0	2016-07-20	04:55:00	US/Eastern
