Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - QQQC.txt

Data for: 2016-01-21 13:40:00 UTC - 2016-12-21 06:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
QQQC	2016-01-21 13:40:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.15	0.366	2.32	1.0	2.614	0.0	2016-01-21	08:40:00	US/Eastern
QQQC	2016-01-21 13:55:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.15	0.366	2.32	1.0	2.614	0.0	2016-01-21	08:55:00	US/Eastern
QQQC	2016-01-21 14:10:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.15	0.366	2.32	1.0	2.36	0.0	2016-01-21	09:10:00	US/Eastern
QQQC	2016-01-21 14:25:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.151	0.367	2.315	1.0	2.36	0.0	2016-01-21	09:25:00	US/Eastern
QQQC	2016-01-21 14:40:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.151	0.367	2.311	1.0	2.36	0.0	2016-01-21	09:40:00	US/Eastern
QQQC	2016-01-21 14:55:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.152	0.368	2.306	1.0	2.36	0.0	2016-01-21	09:55:00	US/Eastern
QQQC	2016-01-21 15:10:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.152	0.368	2.301	1.0	2.36	0.0	2016-01-21	10:10:00	US/Eastern
QQQC	2016-01-21 15:25:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.153	0.369	2.297	1.0	2.36	0.0	2016-01-21	10:25:00	US/Eastern
QQQC	2016-01-21 15:40:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.153	0.369	2.292	1.0	2.36	0.0	2016-01-21	10:40:00	US/Eastern
QQQC	2016-01-21 15:55:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.154	0.37	2.288	1.0	2.36	0.0	2016-01-21	10:55:00	US/Eastern
QQQC	2016-01-21 16:10:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.154	0.37	2.283	1.0	2.36	0.0	2016-01-21	11:10:00	US/Eastern
QQQC	2016-01-21 16:25:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.155	0.371	2.278	1.0	2.36	0.0	2016-01-21	11:25:00	US/Eastern
QQQC	2016-01-21 16:40:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.155	0.372	2.274	1.0	2.36	0.0	2016-01-21	11:40:00	US/Eastern
QQQC	2016-01-21 16:55:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.156	0.372	2.269	1.0	2.36	0.0	2016-01-21	11:55:00	US/Eastern
QQQC	2016-01-21 17:10:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.156	0.373	2.265	1.0	2.36	0.0	2016-01-21	12:10:00	US/Eastern
QQQC	2016-01-21 17:25:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.157	0.373	2.26	1.0	2.36	0.0	2016-01-21	12:25:00	US/Eastern
QQQC	2016-01-21 17:40:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.157	0.374	2.256	1.0	2.36	0.0	2016-01-21	12:40:00	US/Eastern
QQQC	2016-01-21 17:55:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.158	0.374	2.252	1.0	2.36	0.0	2016-01-21	12:55:00	US/Eastern
QQQC	2016-01-21 18:10:00	0.0	-0.02	0.064	0.314	0.0	-0.013	0.04	0.322	1	0.158	0.375	2.247	1.0	2.36	0.0	2016-01-21	13:10:00	US/Eastern
