Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - QUAL.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-29 20:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
QUAL	2016-01-20 05:10:00	0.25	0.014	0.06	3.944	0.174	0.009	0.04	4.11	2	0.25	0.55	3.181	1.0	3.411	-0.013	2016-01-20	00:10:00	US/Eastern
QUAL	2016-01-20 05:25:00	0.25	0.014	0.06	3.944	0.172	0.009	0.04	4.107	2	0.25	0.55	3.181	1.0	3.411	-0.003	2016-01-20	00:25:00	US/Eastern
QUAL	2016-01-20 05:40:00	0.25	0.014	0.06	3.944	0.171	0.009	0.039	4.104	2	0.25	0.55	3.181	1.0	3.411	-0.006	2016-01-20	00:40:00	US/Eastern
QUAL	2016-01-20 05:55:00	0.25	0.014	0.06	3.944	0.169	0.009	0.039	4.101	2	0.25	0.55	3.181	1.0	3.411	-0.009	2016-01-20	00:55:00	US/Eastern
QUAL	2016-01-20 06:10:00	0.25	0.014	0.06	3.944	0.167	0.009	0.039	4.098	2	0.25	0.55	3.181	1.0	3.411	-0.011	2016-01-20	01:10:00	US/Eastern
QUAL	2016-01-20 06:25:00	0.25	0.014	0.06	3.944	0.165	0.009	0.038	4.095	2	0.25	0.55	3.181	1.0	3.411	-0.014	2016-01-20	01:25:00	US/Eastern
QUAL	2016-01-20 06:40:00	0.25	0.014	0.06	3.944	0.164	0.009	0.038	4.092	2	0.25	0.55	3.181	1.0	3.411	-0.003	2016-01-20	01:40:00	US/Eastern
QUAL	2016-01-20 06:55:00	0.25	0.014	0.06	3.944	0.162	0.009	0.038	4.089	2	0.25	0.55	3.181	1.0	3.411	-0.006	2016-01-20	01:55:00	US/Eastern
QUAL	2016-01-20 07:10:00	0.25	0.014	0.06	3.944	0.16	0.008	0.037	4.086	2	0.25	0.55	3.181	1.0	3.411	-0.009	2016-01-20	02:10:00	US/Eastern
QUAL	2016-01-20 07:25:00	0.25	0.014	0.06	3.944	0.159	0.008	0.037	4.082	2	0.25	0.55	3.181	1.0	3.411	-0.013	2016-01-20	02:25:00	US/Eastern
QUAL	2016-01-20 07:40:00	0.25	0.014	0.06	3.944	0.157	0.008	0.036	4.079	2	0.25	0.55	3.181	1.0	3.411	-0.016	2016-01-20	02:40:00	US/Eastern
QUAL	2016-01-20 07:55:00	0.25	0.014	0.06	3.944	0.155	0.008	0.036	4.076	2	0.25	0.55	3.181	1.0	3.411	-0.003	2016-01-20	02:55:00	US/Eastern
QUAL	2016-01-20 08:10:00	0.25	0.014	0.06	3.944	0.154	0.008	0.036	4.072	2	0.25	0.55	3.181	1.0	3.411	-0.007	2016-01-20	03:10:00	US/Eastern
QUAL	2016-01-20 08:25:00	0.25	0.014	0.06	3.944	0.152	0.008	0.035	4.069	2	0.25	0.55	3.181	1.0	3.411	-0.01	2016-01-20	03:25:00	US/Eastern
