Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - REA.txt

Data for: 2016-01-23 13:10:00 UTC - 2016-12-22 06:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
REA	2016-01-23 13:10:00	0.25	0.03	0.082	2.691	0.25	0.024	0.067	3.371	1	0.3	0.657	1.066	1.0	1.91	3.659	2016-01-23	08:10:00	US/Eastern
REA	2016-01-23 13:25:00	0.25	0.03	0.082	2.691	0.247	0.024	0.066	3.358	1	0.3	0.657	1.066	1.0	1.91	-0.014	2016-01-23	08:25:00	US/Eastern
REA	2016-01-23 13:40:00	0.25	0.03	0.082	2.691	0.244	0.024	0.066	3.344	1	0.3	0.657	1.066	1.0	1.91	-0.028	2016-01-23	08:40:00	US/Eastern
REA	2016-01-23 13:55:00	0.25	0.03	0.082	2.691	0.242	0.024	0.066	3.33	1	0.3	0.657	1.066	1.0	1.91	-0.042	2016-01-23	08:55:00	US/Eastern
REA	2016-01-23 14:10:00	0.25	0.03	0.082	2.691	0.239	0.024	0.065	3.315	1	0.3	0.657	1.066	1.0	1.969	-0.056	2016-01-23	09:10:00	US/Eastern
REA	2016-01-23 14:25:00	0.25	0.03	0.082	2.684	0.237	0.024	0.065	3.289	1	0.3	0.657	1.066	1.0	1.969	-0.082	2016-01-23	09:25:00	US/Eastern
REA	2016-01-23 14:40:00	0.25	0.03	0.082	2.678	0.235	0.024	0.065	3.263	1	0.3	0.657	1.066	1.0	1.969	-0.026	2016-01-23	09:40:00	US/Eastern
REA	2016-01-23 14:55:00	0.25	0.03	0.082	2.671	0.232	0.024	0.064	3.237	1	0.3	0.657	1.066	1.0	1.969	-0.053	2016-01-23	09:55:00	US/Eastern
REA	2016-01-23 15:10:00	0.25	0.031	0.082	2.665	0.23	0.024	0.064	3.21	1	0.3	0.657	1.066	1.0	1.969	-0.079	2016-01-23	10:10:00	US/Eastern
REA	2016-01-23 15:25:00	0.25	0.031	0.082	2.659	0.227	0.024	0.064	3.183	1	0.3	0.657	1.066	1.0	1.969	-0.106	2016-01-23	10:25:00	US/Eastern
