Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - ROI.txt

Data for: 2016-03-16 15:10:00 UTC - 2016-04-06 12:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
ROI	2016-03-16 15:10:00	0.313	0.016	0.07	4.249	0.311	0.016	0.069	4.249	1	0.05	0.224	4.249	1.0	1.851	0.0	2016-03-16	11:10:00	US/Eastern
ROI	2016-03-16 15:25:00	0.313	0.016	0.07	4.249	0.307	0.015	0.069	4.249	1	0.05	0.224	4.249	1.0	1.851	0.0	2016-03-16	11:25:00	US/Eastern
ROI	2016-03-16 15:40:00	0.313	0.016	0.07	4.249	0.304	0.015	0.068	4.249	1	0.05	0.224	4.249	1.0	1.851	0.0	2016-03-16	11:40:00	US/Eastern
ROI	2016-03-16 15:55:00	0.313	0.016	0.07	4.249	0.301	0.015	0.067	4.249	1	0.05	0.224	4.249	1.0	1.851	0.0	2016-03-16	11:55:00	US/Eastern
ROI	2016-03-16 16:10:00	0.313	0.016	0.07	4.249	0.298	0.015	0.067	4.249	1	0.05	0.224	4.249	1.0	1.851	0.0	2016-03-16	12:10:00	US/Eastern
ROI	2016-03-16 16:25:00	0.313	0.016	0.07	4.249	0.295	0.015	0.066	4.249	1	0.05	0.224	4.249	1.0	1.851	0.0	2016-03-16	12:25:00	US/Eastern
ROI	2016-03-16 16:40:00	0.313	0.016	0.07	4.249	0.292	0.015	0.065	4.249	1	0.05	0.224	4.249	1.0	1.851	0.0	2016-03-16	12:40:00	US/Eastern
ROI	2016-03-16 16:55:00	0.313	0.016	0.07	4.249	0.289	0.014	0.065	4.249	1	0.05	0.224	4.249	1.0	1.851	0.0	2016-03-16	12:55:00	US/Eastern
ROI	2016-03-16 17:10:00	0.313	0.016	0.07	4.249	0.286	0.014	0.064	4.249	1	0.05	0.224	4.249	1.0	1.851	0.0	2016-03-16	13:10:00	US/Eastern
ROI	2016-03-16 17:25:00	0.313	0.016	0.07	4.249	0.283	0.014	0.063	4.249	1	0.05	0.224	4.249	1.0	1.851	0.0	2016-03-16	13:25:00	US/Eastern
ROI	2016-03-16 17:40:00	0.313	0.016	0.07	4.249	0.28	0.014	0.063	4.249	1	0.05	0.224	4.249	1.0	1.851	0.0	2016-03-16	13:40:00	US/Eastern
ROI	2016-03-16 17:55:00	0.313	0.016	0.07	4.249	0.277	0.014	0.062	4.249	1	0.05	0.224	4.249	1.0	1.851	0.0	2016-03-16	13:55:00	US/Eastern
