Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - RWV.txt

Data for: 2016-01-21 06:10:00 UTC - 2016-12-26 12:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
RWV	2016-01-21 06:10:00	-0.15	-0.026	0.073	-1.69	-0.15	-0.025	0.071	-1.747	1	0.65	1.089	0.321	1.0	1.257	-2.015	2016-01-21	01:10:00	US/Eastern
RWV	2016-01-21 06:25:00	-0.15	-0.026	0.073	-1.69	-0.148	-0.025	0.071	-1.729	1	0.65	1.089	0.321	1.0	1.257	0.017	2016-01-21	01:25:00	US/Eastern
RWV	2016-01-21 06:40:00	-0.15	-0.026	0.073	-1.69	-0.147	-0.025	0.071	-1.712	1	0.65	1.089	0.321	1.0	1.257	0.034	2016-01-21	01:40:00	US/Eastern
RWV	2016-01-21 06:55:00	-0.15	-0.026	0.073	-1.69	-0.145	-0.025	0.071	-1.695	1	0.65	1.089	0.321	1.0	1.257	0.051	2016-01-21	01:55:00	US/Eastern
RWV	2016-01-21 07:10:00	-0.15	-0.026	0.073	-1.69	-0.144	-0.025	0.071	-1.678	1	0.65	1.089	0.321	1.0	1.257	0.068	2016-01-21	02:10:00	US/Eastern
RWV	2016-01-21 07:25:00	-0.15	-0.026	0.073	-1.69	-0.142	-0.025	0.071	-1.661	1	0.65	1.089	0.321	1.0	1.257	0.085	2016-01-21	02:25:00	US/Eastern
RWV	2016-01-21 07:40:00	-0.15	-0.026	0.073	-1.69	-0.141	-0.025	0.071	-1.645	1	0.65	1.089	0.321	1.0	1.257	0.017	2016-01-21	02:40:00	US/Eastern
RWV	2016-01-21 07:55:00	-0.15	-0.026	0.073	-1.69	-0.139	-0.024	0.07	-1.628	1	0.65	1.089	0.321	1.0	1.257	0.034	2016-01-21	02:55:00	US/Eastern
RWV	2016-01-21 08:10:00	-0.15	-0.026	0.073	-1.69	-0.138	-0.024	0.07	-1.611	1	0.65	1.089	0.321	1.0	1.257	0.05	2016-01-21	03:10:00	US/Eastern
RWV	2016-01-21 08:25:00	-0.15	-0.026	0.073	-1.69	-0.136	-0.024	0.07	-1.595	1	0.65	1.089	0.321	1.0	1.257	0.067	2016-01-21	03:25:00	US/Eastern
RWV	2016-01-21 08:40:00	-0.15	-0.026	0.073	-1.69	-0.135	-0.024	0.07	-1.578	1	0.65	1.089	0.321	1.0	1.257	0.083	2016-01-21	03:40:00	US/Eastern
RWV	2016-01-21 08:55:00	-0.15	-0.026	0.073	-1.69	-0.134	-0.024	0.07	-1.562	1	0.65	1.089	0.321	1.0	1.257	0.016	2016-01-21	03:55:00	US/Eastern
RWV	2016-01-21 09:10:00	-0.15	-0.026	0.073	-1.69	-0.132	-0.024	0.07	-1.546	1	0.65	1.089	0.321	1.0	1.257	0.033	2016-01-21	04:10:00	US/Eastern
RWV	2016-01-21 09:25:00	-0.15	-0.026	0.073	-1.69	-0.131	-0.024	0.07	-1.529	1	0.65	1.089	0.321	1.0	1.257	0.049	2016-01-21	04:25:00	US/Eastern
RWV	2016-01-21 09:40:00	-0.15	-0.026	0.073	-1.69	-0.129	-0.024	0.07	-1.513	1	0.65	1.089	0.321	1.0	1.257	0.065	2016-01-21	04:40:00	US/Eastern
RWV	2016-01-21 09:55:00	-0.15	-0.026	0.073	-1.69	-0.128	-0.024	0.07	-1.497	1	0.65	1.089	0.321	1.0	1.257	0.081	2016-01-21	04:55:00	US/Eastern
RWV	2016-01-21 10:10:00	-0.15	-0.026	0.073	-1.69	-0.127	-0.024	0.069	-1.481	1	0.65	1.089	0.321	1.0	1.257	0.016	2016-01-21	05:10:00	US/Eastern
RWV	2016-01-21 10:25:00	-0.15	-0.026	0.073	-1.69	-0.125	-0.024	0.069	-1.466	1	0.65	1.089	0.321	1.0	1.257	0.032	2016-01-21	05:25:00	US/Eastern
RWV	2016-01-21 10:40:00	-0.15	-0.026	0.073	-1.69	-0.124	-0.024	0.069	-1.45	1	0.65	1.089	0.321	1.0	1.257	0.047	2016-01-21	05:40:00	US/Eastern
RWV	2016-01-21 10:55:00	-0.15	-0.026	0.073	-1.69	-0.123	-0.024	0.069	-1.434	1	0.65	1.089	0.321	1.0	1.257	0.063	2016-01-21	05:55:00	US/Eastern
RWV	2016-01-21 11:10:00	-0.15	-0.026	0.073	-1.69	-0.122	-0.024	0.069	-1.419	1	0.65	1.089	0.321	1.0	1.257	0.079	2016-01-21	06:10:00	US/Eastern
RWV	2016-01-21 11:25:00	-0.15	-0.026	0.073	-1.69	-0.12	-0.024	0.069	-1.403	1	0.65	1.089	0.321	1.0	1.257	0.015	2016-01-21	06:25:00	US/Eastern
RWV	2016-01-21 11:40:00	-0.15	-0.026	0.073	-1.69	-0.119	-0.023	0.069	-1.388	1	0.65	1.089	0.321	1.0	1.257	0.031	2016-01-21	06:40:00	US/Eastern
RWV	2016-01-21 11:55:00	-0.15	-0.026	0.073	-1.69	-0.118	-0.023	0.069	-1.373	1	0.65	1.089	0.321	1.0	1.257	0.046	2016-01-21	06:55:00	US/Eastern
RWV	2016-01-21 12:10:00	-0.15	-0.026	0.073	-1.69	-0.117	-0.023	0.069	-1.358	1	0.65	1.089	0.321	1.0	1.257	0.061	2016-01-21	07:10:00	US/Eastern
RWV	2016-01-21 12:25:00	-0.15	-0.026	0.073	-1.69	-0.115	-0.023	0.069	-1.343	1	0.65	1.089	0.321	1.0	1.257	0.076	2016-01-21	07:25:00	US/Eastern
RWV	2016-01-21 12:40:00	-0.15	-0.026	0.073	-1.69	-0.114	-0.023	0.069	-1.328	1	0.65	1.089	0.321	1.0	1.257	0.015	2016-01-21	07:40:00	US/Eastern
RWV	2016-01-21 12:55:00	-0.15	-0.026	0.073	-1.69	-0.113	-0.023	0.068	-1.313	1	0.65	1.089	0.321	1.0	1.257	0.03	2016-01-21	07:55:00	US/Eastern
RWV	2016-01-21 13:10:00	-0.15	-0.026	0.073	-1.69	-0.112	-0.023	0.068	-1.298	1	0.65	1.089	0.321	1.0	1.257	0.044	2016-01-21	08:10:00	US/Eastern
