Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SAA.txt

Data for: 2016-01-20 06:10:00 UTC - 2016-12-15 11:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SAA	2016-01-20 06:10:00	0.063	-0.009	0.058	1.232	0.062	-0.003	0.031	2.127	1	0.1	0.308	2.924	1.0	3.172	1.903	2016-01-20	01:10:00	US/Eastern
SAA	2016-01-20 06:25:00	0.063	-0.009	0.058	1.232	0.062	-0.003	0.031	2.112	1	0.1	0.308	2.924	1.0	3.172	1.888	2016-01-20	01:25:00	US/Eastern
SAA	2016-01-20 06:40:00	0.063	-0.009	0.058	1.232	0.061	-0.003	0.031	2.097	1	0.1	0.308	2.924	1.0	3.172	-0.015	2016-01-20	01:40:00	US/Eastern
SAA	2016-01-20 06:55:00	0.063	-0.009	0.058	1.232	0.061	-0.003	0.03	2.082	1	0.1	0.308	2.924	1.0	3.172	-0.03	2016-01-20	01:55:00	US/Eastern
SAA	2016-01-20 07:10:00	0.063	-0.009	0.058	1.232	0.06	-0.003	0.03	2.067	1	0.1	0.308	2.924	1.0	3.172	-0.045	2016-01-20	02:10:00	US/Eastern
SAA	2016-01-20 07:25:00	0.063	-0.009	0.058	1.232	0.059	-0.003	0.03	2.052	1	0.1	0.308	2.924	1.0	3.172	-0.06	2016-01-20	02:25:00	US/Eastern
SAA	2016-01-20 07:40:00	0.063	-0.009	0.058	1.232	0.059	-0.003	0.03	2.037	1	0.1	0.308	2.924	1.0	3.172	-0.075	2016-01-20	02:40:00	US/Eastern
SAA	2016-01-20 07:55:00	0.063	-0.009	0.058	1.232	0.058	-0.003	0.03	2.022	1	0.1	0.308	2.924	1.0	3.172	-0.015	2016-01-20	02:55:00	US/Eastern
SAA	2016-01-20 08:10:00	0.063	-0.009	0.058	1.232	0.057	-0.003	0.03	2.008	1	0.1	0.308	2.924	1.0	3.172	-0.029	2016-01-20	03:10:00	US/Eastern
SAA	2016-01-20 08:25:00	0.063	-0.009	0.058	1.232	0.057	-0.003	0.03	1.993	1	0.1	0.308	2.924	1.0	3.172	-0.044	2016-01-20	03:25:00	US/Eastern
SAA	2016-01-20 08:40:00	0.063	-0.009	0.058	1.232	0.056	-0.003	0.03	1.979	1	0.1	0.308	2.924	1.0	3.172	-0.059	2016-01-20	03:40:00	US/Eastern
SAA	2016-01-20 08:55:00	0.063	-0.009	0.058	1.232	0.056	-0.003	0.03	1.964	1	0.1	0.308	2.924	1.0	3.172	-0.073	2016-01-20	03:55:00	US/Eastern
SAA	2016-01-20 09:10:00	0.063	-0.009	0.058	1.232	0.055	-0.003	0.03	1.95	1	0.1	0.308	2.924	1.0	3.172	-0.014	2016-01-20	04:10:00	US/Eastern
SAA	2016-01-20 09:25:00	0.063	-0.009	0.058	1.232	0.055	-0.003	0.03	1.935	1	0.1	0.308	2.924	1.0	3.172	-0.029	2016-01-20	04:25:00	US/Eastern
SAA	2016-01-20 09:40:00	0.063	-0.009	0.058	1.232	0.054	-0.003	0.03	1.921	1	0.1	0.308	2.924	1.0	3.172	-0.043	2016-01-20	04:40:00	US/Eastern
SAA	2016-01-20 09:55:00	0.063	-0.009	0.058	1.232	0.053	-0.003	0.03	1.907	1	0.1	0.308	2.924	1.0	3.172	-0.057	2016-01-20	04:55:00	US/Eastern
SAA	2016-01-20 10:10:00	0.063	-0.009	0.058	1.232	0.053	-0.003	0.03	1.893	1	0.1	0.308	2.924	1.0	3.172	-0.071	2016-01-20	05:10:00	US/Eastern
SAA	2016-01-20 10:25:00	0.063	-0.009	0.058	1.232	0.052	-0.003	0.03	1.879	1	0.1	0.308	2.924	1.0	3.172	-0.014	2016-01-20	05:25:00	US/Eastern
SAA	2016-01-20 10:40:00	0.063	-0.009	0.058	1.232	0.052	-0.003	0.03	1.865	1	0.1	0.308	2.924	1.0	3.172	-0.028	2016-01-20	05:40:00	US/Eastern
SAA	2016-01-20 10:55:00	0.063	-0.009	0.058	1.232	0.051	-0.003	0.03	1.851	1	0.1	0.308	2.924	1.0	3.172	-0.042	2016-01-20	05:55:00	US/Eastern
SAA	2016-01-20 11:10:00	0.063	-0.009	0.058	1.232	0.051	-0.003	0.029	1.837	1	0.1	0.308	2.924	1.0	3.172	-0.056	2016-01-20	06:10:00	US/Eastern
SAA	2016-01-20 11:25:00	0.063	-0.009	0.058	1.232	0.05	-0.003	0.029	1.823	1	0.1	0.308	2.924	1.0	3.172	-0.07	2016-01-20	06:25:00	US/Eastern
SAA	2016-01-20 11:40:00	0.063	-0.009	0.058	1.232	0.05	-0.003	0.029	1.809	1	0.1	0.308	2.924	1.0	3.172	-0.014	2016-01-20	06:40:00	US/Eastern
SAA	2016-01-20 11:55:00	0.063	-0.009	0.058	1.232	0.049	-0.003	0.029	1.795	1	0.1	0.308	2.924	1.0	3.172	-0.027	2016-01-20	06:55:00	US/Eastern
SAA	2016-01-20 12:10:00	0.063	-0.009	0.058	1.232	0.049	-0.004	0.029	1.782	1	0.1	0.308	2.924	1.0	3.172	-0.041	2016-01-20	07:10:00	US/Eastern
SAA	2016-01-20 12:25:00	0.063	-0.009	0.058	1.232	0.048	-0.004	0.029	1.768	1	0.1	0.308	2.924	1.0	3.172	-0.055	2016-01-20	07:25:00	US/Eastern
