Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SCHZ.txt

Data for: 2016-01-20 23:10:00 UTC - 2016-12-28 13:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SCHZ	2016-01-20 23:10:00	-0.2	-0.032	0.107	-1.57	-0.199	-0.022	0.068	-2.609	1	0.55	0.51	0.882	1.0	1.737	-2.839	2016-01-20	18:10:00	US/Eastern
SCHZ	2016-01-20 23:25:00	-0.2	-0.032	0.107	-1.57	-0.197	-0.022	0.067	-2.591	1	0.55	0.51	0.882	1.0	1.737	-2.821	2016-01-20	18:25:00	US/Eastern
SCHZ	2016-01-20 23:40:00	-0.2	-0.032	0.107	-1.57	-0.195	-0.022	0.067	-2.573	1	0.55	0.51	0.882	1.0	1.737	-2.802	2016-01-20	18:40:00	US/Eastern
SCHZ	2016-01-20 23:55:00	-0.2	-0.032	0.107	-1.57	-0.193	-0.022	0.067	-2.555	1	0.55	0.51	0.882	1.0	1.737	-2.784	2016-01-20	18:55:00	US/Eastern
SCHZ	2016-01-21 00:10:00	-0.2	-0.032	0.107	-1.57	-0.191	-0.022	0.067	-2.536	1	0.55	0.51	0.882	1.0	1.737	0.018	2016-01-20	19:10:00	US/Eastern
SCHZ	2016-01-21 00:25:00	-0.2	-0.032	0.107	-1.57	-0.189	-0.022	0.066	-2.518	1	0.55	0.51	0.882	1.0	1.737	0.036	2016-01-20	19:25:00	US/Eastern
SCHZ	2016-01-21 00:40:00	-0.2	-0.032	0.107	-1.57	-0.187	-0.022	0.066	-2.5	1	0.55	0.51	0.882	1.0	1.737	0.055	2016-01-20	19:40:00	US/Eastern
SCHZ	2016-01-21 00:55:00	-0.2	-0.032	0.107	-1.57	-0.185	-0.022	0.066	-2.482	1	0.55	0.51	0.882	1.0	1.737	0.073	2016-01-20	19:55:00	US/Eastern
SCHZ	2016-01-21 01:10:00	-0.2	-0.032	0.107	-1.57	-0.183	-0.021	0.066	-2.463	1	0.55	0.51	0.882	1.0	1.737	0.091	2016-01-20	20:10:00	US/Eastern
SCHZ	2016-01-21 01:25:00	-0.2	-0.032	0.107	-1.57	-0.181	-0.021	0.065	-2.445	1	0.55	0.51	0.882	1.0	1.737	0.018	2016-01-20	20:25:00	US/Eastern
SCHZ	2016-01-21 01:40:00	-0.2	-0.032	0.107	-1.57	-0.179	-0.021	0.065	-2.427	1	0.55	0.51	0.882	1.0	1.737	0.037	2016-01-20	20:40:00	US/Eastern
SCHZ	2016-01-21 01:55:00	-0.2	-0.032	0.107	-1.57	-0.177	-0.021	0.065	-2.408	1	0.55	0.51	0.882	1.0	1.737	0.055	2016-01-20	20:55:00	US/Eastern
SCHZ	2016-01-21 02:10:00	-0.2	-0.032	0.107	-1.57	-0.176	-0.021	0.065	-2.39	1	0.55	0.51	0.882	1.0	1.737	0.073	2016-01-20	21:10:00	US/Eastern
SCHZ	2016-01-21 02:25:00	-0.2	-0.032	0.107	-1.57	-0.174	-0.021	0.064	-2.371	1	0.55	0.51	0.882	1.0	1.737	0.092	2016-01-20	21:25:00	US/Eastern
