Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SCJ.txt

Data for: 2016-01-28 22:55:00 UTC - 2016-12-31 15:40:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SCJ	2016-01-28 22:55:00	-0.2	-0.005	0.051	-3.82	-0.2	-0.007	0.047	-4.106	1	0.1	0.308	2.924	1.0	3.107	-3.883	2016-01-28	17:55:00	US/Eastern
SCJ	2016-01-28 23:10:00	-0.2	-0.005	0.051	-3.82	-0.198	-0.007	0.046	-4.104	1	0.1	0.308	2.924	1.0	3.107	-3.88	2016-01-28	18:10:00	US/Eastern
SCJ	2016-01-28 23:25:00	-0.2	-0.005	0.051	-3.82	-0.196	-0.007	0.046	-4.101	1	0.1	0.308	2.924	1.0	3.107	0.003	2016-01-28	18:25:00	US/Eastern
SCJ	2016-01-28 23:40:00	-0.2	-0.005	0.051	-3.82	-0.194	-0.007	0.046	-4.098	1	0.1	0.308	2.924	1.0	3.107	0.006	2016-01-28	18:40:00	US/Eastern
SCJ	2016-01-28 23:55:00	-0.2	-0.005	0.051	-3.82	-0.192	-0.007	0.045	-4.095	1	0.1	0.308	2.924	1.0	3.107	0.009	2016-01-28	18:55:00	US/Eastern
SCJ	2016-01-29 00:10:00	-0.2	-0.005	0.051	-3.82	-0.19	-0.007	0.045	-4.092	1	0.1	0.308	2.924	1.0	3.107	0.012	2016-01-28	19:10:00	US/Eastern
SCJ	2016-01-29 00:25:00	-0.2	-0.005	0.051	-3.82	-0.188	-0.007	0.044	-4.089	1	0.1	0.308	2.924	1.0	3.107	0.015	2016-01-28	19:25:00	US/Eastern
SCJ	2016-01-29 00:40:00	-0.2	-0.005	0.051	-3.82	-0.186	-0.007	0.044	-4.086	1	0.1	0.308	2.924	1.0	3.107	0.003	2016-01-28	19:40:00	US/Eastern
SCJ	2016-01-29 00:55:00	-0.2	-0.005	0.051	-3.82	-0.184	-0.006	0.043	-4.082	1	0.1	0.308	2.924	1.0	3.107	0.006	2016-01-28	19:55:00	US/Eastern
SCJ	2016-01-29 01:10:00	-0.2	-0.005	0.051	-3.82	-0.182	-0.006	0.043	-4.079	1	0.1	0.308	2.924	1.0	3.107	0.01	2016-01-28	20:10:00	US/Eastern
SCJ	2016-01-29 01:25:00	-0.2	-0.005	0.051	-3.82	-0.18	-0.006	0.043	-4.076	1	0.1	0.308	2.924	1.0	3.107	0.013	2016-01-28	20:25:00	US/Eastern
SCJ	2016-01-29 01:40:00	-0.2	-0.005	0.051	-3.82	-0.178	-0.006	0.042	-4.073	1	0.1	0.308	2.924	1.0	3.107	0.016	2016-01-28	20:40:00	US/Eastern
SCJ	2016-01-29 01:55:00	-0.2	-0.005	0.051	-3.82	-0.176	-0.006	0.042	-4.069	1	0.1	0.308	2.924	1.0	3.107	0.003	2016-01-28	20:55:00	US/Eastern
SCJ	2016-01-29 02:10:00	-0.2	-0.005	0.051	-3.82	-0.174	-0.006	0.041	-4.066	1	0.1	0.308	2.924	1.0	3.107	0.007	2016-01-28	21:10:00	US/Eastern
SCJ	2016-01-29 02:25:00	-0.2	-0.005	0.051	-3.82	-0.173	-0.006	0.041	-4.062	1	0.1	0.308	2.924	1.0	3.107	0.01	2016-01-28	21:25:00	US/Eastern
SCJ	2016-01-29 02:40:00	-0.2	-0.005	0.051	-3.82	-0.171	-0.006	0.041	-4.059	1	0.1	0.308	2.924	1.0	3.107	0.014	2016-01-28	21:40:00	US/Eastern
SCJ	2016-01-29 02:55:00	-0.2	-0.005	0.051	-3.82	-0.169	-0.006	0.04	-4.055	1	0.1	0.308	2.924	1.0	3.107	0.018	2016-01-28	21:55:00	US/Eastern
SCJ	2016-01-29 03:10:00	-0.2	-0.005	0.051	-3.82	-0.167	-0.006	0.04	-4.051	1	0.1	0.308	2.924	1.0	3.107	0.004	2016-01-28	22:10:00	US/Eastern
SCJ	2016-01-29 03:25:00	-0.2	-0.005	0.051	-3.82	-0.166	-0.006	0.04	-4.047	1	0.1	0.308	2.924	1.0	3.107	0.008	2016-01-28	22:25:00	US/Eastern
SCJ	2016-01-29 03:40:00	-0.2	-0.005	0.051	-3.82	-0.164	-0.006	0.039	-4.043	1	0.1	0.308	2.924	1.0	3.107	0.011	2016-01-28	22:40:00	US/Eastern
SCJ	2016-01-29 03:55:00	-0.2	-0.005	0.051	-3.82	-0.162	-0.005	0.039	-4.04	1	0.1	0.308	2.924	1.0	3.107	0.015	2016-01-28	22:55:00	US/Eastern
SCJ	2016-01-29 04:10:00	-0.2	-0.005	0.051	-3.82	-0.16	-0.005	0.038	-4.036	1	0.1	0.308	2.924	1.0	3.107	0.019	2016-01-28	23:10:00	US/Eastern
SCJ	2016-01-29 04:25:00	-0.2	-0.005	0.051	-3.82	-0.159	-0.005	0.038	-4.031	1	0.1	0.308	2.924	1.0	3.107	0.004	2016-01-28	23:25:00	US/Eastern
SCJ	2016-01-29 04:40:00	-0.2	-0.005	0.051	-3.82	-0.157	-0.005	0.038	-4.027	1	0.1	0.308	2.924	1.0	3.107	0.008	2016-01-28	23:40:00	US/Eastern
SCJ	2016-01-29 04:55:00	-0.2	-0.005	0.051	-3.82	-0.156	-0.005	0.037	-4.023	1	0.1	0.308	2.924	1.0	3.107	0.012	2016-01-28	23:55:00	US/Eastern
SCJ	2016-01-29 05:10:00	-0.2	-0.005	0.051	-3.82	-0.154	-0.005	0.037	-4.019	1	0.1	0.308	2.924	1.0	3.107	0.017	2016-01-29	00:10:00	US/Eastern
SCJ	2016-01-29 05:25:00	-0.2	-0.005	0.051	-3.82	-0.152	-0.005	0.037	-4.014	1	0.1	0.308	2.924	1.0	3.107	0.021	2016-01-29	00:25:00	US/Eastern
SCJ	2016-01-29 05:40:00	-0.2	-0.005	0.051	-3.82	-0.151	-0.005	0.036	-4.01	1	0.1	0.308	2.924	1.0	3.107	0.004	2016-01-29	00:40:00	US/Eastern
SCJ	2016-01-29 05:55:00	-0.2	-0.005	0.051	-3.82	-0.149	-0.005	0.036	-4.005	1	0.1	0.308	2.924	1.0	3.107	0.009	2016-01-29	00:55:00	US/Eastern
SCJ	2016-01-29 06:10:00	-0.2	-0.005	0.051	-3.82	-0.148	-0.005	0.036	-4.001	1	0.1	0.308	2.924	1.0	3.107	0.014	2016-01-29	01:10:00	US/Eastern
SCJ	2016-01-29 06:25:00	-0.2	-0.005	0.051	-3.82	-0.146	-0.005	0.035	-3.996	1	0.1	0.308	2.924	1.0	3.107	0.018	2016-01-29	01:25:00	US/Eastern
SCJ	2016-01-29 06:40:00	-0.2	-0.005	0.051	-3.82	-0.145	-0.005	0.035	-3.991	1	0.1	0.308	2.924	1.0	3.107	0.023	2016-01-29	01:40:00	US/Eastern
SCJ	2016-01-29 06:55:00	-0.2	-0.005	0.051	-3.82	-0.143	-0.004	0.035	-3.987	1	0.1	0.308	2.924	1.0	3.107	0.005	2016-01-29	01:55:00	US/Eastern
SCJ	2016-01-29 07:10:00	-0.2	-0.005	0.051	-3.82	-0.142	-0.004	0.034	-3.982	1	0.1	0.308	2.924	1.0	3.107	0.01	2016-01-29	02:10:00	US/Eastern
SCJ	2016-01-29 07:25:00	-0.2	-0.005	0.051	-3.82	-0.14	-0.004	0.034	-3.977	1	0.1	0.308	2.924	1.0	3.107	0.015	2016-01-29	02:25:00	US/Eastern
SCJ	2016-01-29 07:40:00	-0.2	-0.005	0.051	-3.82	-0.139	-0.004	0.034	-3.972	1	0.1	0.308	2.924	1.0	3.107	0.02	2016-01-29	02:40:00	US/Eastern
SCJ	2016-01-29 07:55:00	-0.2	-0.005	0.051	-3.82	-0.137	-0.004	0.034	-3.967	1	0.1	0.308	2.924	1.0	3.107	0.025	2016-01-29	02:55:00	US/Eastern
SCJ	2016-01-29 08:10:00	-0.2	-0.005	0.051	-3.82	-0.136	-0.004	0.033	-3.961	1	0.1	0.308	2.924	1.0	3.107	0.005	2016-01-29	03:10:00	US/Eastern
SCJ	2016-01-29 08:25:00	-0.2	-0.005	0.051	-3.82	-0.134	-0.004	0.033	-3.956	1	0.1	0.308	2.924	1.0	3.107	0.011	2016-01-29	03:25:00	US/Eastern
SCJ	2016-01-29 08:40:00	-0.2	-0.005	0.051	-3.82	-0.133	-0.004	0.033	-3.951	1	0.1	0.308	2.924	1.0	3.107	0.016	2016-01-29	03:40:00	US/Eastern
SCJ	2016-01-29 08:55:00	-0.2	-0.005	0.051	-3.82	-0.132	-0.004	0.032	-3.945	1	0.1	0.308	2.924	1.0	3.107	0.021	2016-01-29	03:55:00	US/Eastern
SCJ	2016-01-29 09:10:00	-0.2	-0.005	0.051	-3.82	-0.13	-0.004	0.032	-3.939	1	0.1	0.308	2.924	1.0	3.107	0.027	2016-01-29	04:10:00	US/Eastern
