Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SEA.txt

Data for: 2016-01-21 03:25:00 UTC - 2016-12-30 11:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SEA	2016-01-21 03:25:00	0.1	-0.038	0.132	1.046	0.099	-0.025	0.083	1.487	1	0.972	1.348	0.02	1.0	0.701	1.112	2016-01-20	22:25:00	US/Eastern
SEA	2016-01-21 03:40:00	0.1	-0.038	0.132	1.046	0.098	-0.025	0.083	1.478	1	0.972	1.348	0.021	1.0	0.701	1.102	2016-01-20	22:40:00	US/Eastern
SEA	2016-01-21 03:55:00	0.1	-0.038	0.132	1.047	0.097	-0.025	0.083	1.468	1	0.971	1.349	0.021	1.0	0.701	-0.01	2016-01-20	22:55:00	US/Eastern
SEA	2016-01-21 04:10:00	0.1	-0.038	0.132	1.047	0.096	-0.025	0.083	1.459	1	0.971	1.349	0.022	1.0	0.701	-0.019	2016-01-20	23:10:00	US/Eastern
SEA	2016-01-21 04:25:00	0.1	-0.038	0.132	1.048	0.095	-0.025	0.083	1.449	1	0.97	1.349	0.022	1.0	0.701	-0.028	2016-01-20	23:25:00	US/Eastern
SEA	2016-01-21 04:40:00	0.1	-0.038	0.132	1.048	0.094	-0.025	0.083	1.44	1	0.97	1.349	0.022	1.0	0.701	-0.038	2016-01-20	23:40:00	US/Eastern
SEA	2016-01-21 04:55:00	0.1	-0.038	0.132	1.048	0.093	-0.025	0.083	1.431	1	0.969	1.349	0.023	1.0	0.701	-0.047	2016-01-20	23:55:00	US/Eastern
SEA	2016-01-21 05:10:00	0.1	-0.038	0.132	1.049	0.092	-0.025	0.082	1.422	1	0.969	1.35	0.023	1.0	0.701	-0.009	2016-01-21	00:10:00	US/Eastern
SEA	2016-01-21 05:25:00	0.1	-0.038	0.132	1.049	0.091	-0.025	0.082	1.413	1	0.968	1.35	0.024	1.0	0.701	-0.018	2016-01-21	00:25:00	US/Eastern
SEA	2016-01-21 05:40:00	0.1	-0.038	0.132	1.05	0.09	-0.025	0.082	1.404	1	0.968	1.35	0.024	1.0	0.701	-0.027	2016-01-21	00:40:00	US/Eastern
SEA	2016-01-21 05:55:00	0.1	-0.038	0.132	1.05	0.089	-0.025	0.082	1.395	1	0.967	1.35	0.024	1.0	0.701	-0.036	2016-01-21	00:55:00	US/Eastern
SEA	2016-01-21 06:10:00	0.1	-0.038	0.132	1.051	0.088	-0.025	0.082	1.386	1	0.967	1.35	0.025	1.0	0.701	-0.045	2016-01-21	01:10:00	US/Eastern
SEA	2016-01-21 06:25:00	0.1	-0.038	0.132	1.051	0.087	-0.026	0.082	1.377	1	0.966	1.351	0.025	1.0	0.701	-0.009	2016-01-21	01:25:00	US/Eastern
SEA	2016-01-21 06:40:00	0.1	-0.038	0.132	1.052	0.087	-0.026	0.082	1.369	1	0.966	1.351	0.025	1.0	0.701	-0.017	2016-01-21	01:40:00	US/Eastern
SEA	2016-01-21 06:55:00	0.1	-0.038	0.132	1.052	0.086	-0.026	0.082	1.36	1	0.965	1.351	0.026	1.0	0.701	-0.026	2016-01-21	01:55:00	US/Eastern
SEA	2016-01-21 07:10:00	0.1	-0.038	0.132	1.053	0.085	-0.026	0.082	1.351	1	0.965	1.351	0.026	1.0	0.701	-0.035	2016-01-21	02:10:00	US/Eastern
SEA	2016-01-21 07:25:00	0.1	-0.039	0.132	1.053	0.084	-0.026	0.082	1.343	1	0.964	1.351	0.027	1.0	0.701	-0.043	2016-01-21	02:25:00	US/Eastern
