Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SKYY.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-31 11:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SKYY	2016-01-20 05:10:00	0.313	0.03	0.17	1.659	0.209	0.015	0.085	2.281	4	1.15	1.565	1.821	0.25	2.44	-0.087	2016-01-20	00:10:00	US/Eastern
SKYY	2016-01-20 05:25:00	0.313	0.03	0.17	1.659	0.207	0.015	0.085	2.264	4	1.15	1.565	1.821	0.25	2.44	-0.017	2016-01-20	00:25:00	US/Eastern
SKYY	2016-01-20 05:40:00	0.313	0.03	0.17	1.659	0.205	0.015	0.085	2.246	4	1.15	1.565	1.821	0.25	2.44	-0.035	2016-01-20	00:40:00	US/Eastern
SKYY	2016-01-20 05:55:00	0.313	0.03	0.17	1.659	0.203	0.015	0.084	2.229	4	1.15	1.565	1.821	0.25	2.44	-0.052	2016-01-20	00:55:00	US/Eastern
SKYY	2016-01-20 06:10:00	0.313	0.03	0.17	1.659	0.201	0.015	0.084	2.212	4	1.15	1.565	1.821	0.25	2.44	-0.069	2016-01-20	01:10:00	US/Eastern
SKYY	2016-01-20 06:25:00	0.313	0.03	0.17	1.659	0.199	0.015	0.084	2.195	4	1.15	1.565	1.821	0.25	2.44	-0.086	2016-01-20	01:25:00	US/Eastern
SKYY	2016-01-20 06:40:00	0.313	0.03	0.17	1.659	0.197	0.015	0.084	2.177	4	1.15	1.565	1.821	0.25	2.44	-0.017	2016-01-20	01:40:00	US/Eastern
SKYY	2016-01-20 06:55:00	0.313	0.03	0.17	1.659	0.195	0.015	0.083	2.16	4	1.15	1.565	1.821	0.25	2.44	-0.034	2016-01-20	01:55:00	US/Eastern
SKYY	2016-01-20 07:10:00	0.313	0.03	0.17	1.659	0.193	0.014	0.083	2.143	4	1.15	1.565	1.821	0.25	2.44	-0.051	2016-01-20	02:10:00	US/Eastern
SKYY	2016-01-20 07:25:00	0.313	0.03	0.17	1.659	0.191	0.014	0.083	2.126	4	1.15	1.565	1.821	0.25	2.44	-0.068	2016-01-20	02:25:00	US/Eastern
SKYY	2016-01-20 07:40:00	0.313	0.03	0.17	1.659	0.189	0.014	0.083	2.109	4	1.15	1.565	1.821	0.25	2.44	-0.086	2016-01-20	02:40:00	US/Eastern
SKYY	2016-01-20 07:55:00	0.313	0.03	0.17	1.659	0.187	0.014	0.083	2.092	4	1.15	1.565	1.821	0.25	2.44	-0.017	2016-01-20	02:55:00	US/Eastern
SKYY	2016-01-20 08:10:00	0.313	0.03	0.17	1.659	0.185	0.014	0.082	2.075	4	1.15	1.565	1.821	0.25	2.44	-0.034	2016-01-20	03:10:00	US/Eastern
SKYY	2016-01-20 08:25:00	0.313	0.03	0.17	1.659	0.183	0.014	0.082	2.058	4	1.15	1.565	1.821	0.25	2.44	-0.051	2016-01-20	03:25:00	US/Eastern
SKYY	2016-01-20 08:40:00	0.313	0.03	0.17	1.659	0.181	0.014	0.082	2.041	4	1.15	1.565	1.821	0.25	2.44	-0.068	2016-01-20	03:40:00	US/Eastern
SKYY	2016-01-20 08:55:00	0.313	0.03	0.17	1.659	0.179	0.014	0.082	2.025	4	1.15	1.565	1.821	0.25	2.44	-0.084	2016-01-20	03:55:00	US/Eastern
SKYY	2016-01-20 09:10:00	0.313	0.03	0.17	1.659	0.177	0.014	0.082	2.008	4	1.15	1.565	1.821	0.25	2.44	-0.017	2016-01-20	04:10:00	US/Eastern
SKYY	2016-01-20 09:25:00	0.313	0.03	0.17	1.659	0.175	0.014	0.081	1.991	4	1.15	1.565	1.821	0.25	2.44	-0.033	2016-01-20	04:25:00	US/Eastern
SKYY	2016-01-20 09:40:00	0.313	0.03	0.17	1.659	0.174	0.013	0.081	1.975	4	1.15	1.565	1.821	0.25	2.44	-0.05	2016-01-20	04:40:00	US/Eastern
SKYY	2016-01-20 09:55:00	0.313	0.03	0.17	1.659	0.172	0.013	0.081	1.958	4	1.15	1.565	1.821	0.25	2.44	-0.067	2016-01-20	04:55:00	US/Eastern
SKYY	2016-01-20 10:10:00	0.313	0.03	0.17	1.659	0.17	0.013	0.081	1.941	4	1.15	1.565	1.821	0.25	2.44	-0.083	2016-01-20	05:10:00	US/Eastern
SKYY	2016-01-20 10:25:00	0.313	0.03	0.17	1.659	0.168	0.013	0.081	1.925	4	1.15	1.565	1.821	0.25	2.44	-0.016	2016-01-20	05:25:00	US/Eastern
SKYY	2016-01-20 10:40:00	0.313	0.03	0.17	1.659	0.167	0.013	0.08	1.909	4	1.15	1.565	1.821	0.25	2.44	-0.033	2016-01-20	05:40:00	US/Eastern
