Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SMB.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-22 16:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SMB	2016-01-20 05:10:00	0.3	0.005	0.09	3.271	0.236	0.006	0.062	3.685	1	0.2	0.41	1.949	1.0	2.514	-0.045	2016-01-20	00:10:00	US/Eastern
SMB	2016-01-20 05:25:00	0.3	0.005	0.09	3.271	0.233	0.006	0.062	3.676	1	0.2	0.41	1.949	1.0	2.514	-0.009	2016-01-20	00:25:00	US/Eastern
SMB	2016-01-20 05:40:00	0.3	0.005	0.09	3.271	0.231	0.006	0.061	3.666	1	0.2	0.41	1.949	1.0	2.514	-0.019	2016-01-20	00:40:00	US/Eastern
SMB	2016-01-20 05:55:00	0.3	0.005	0.09	3.271	0.228	0.006	0.061	3.657	1	0.2	0.41	1.949	1.0	2.514	-0.028	2016-01-20	00:55:00	US/Eastern
SMB	2016-01-20 06:10:00	0.3	0.005	0.09	3.271	0.226	0.006	0.06	3.647	1	0.2	0.41	1.949	1.0	2.514	-0.038	2016-01-20	01:10:00	US/Eastern
SMB	2016-01-20 06:25:00	0.3	0.005	0.09	3.271	0.224	0.006	0.06	3.637	1	0.2	0.41	1.949	1.0	2.514	-0.048	2016-01-20	01:25:00	US/Eastern
SMB	2016-01-20 06:40:00	0.3	0.005	0.09	3.271	0.221	0.006	0.059	3.627	1	0.2	0.41	1.949	1.0	2.514	-0.01	2016-01-20	01:40:00	US/Eastern
SMB	2016-01-20 06:55:00	0.3	0.005	0.09	3.271	0.219	0.006	0.059	3.617	1	0.2	0.41	1.949	1.0	2.514	-0.02	2016-01-20	01:55:00	US/Eastern
SMB	2016-01-20 07:10:00	0.3	0.005	0.09	3.271	0.217	0.006	0.059	3.607	1	0.2	0.41	1.949	1.0	2.514	-0.03	2016-01-20	02:10:00	US/Eastern
SMB	2016-01-20 07:25:00	0.3	0.005	0.09	3.271	0.215	0.005	0.058	3.597	1	0.2	0.41	1.949	1.0	2.514	-0.04	2016-01-20	02:25:00	US/Eastern
