Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SMDV.txt

Data for: 2016-01-29 18:25:00 UTC - 2016-12-24 11:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SMDV	2016-01-29 18:25:00	-0.231	-0.012	0.052	-4.249	-0.229	-0.011	0.051	-4.249	1	0.05	0.224	4.249	1.0	1.847	0.0	2016-01-29	13:25:00	US/Eastern
SMDV	2016-01-29 18:40:00	-0.231	-0.012	0.052	-4.249	-0.227	-0.011	0.051	-4.249	1	0.05	0.224	4.249	1.0	1.847	0.0	2016-01-29	13:40:00	US/Eastern
SMDV	2016-01-29 18:55:00	-0.231	-0.012	0.052	-4.249	-0.225	-0.011	0.05	-4.249	1	0.05	0.224	4.249	1.0	1.847	0.0	2016-01-29	13:55:00	US/Eastern
SMDV	2016-01-29 19:10:00	-0.231	-0.012	0.052	-4.249	-0.222	-0.011	0.05	-4.249	1	0.05	0.224	4.249	1.0	1.847	0.0	2016-01-29	14:10:00	US/Eastern
SMDV	2016-01-29 19:25:00	-0.231	-0.012	0.052	-4.249	-0.22	-0.011	0.049	-4.249	1	0.05	0.224	4.249	1.0	1.847	0.0	2016-01-29	14:25:00	US/Eastern
SMDV	2016-01-29 19:40:00	-0.231	-0.012	0.052	-4.249	-0.218	-0.011	0.049	-4.249	1	0.05	0.224	4.249	1.0	1.847	0.0	2016-01-29	14:40:00	US/Eastern
SMDV	2016-01-29 19:55:00	-0.231	-0.012	0.052	-4.249	-0.216	-0.011	0.048	-4.249	1	0.05	0.224	4.249	1.0	1.847	0.0	2016-01-29	14:55:00	US/Eastern
SMDV	2016-01-29 20:10:00	-0.231	-0.012	0.052	-4.249	-0.213	-0.011	0.048	-4.249	1	0.05	0.224	4.249	1.0	1.847	0.0	2016-01-29	15:10:00	US/Eastern
SMDV	2016-01-29 20:25:00	-0.231	-0.012	0.052	-4.249	-0.211	-0.011	0.047	-4.249	1	0.05	0.224	4.249	1.0	1.847	0.0	2016-01-29	15:25:00	US/Eastern
SMDV	2016-01-29 20:40:00	-0.231	-0.012	0.052	-4.249	-0.209	-0.01	0.047	-4.249	1	0.05	0.224	4.249	1.0	1.847	0.0	2016-01-29	15:40:00	US/Eastern
