Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SMMU.txt

Data for: 2016-03-23 16:25:00 UTC - 2016-10-15 13:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SMMU	2016-03-23 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.825	0.0	2016-03-23	12:25:00	US/Eastern
SMMU	2016-03-23 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.825	0.0	2016-03-23	12:40:00	US/Eastern
SMMU	2016-03-23 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.825	0.0	2016-03-23	12:55:00	US/Eastern
SMMU	2016-03-23 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.825	0.0	2016-03-23	13:10:00	US/Eastern
SMMU	2016-03-23 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.825	0.0	2016-03-23	13:25:00	US/Eastern
SMMU	2016-03-23 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.825	0.0	2016-03-23	13:40:00	US/Eastern
SMMU	2016-03-23 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.825	0.0	2016-03-23	13:55:00	US/Eastern
SMMU	2016-03-23 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.825	0.0	2016-03-23	14:10:00	US/Eastern
SMMU	2016-03-23 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.825	0.0	2016-03-23	14:25:00	US/Eastern
SMMU	2016-03-23 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.825	0.0	2016-03-23	14:40:00	US/Eastern
