Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SNLN.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-31 16:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SNLN	2016-01-20 05:10:00	-0.609	-0.025	0.139	-4.193	-0.402	-0.017	0.091	-4.212	2	0.15	0.489	3.78	0.5	4.353	0.004	2016-01-20	00:10:00	US/Eastern
SNLN	2016-01-20 05:25:00	-0.609	-0.025	0.139	-4.193	-0.398	-0.017	0.09	-4.211	2	0.15	0.489	3.78	0.5	4.353	0.001	2016-01-20	00:25:00	US/Eastern
SNLN	2016-01-20 05:40:00	-0.609	-0.025	0.139	-4.193	-0.394	-0.017	0.09	-4.21	2	0.15	0.489	3.78	0.5	4.353	0.002	2016-01-20	00:40:00	US/Eastern
SNLN	2016-01-20 05:55:00	-0.609	-0.025	0.139	-4.193	-0.39	-0.017	0.089	-4.209	2	0.15	0.489	3.78	0.5	4.353	0.002	2016-01-20	00:55:00	US/Eastern
SNLN	2016-01-20 06:10:00	-0.609	-0.025	0.139	-4.193	-0.386	-0.017	0.088	-4.209	2	0.15	0.489	3.78	0.5	4.353	0.003	2016-01-20	01:10:00	US/Eastern
SNLN	2016-01-20 06:25:00	-0.609	-0.025	0.139	-4.193	-0.382	-0.016	0.087	-4.208	2	0.15	0.489	3.78	0.5	4.353	0.004	2016-01-20	01:25:00	US/Eastern
SNLN	2016-01-20 06:40:00	-0.609	-0.025	0.139	-4.193	-0.378	-0.016	0.086	-4.207	2	0.15	0.489	3.78	0.5	4.353	0.001	2016-01-20	01:40:00	US/Eastern
SNLN	2016-01-20 06:55:00	-0.609	-0.025	0.139	-4.193	-0.374	-0.016	0.085	-4.206	2	0.15	0.489	3.78	0.5	4.353	0.002	2016-01-20	01:55:00	US/Eastern
SNLN	2016-01-20 07:10:00	-0.609	-0.025	0.139	-4.193	-0.37	-0.016	0.084	-4.205	2	0.15	0.489	3.78	0.5	4.353	0.003	2016-01-20	02:10:00	US/Eastern
SNLN	2016-01-20 07:25:00	-0.609	-0.025	0.139	-4.193	-0.366	-0.016	0.083	-4.204	2	0.15	0.489	3.78	0.5	4.353	0.003	2016-01-20	02:25:00	US/Eastern
SNLN	2016-01-20 07:40:00	-0.609	-0.025	0.139	-4.193	-0.363	-0.015	0.083	-4.203	2	0.15	0.489	3.78	0.5	4.353	0.004	2016-01-20	02:40:00	US/Eastern
SNLN	2016-01-20 07:55:00	-0.609	-0.025	0.139	-4.193	-0.359	-0.015	0.082	-4.202	2	0.15	0.489	3.78	0.5	4.353	0.001	2016-01-20	02:55:00	US/Eastern
SNLN	2016-01-20 08:10:00	-0.609	-0.025	0.139	-4.193	-0.355	-0.015	0.081	-4.201	2	0.15	0.489	3.78	0.5	4.353	0.002	2016-01-20	03:10:00	US/Eastern
SNLN	2016-01-20 08:25:00	-0.609	-0.025	0.139	-4.193	-0.351	-0.015	0.08	-4.2	2	0.15	0.489	3.78	0.5	4.353	0.003	2016-01-20	03:25:00	US/Eastern
SNLN	2016-01-20 08:40:00	-0.609	-0.025	0.139	-4.193	-0.348	-0.015	0.079	-4.2	2	0.15	0.489	3.78	0.5	4.353	0.004	2016-01-20	03:40:00	US/Eastern
SNLN	2016-01-20 08:55:00	-0.609	-0.025	0.139	-4.193	-0.344	-0.015	0.079	-4.199	2	0.15	0.489	3.78	0.5	4.353	0.005	2016-01-20	03:55:00	US/Eastern
SNLN	2016-01-20 09:10:00	-0.609	-0.025	0.139	-4.193	-0.341	-0.014	0.078	-4.197	2	0.15	0.489	3.78	0.5	4.353	0.001	2016-01-20	04:10:00	US/Eastern
SNLN	2016-01-20 09:25:00	-0.609	-0.025	0.139	-4.193	-0.337	-0.014	0.077	-4.196	2	0.15	0.489	3.78	0.5	4.353	0.002	2016-01-20	04:25:00	US/Eastern
SNLN	2016-01-20 09:40:00	-0.609	-0.025	0.139	-4.193	-0.334	-0.014	0.076	-4.195	2	0.15	0.489	3.78	0.5	4.353	0.003	2016-01-20	04:40:00	US/Eastern
SNLN	2016-01-20 09:55:00	-0.609	-0.025	0.139	-4.193	-0.33	-0.014	0.075	-4.194	2	0.15	0.489	3.78	0.5	4.353	0.004	2016-01-20	04:55:00	US/Eastern
SNLN	2016-01-20 10:10:00	-0.609	-0.025	0.139	-4.193	-0.327	-0.014	0.075	-4.193	2	0.15	0.489	3.78	0.5	4.353	0.005	2016-01-20	05:10:00	US/Eastern
SNLN	2016-01-20 10:25:00	-0.609	-0.025	0.139	-4.193	-0.323	-0.013	0.074	-4.192	2	0.15	0.489	3.78	0.5	4.353	0.001	2016-01-20	05:25:00	US/Eastern
SNLN	2016-01-20 10:40:00	-0.609	-0.025	0.139	-4.193	-0.32	-0.013	0.073	-4.191	2	0.15	0.489	3.78	0.5	4.353	0.002	2016-01-20	05:40:00	US/Eastern
SNLN	2016-01-20 10:55:00	-0.609	-0.025	0.139	-4.193	-0.317	-0.013	0.072	-4.19	2	0.15	0.489	3.78	0.5	4.353	0.003	2016-01-20	05:55:00	US/Eastern
SNLN	2016-01-20 11:10:00	-0.609	-0.025	0.139	-4.193	-0.313	-0.013	0.072	-4.189	2	0.15	0.489	3.78	0.5	4.353	0.005	2016-01-20	06:10:00	US/Eastern
SNLN	2016-01-20 11:25:00	-0.609	-0.025	0.139	-4.193	-0.31	-0.013	0.071	-4.187	2	0.15	0.489	3.78	0.5	4.353	0.006	2016-01-20	06:25:00	US/Eastern
SNLN	2016-01-20 11:40:00	-0.609	-0.025	0.139	-4.193	-0.307	-0.013	0.07	-4.186	2	0.15	0.489	3.78	0.5	4.353	0.001	2016-01-20	06:40:00	US/Eastern
SNLN	2016-01-20 11:55:00	-0.609	-0.025	0.139	-4.193	-0.304	-0.012	0.07	-4.185	2	0.15	0.489	3.78	0.5	4.353	0.003	2016-01-20	06:55:00	US/Eastern
SNLN	2016-01-20 12:10:00	-0.609	-0.025	0.139	-4.193	-0.301	-0.012	0.069	-4.183	2	0.15	0.489	3.78	0.5	4.353	0.004	2016-01-20	07:10:00	US/Eastern
SNLN	2016-01-20 12:25:00	-0.609	-0.025	0.139	-4.193	-0.298	-0.012	0.068	-4.182	2	0.15	0.489	3.78	0.5	4.353	0.005	2016-01-20	07:25:00	US/Eastern
SNLN	2016-01-20 12:40:00	-0.609	-0.025	0.139	-4.193	-0.294	-0.012	0.068	-4.181	2	0.15	0.489	3.78	0.5	4.353	0.007	2016-01-20	07:40:00	US/Eastern
SNLN	2016-01-20 12:55:00	-0.609	-0.025	0.139	-4.193	-0.291	-0.012	0.067	-4.179	2	0.15	0.489	3.78	0.5	4.353	0.001	2016-01-20	07:55:00	US/Eastern
SNLN	2016-01-20 13:10:00	-0.609	-0.025	0.139	-4.193	-0.288	-0.012	0.066	-4.178	2	0.15	0.489	3.78	0.5	4.353	0.003	2016-01-20	08:10:00	US/Eastern
SNLN	2016-01-20 13:25:00	-0.609	-0.025	0.139	-4.193	-0.285	-0.012	0.066	-4.177	2	0.15	0.489	3.78	0.5	4.353	0.004	2016-01-20	08:25:00	US/Eastern
SNLN	2016-01-20 13:40:00	-0.609	-0.025	0.139	-4.193	-0.282	-0.011	0.065	-4.175	2	0.15	0.489	3.78	0.5	4.353	0.006	2016-01-20	08:40:00	US/Eastern
SNLN	2016-01-20 13:55:00	-0.609	-0.025	0.139	-4.193	-0.279	-0.011	0.064	-4.174	2	0.15	0.489	3.78	0.5	4.353	0.007	2016-01-20	08:55:00	US/Eastern
SNLN	2016-01-20 14:10:00	-0.609	-0.025	0.139	-4.193	-0.277	-0.011	0.064	-4.172	2	0.15	0.489	3.78	0.5	2.914	0.002	2016-01-20	09:10:00	US/Eastern
SNLN	2016-01-20 14:25:00	-0.609	-0.026	0.14	-4.171	-0.274	-0.011	0.063	-4.148	2	0.151	0.491	3.764	0.5	2.914	0.025	2016-01-20	09:25:00	US/Eastern
SNLN	2016-01-20 14:40:00	-0.609	-0.026	0.14	-4.149	-0.271	-0.011	0.063	-4.124	2	0.152	0.493	3.747	0.5	2.914	0.05	2016-01-20	09:40:00	US/Eastern
SNLN	2016-01-20 14:55:00	-0.609	-0.026	0.141	-4.128	-0.268	-0.011	0.063	-4.099	2	0.153	0.495	3.731	0.5	2.914	0.075	2016-01-20	09:55:00	US/Eastern
