Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - SPXS.txt

Data for: 2016-01-01 00:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
SPXS	2016-01-01 00:10:00	0.0	0.127	0.44	-0.289	0.0	0.086	0.239	-0.362	1	2.946	2.232	-0.872	1.0	0.469	-0.001	2015-12-31	19:10:00	US/Eastern
SPXS	2016-01-01 00:25:00	0.0	0.128	0.439	-0.291	0.0	0.087	0.238	-0.363	1	2.943	2.231	-0.871	1.0	0.469	-0.001	2015-12-31	19:25:00	US/Eastern
SPXS	2016-01-01 00:40:00	0.0	0.128	0.438	-0.293	0.0	0.087	0.238	-0.364	1	2.941	2.229	-0.871	1.0	0.469	-0.001	2015-12-31	19:40:00	US/Eastern
SPXS	2016-01-01 00:55:00	0.0	0.129	0.437	-0.295	0.0	0.087	0.238	-0.365	1	2.938	2.227	-0.87	1.0	0.469	-0.001	2015-12-31	19:55:00	US/Eastern
SPXS	2016-01-01 01:10:00	0.0	0.13	0.437	-0.297	0.0	0.087	0.238	-0.367	1	2.935	2.225	-0.87	1.0	0.469	-0.001	2015-12-31	20:10:00	US/Eastern
SPXS	2016-01-01 01:25:00	0.0	0.13	0.436	-0.299	0.0	0.087	0.237	-0.368	1	2.933	2.223	-0.87	1.0	0.469	-0.001	2015-12-31	20:25:00	US/Eastern
SPXS	2016-01-01 01:40:00	0.0	0.131	0.435	-0.301	0.0	0.088	0.237	-0.369	1	2.93	2.221	-0.869	1.0	0.469	-0.001	2015-12-31	20:40:00	US/Eastern
SPXS	2016-01-01 01:55:00	0.0	0.131	0.434	-0.303	0.0	0.088	0.237	-0.37	1	2.928	2.219	-0.869	1.0	0.469	-0.001	2015-12-31	20:55:00	US/Eastern
SPXS	2016-01-01 02:10:00	0.0	0.132	0.433	-0.305	0.0	0.088	0.237	-0.372	1	2.925	2.217	-0.868	1.0	0.469	-0.001	2015-12-31	21:10:00	US/Eastern
SPXS	2016-01-01 02:25:00	0.0	0.133	0.432	-0.307	0.0	0.088	0.236	-0.373	1	2.922	2.215	-0.868	1.0	0.469	-0.001	2015-12-31	21:25:00	US/Eastern
SPXS	2016-01-01 02:40:00	0.0	0.133	0.431	-0.309	0.0	0.088	0.236	-0.374	1	2.92	2.213	-0.867	1.0	0.469	-0.001	2015-12-31	21:40:00	US/Eastern
SPXS	2016-01-01 02:55:00	0.0	0.134	0.43	-0.311	0.0	0.089	0.236	-0.375	1	2.917	2.211	-0.867	1.0	0.469	-0.001	2015-12-31	21:55:00	US/Eastern
