Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - TBT.txt

Data for: 2016-01-01 00:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
TBT	2016-01-01 00:10:00	0.75	0.156	0.485	1.224	0.574	0.092	0.283	1.703	2	3.338	3.554	-0.376	1.0	0.616	-0.017	2015-12-31	19:10:00	US/Eastern
TBT	2016-01-01 00:25:00	0.75	0.157	0.485	1.224	0.568	0.092	0.282	1.686	2	3.336	3.553	-0.376	1.0	0.616	-0.017	2015-12-31	19:25:00	US/Eastern
TBT	2016-01-01 00:40:00	0.75	0.157	0.485	1.223	0.562	0.092	0.282	1.669	2	3.334	3.553	-0.376	1.0	0.616	-0.017	2015-12-31	19:40:00	US/Eastern
TBT	2016-01-01 00:55:00	0.75	0.157	0.485	1.223	0.556	0.091	0.281	1.652	2	3.333	3.552	-0.375	1.0	0.616	-0.017	2015-12-31	19:55:00	US/Eastern
TBT	2016-01-01 01:10:00	0.75	0.157	0.485	1.223	0.55	0.091	0.281	1.636	2	3.331	3.552	-0.375	1.0	0.616	-0.017	2015-12-31	20:10:00	US/Eastern
TBT	2016-01-01 01:25:00	0.75	0.158	0.485	1.223	0.544	0.091	0.28	1.619	2	3.33	3.551	-0.374	1.0	0.616	-0.017	2015-12-31	20:25:00	US/Eastern
TBT	2016-01-01 01:40:00	0.75	0.158	0.484	1.222	0.539	0.091	0.28	1.602	2	3.328	3.551	-0.374	1.0	0.616	-0.017	2015-12-31	20:40:00	US/Eastern
TBT	2016-01-01 01:55:00	0.75	0.158	0.484	1.222	0.533	0.091	0.279	1.586	2	3.327	3.55	-0.374	1.0	0.616	-0.017	2015-12-31	20:55:00	US/Eastern
TBT	2016-01-01 02:10:00	0.75	0.158	0.484	1.222	0.528	0.09	0.279	1.569	2	3.325	3.55	-0.373	1.0	0.616	-0.016	2015-12-31	21:10:00	US/Eastern
TBT	2016-01-01 02:25:00	0.75	0.159	0.484	1.222	0.522	0.09	0.278	1.553	2	3.323	3.549	-0.373	1.0	0.616	-0.016	2015-12-31	21:25:00	US/Eastern
TBT	2016-01-01 02:40:00	0.75	0.159	0.484	1.221	0.517	0.09	0.278	1.537	2	3.322	3.548	-0.373	1.0	0.616	-0.016	2015-12-31	21:40:00	US/Eastern
TBT	2016-01-01 02:55:00	0.75	0.159	0.484	1.221	0.512	0.09	0.277	1.521	2	3.32	3.548	-0.372	1.0	0.616	-0.016	2015-12-31	21:55:00	US/Eastern
TBT	2016-01-01 03:10:00	0.75	0.159	0.484	1.221	0.506	0.09	0.277	1.505	2	3.319	3.547	-0.372	1.0	0.616	-0.016	2015-12-31	22:10:00	US/Eastern
TBT	2016-01-01 03:25:00	0.75	0.16	0.484	1.221	0.501	0.09	0.276	1.489	2	3.317	3.547	-0.371	1.0	0.616	-0.016	2015-12-31	22:25:00	US/Eastern
TBT	2016-01-01 03:40:00	0.75	0.16	0.483	1.22	0.496	0.089	0.276	1.473	2	3.316	3.546	-0.371	1.0	0.616	-0.016	2015-12-31	22:40:00	US/Eastern
TBT	2016-01-01 03:55:00	0.75	0.16	0.483	1.22	0.491	0.089	0.276	1.457	2	3.314	3.546	-0.371	1.0	0.616	-0.016	2015-12-31	22:55:00	US/Eastern
