Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - TLH.txt

Data for: 2016-01-20 15:10:00 UTC - 2016-12-30 20:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
TLH	2016-01-20 15:10:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	1	0.55	0.686	0.656	1.0	1.578	0.0	2016-01-20	10:10:00	US/Eastern
TLH	2016-01-20 15:25:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	10:25:00	US/Eastern
TLH	2016-01-20 15:40:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	10:40:00	US/Eastern
TLH	2016-01-20 15:55:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	10:55:00	US/Eastern
TLH	2016-01-20 16:10:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	11:10:00	US/Eastern
TLH	2016-01-20 16:25:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	11:25:00	US/Eastern
TLH	2016-01-20 16:40:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	11:40:00	US/Eastern
TLH	2016-01-20 16:55:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	11:55:00	US/Eastern
TLH	2016-01-20 17:10:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	12:10:00	US/Eastern
TLH	2016-01-20 17:25:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	12:25:00	US/Eastern
TLH	2016-01-20 17:40:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	12:40:00	US/Eastern
TLH	2016-01-20 17:55:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	12:55:00	US/Eastern
TLH	2016-01-20 18:10:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	13:10:00	US/Eastern
TLH	2016-01-20 18:25:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	13:25:00	US/Eastern
TLH	2016-01-20 18:40:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	13:40:00	US/Eastern
TLH	2016-01-20 18:55:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	13:55:00	US/Eastern
TLH	2016-01-20 19:10:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	14:10:00	US/Eastern
TLH	2016-01-20 19:25:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	14:25:00	US/Eastern
TLH	2016-01-20 19:40:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	14:40:00	US/Eastern
TLH	2016-01-20 19:55:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	14:55:00	US/Eastern
TLH	2016-01-20 20:10:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	15:10:00	US/Eastern
TLH	2016-01-20 20:25:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	15:25:00	US/Eastern
TLH	2016-01-20 20:40:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	15:40:00	US/Eastern
TLH	2016-01-20 20:55:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	15:55:00	US/Eastern
TLH	2016-01-20 21:10:00	0.0	0.028	0.094	-0.294	0.0	0.015	0.049	-0.3	2	0.6	0.754	1.857	1.0	2.322	0.0	2016-01-20	16:10:00	US/Eastern
