Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - TTT.txt

Data for: 2016-01-23 03:10:00 UTC - 2016-12-30 20:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
TTT	2016-01-23 03:10:00	0.156	0.008	0.035	4.249	0.154	0.008	0.035	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-22	22:10:00	US/Eastern
TTT	2016-01-23 03:25:00	0.156	0.008	0.035	4.249	0.153	0.008	0.034	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-22	22:25:00	US/Eastern
TTT	2016-01-23 03:40:00	0.156	0.008	0.035	4.249	0.151	0.008	0.034	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-22	22:40:00	US/Eastern
TTT	2016-01-23 03:55:00	0.156	0.008	0.035	4.249	0.15	0.007	0.033	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-22	22:55:00	US/Eastern
TTT	2016-01-23 04:10:00	0.156	0.008	0.035	4.249	0.148	0.007	0.033	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-22	23:10:00	US/Eastern
TTT	2016-01-23 04:25:00	0.156	0.008	0.035	4.249	0.147	0.007	0.033	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-22	23:25:00	US/Eastern
TTT	2016-01-23 04:40:00	0.156	0.008	0.035	4.249	0.145	0.007	0.032	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-22	23:40:00	US/Eastern
TTT	2016-01-23 04:55:00	0.156	0.008	0.035	4.249	0.144	0.007	0.032	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-22	23:55:00	US/Eastern
TTT	2016-01-23 05:10:00	0.156	0.008	0.035	4.249	0.142	0.007	0.032	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	00:10:00	US/Eastern
TTT	2016-01-23 05:25:00	0.156	0.008	0.035	4.249	0.141	0.007	0.031	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	00:25:00	US/Eastern
TTT	2016-01-23 05:40:00	0.156	0.008	0.035	4.249	0.139	0.007	0.031	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	00:40:00	US/Eastern
TTT	2016-01-23 05:55:00	0.156	0.008	0.035	4.249	0.138	0.007	0.031	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	00:55:00	US/Eastern
TTT	2016-01-23 06:10:00	0.156	0.008	0.035	4.249	0.136	0.007	0.03	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	01:10:00	US/Eastern
TTT	2016-01-23 06:25:00	0.156	0.008	0.035	4.249	0.135	0.007	0.03	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	01:25:00	US/Eastern
TTT	2016-01-23 06:40:00	0.156	0.008	0.035	4.249	0.134	0.007	0.03	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	01:40:00	US/Eastern
TTT	2016-01-23 06:55:00	0.156	0.008	0.035	4.249	0.132	0.007	0.03	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	01:55:00	US/Eastern
TTT	2016-01-23 07:10:00	0.156	0.008	0.035	4.249	0.131	0.007	0.029	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	02:10:00	US/Eastern
TTT	2016-01-23 07:25:00	0.156	0.008	0.035	4.249	0.129	0.006	0.029	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	02:25:00	US/Eastern
TTT	2016-01-23 07:40:00	0.156	0.008	0.035	4.249	0.128	0.006	0.029	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	02:40:00	US/Eastern
TTT	2016-01-23 07:55:00	0.156	0.008	0.035	4.249	0.127	0.006	0.028	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	02:55:00	US/Eastern
TTT	2016-01-23 08:10:00	0.156	0.008	0.035	4.249	0.125	0.006	0.028	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	03:10:00	US/Eastern
TTT	2016-01-23 08:25:00	0.156	0.008	0.035	4.249	0.124	0.006	0.028	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	03:25:00	US/Eastern
TTT	2016-01-23 08:40:00	0.156	0.008	0.035	4.249	0.123	0.006	0.027	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	03:40:00	US/Eastern
TTT	2016-01-23 08:55:00	0.156	0.008	0.035	4.249	0.122	0.006	0.027	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	03:55:00	US/Eastern
TTT	2016-01-23 09:10:00	0.156	0.008	0.035	4.249	0.12	0.006	0.027	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	04:10:00	US/Eastern
TTT	2016-01-23 09:25:00	0.156	0.008	0.035	4.249	0.119	0.006	0.027	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	04:25:00	US/Eastern
TTT	2016-01-23 09:40:00	0.156	0.008	0.035	4.249	0.118	0.006	0.026	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	04:40:00	US/Eastern
TTT	2016-01-23 09:55:00	0.156	0.008	0.035	4.249	0.117	0.006	0.026	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	04:55:00	US/Eastern
TTT	2016-01-23 10:10:00	0.156	0.008	0.035	4.249	0.115	0.006	0.026	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	05:10:00	US/Eastern
TTT	2016-01-23 10:25:00	0.156	0.008	0.035	4.249	0.114	0.006	0.026	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	05:25:00	US/Eastern
TTT	2016-01-23 10:40:00	0.156	0.008	0.035	4.249	0.113	0.006	0.025	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	05:40:00	US/Eastern
TTT	2016-01-23 10:55:00	0.156	0.008	0.035	4.249	0.112	0.006	0.025	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	05:55:00	US/Eastern
TTT	2016-01-23 11:10:00	0.156	0.008	0.035	4.249	0.111	0.006	0.025	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	06:10:00	US/Eastern
TTT	2016-01-23 11:25:00	0.156	0.008	0.035	4.249	0.11	0.005	0.024	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	06:25:00	US/Eastern
TTT	2016-01-23 11:40:00	0.156	0.008	0.035	4.249	0.108	0.005	0.024	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	06:40:00	US/Eastern
TTT	2016-01-23 11:55:00	0.156	0.008	0.035	4.249	0.107	0.005	0.024	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	06:55:00	US/Eastern
TTT	2016-01-23 12:10:00	0.156	0.008	0.035	4.249	0.106	0.005	0.024	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	07:10:00	US/Eastern
TTT	2016-01-23 12:25:00	0.156	0.008	0.035	4.249	0.105	0.005	0.023	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	07:25:00	US/Eastern
TTT	2016-01-23 12:40:00	0.156	0.008	0.035	4.249	0.104	0.005	0.023	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	07:40:00	US/Eastern
TTT	2016-01-23 12:55:00	0.156	0.008	0.035	4.249	0.103	0.005	0.023	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	07:55:00	US/Eastern
TTT	2016-01-23 13:10:00	0.156	0.008	0.035	4.249	0.102	0.005	0.023	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	08:10:00	US/Eastern
TTT	2016-01-23 13:25:00	0.156	0.008	0.035	4.249	0.101	0.005	0.023	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	08:25:00	US/Eastern
TTT	2016-01-23 13:40:00	0.156	0.008	0.035	4.249	0.1	0.005	0.022	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	08:40:00	US/Eastern
TTT	2016-01-23 13:55:00	0.156	0.008	0.035	4.249	0.099	0.005	0.022	4.249	1	0.1	0.308	2.924	1.0	3.101	0.0	2016-01-23	08:55:00	US/Eastern
TTT	2016-01-23 14:10:00	0.156	0.008	0.035	4.249	0.098	0.005	0.022	4.249	1	0.1	0.308	2.924	1.0	2.735	0.0	2016-01-23	09:10:00	US/Eastern
TTT	2016-01-23 14:25:00	0.156	0.008	0.035	4.225	0.097	0.005	0.022	4.225	1	0.101	0.309	2.916	1.0	2.735	-0.024	2016-01-23	09:25:00	US/Eastern
TTT	2016-01-23 14:40:00	0.156	0.008	0.035	4.203	0.096	0.005	0.022	4.201	1	0.101	0.309	2.907	1.0	2.735	-0.024	2016-01-23	09:40:00	US/Eastern
TTT	2016-01-23 14:55:00	0.156	0.008	0.035	4.18	0.095	0.005	0.022	4.176	1	0.102	0.31	2.899	1.0	2.735	-0.049	2016-01-23	09:55:00	US/Eastern
TTT	2016-01-23 15:10:00	0.156	0.008	0.035	4.158	0.094	0.005	0.021	4.151	1	0.102	0.311	2.891	1.0	2.735	-0.074	2016-01-23	10:10:00	US/Eastern
