Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - TVIX.txt

Data for: 2016-01-01 00:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
TVIX	2016-01-01 00:10:00	1.147	0.552	1.665	0.358	0.898	0.36	0.794	0.678	18	22.467	14.725	-0.303	0.722	0.646	0.058	2015-12-31	19:10:00	US/Eastern
TVIX	2016-01-01 00:25:00	1.147	0.551	1.665	0.358	0.889	0.359	0.793	0.668	18	22.446	14.703	-0.302	0.722	0.646	-0.01	2015-12-31	19:25:00	US/Eastern
TVIX	2016-01-01 00:40:00	1.147	0.55	1.664	0.359	0.88	0.358	0.793	0.658	18	22.425	14.682	-0.301	0.722	0.646	-0.01	2015-12-31	19:40:00	US/Eastern
TVIX	2016-01-01 00:55:00	1.147	0.549	1.664	0.359	0.871	0.357	0.793	0.648	18	22.404	14.66	-0.3	0.722	0.646	-0.01	2015-12-31	19:55:00	US/Eastern
TVIX	2016-01-01 01:10:00	0.647	0.523	1.658	0.075	0.364	0.332	0.784	0.041	19	22.433	14.624	-0.235	0.737	0.677	-0.607	2015-12-31	20:10:00	US/Eastern
TVIX	2016-01-01 01:25:00	0.647	0.522	1.658	0.075	0.36	0.331	0.784	0.037	19	22.413	14.602	-0.234	0.737	0.677	-0.004	2015-12-31	20:25:00	US/Eastern
TVIX	2016-01-01 01:40:00	0.647	0.521	1.658	0.076	0.356	0.331	0.783	0.033	19	22.392	14.58	-0.233	0.737	0.677	-0.004	2015-12-31	20:40:00	US/Eastern
TVIX	2016-01-01 01:55:00	0.647	0.52	1.657	0.077	0.353	0.33	0.783	0.029	19	22.371	14.558	-0.232	0.737	0.677	-0.004	2015-12-31	20:55:00	US/Eastern
TVIX	2016-01-01 02:10:00	0.397	0.506	1.657	-0.066	0.257	0.325	0.784	-0.086	18	22.3	14.55	-0.296	0.778	0.646	-0.115	2015-12-31	21:10:00	US/Eastern
TVIX	2016-01-01 02:25:00	0.397	0.506	1.657	-0.066	0.255	0.324	0.784	-0.089	18	22.279	14.528	-0.295	0.778	0.646	-0.003	2015-12-31	21:25:00	US/Eastern
TVIX	2016-01-01 02:40:00	0.397	0.505	1.656	-0.065	0.252	0.324	0.783	-0.092	18	22.258	14.505	-0.294	0.778	0.646	-0.003	2015-12-31	21:40:00	US/Eastern
TVIX	2016-01-01 02:55:00	0.397	0.504	1.656	-0.064	0.249	0.323	0.783	-0.094	18	22.238	14.483	-0.293	0.778	0.646	-0.003	2015-12-31	21:55:00	US/Eastern
TVIX	2016-01-01 03:10:00	0.397	0.503	1.656	-0.064	0.247	0.323	0.783	-0.097	17	22.167	14.478	-0.357	0.765	0.618	-0.003	2015-12-31	22:10:00	US/Eastern
TVIX	2016-01-01 03:25:00	0.397	0.502	1.656	-0.063	0.244	0.322	0.783	-0.1	17	22.146	14.455	-0.356	0.765	0.618	-0.003	2015-12-31	22:25:00	US/Eastern
TVIX	2016-01-01 03:40:00	0.397	0.501	1.655	-0.063	0.242	0.322	0.783	-0.102	17	22.125	14.433	-0.355	0.765	0.618	-0.003	2015-12-31	22:40:00	US/Eastern
TVIX	2016-01-01 03:55:00	0.397	0.5	1.655	-0.062	0.239	0.321	0.783	-0.105	17	22.104	14.41	-0.354	0.765	0.618	-0.003	2015-12-31	22:55:00	US/Eastern
TVIX	2016-01-01 04:10:00	0.397	0.499	1.655	-0.062	0.237	0.321	0.783	-0.107	17	22.083	14.387	-0.353	0.765	0.618	-0.003	2015-12-31	23:10:00	US/Eastern
TVIX	2016-01-01 04:25:00	0.397	0.498	1.655	-0.061	0.234	0.32	0.783	-0.11	17	22.063	14.364	-0.352	0.765	0.618	-0.002	2015-12-31	23:25:00	US/Eastern
TVIX	2016-01-01 04:40:00	0.397	0.497	1.654	-0.06	0.232	0.32	0.783	-0.112	17	22.042	14.342	-0.352	0.765	0.618	-0.002	2015-12-31	23:40:00	US/Eastern
TVIX	2016-01-01 04:55:00	0.397	0.496	1.654	-0.06	0.229	0.319	0.783	-0.114	17	22.021	14.319	-0.351	0.765	0.618	-0.002	2015-12-31	23:55:00	US/Eastern
TVIX	2016-01-01 05:10:00	0.697	0.51	1.654	0.113	0.526	0.333	0.784	0.245	19	22.1	14.266	-0.217	0.789	0.677	0.359	2016-01-01	00:10:00	US/Eastern
TVIX	2016-01-01 05:25:00	0.697	0.509	1.654	0.114	0.52	0.333	0.784	0.239	19	22.079	14.243	-0.216	0.789	0.677	-0.006	2016-01-01	00:25:00	US/Eastern
