Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - TZL.txt

Data for: 2016-02-01 06:40:00 UTC - 2016-02-02 06:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
TZL	2016-02-01 06:40:00	-0.075	-0.003	0.017	-4.228	-0.074	-0.003	0.017	-4.239	1	0.1	0.308	2.924	1.0	3.246	-4.016	2016-02-01	01:40:00	US/Eastern
TZL	2016-02-01 06:55:00	-0.075	-0.003	0.017	-4.228	-0.074	-0.003	0.017	-4.239	1	0.1	0.308	2.924	1.0	3.246	-4.015	2016-02-01	01:55:00	US/Eastern
TZL	2016-02-01 07:10:00	-0.075	-0.003	0.017	-4.228	-0.073	-0.003	0.016	-4.239	1	0.1	0.308	2.924	1.0	3.246	-4.015	2016-02-01	02:10:00	US/Eastern
TZL	2016-02-01 07:25:00	-0.075	-0.003	0.017	-4.228	-0.072	-0.003	0.016	-4.239	1	0.1	0.308	2.924	1.0	3.246	0.0	2016-02-01	02:25:00	US/Eastern
TZL	2016-02-01 07:40:00	-0.075	-0.003	0.017	-4.228	-0.071	-0.003	0.016	-4.238	1	0.1	0.308	2.924	1.0	3.246	0.0	2016-02-01	02:40:00	US/Eastern
TZL	2016-02-01 07:55:00	-0.075	-0.003	0.017	-4.228	-0.071	-0.003	0.016	-4.238	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	02:55:00	US/Eastern
TZL	2016-02-01 08:10:00	-0.075	-0.003	0.017	-4.228	-0.07	-0.003	0.016	-4.238	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	03:10:00	US/Eastern
TZL	2016-02-01 08:25:00	-0.075	-0.003	0.017	-4.228	-0.069	-0.003	0.016	-4.238	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	03:25:00	US/Eastern
TZL	2016-02-01 08:40:00	-0.075	-0.003	0.017	-4.228	-0.068	-0.003	0.015	-4.237	1	0.1	0.308	2.924	1.0	3.246	0.0	2016-02-01	03:40:00	US/Eastern
TZL	2016-02-01 08:55:00	-0.075	-0.003	0.017	-4.228	-0.068	-0.003	0.015	-4.237	1	0.1	0.308	2.924	1.0	3.246	0.0	2016-02-01	03:55:00	US/Eastern
TZL	2016-02-01 09:10:00	-0.075	-0.003	0.017	-4.228	-0.067	-0.003	0.015	-4.237	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	04:10:00	US/Eastern
TZL	2016-02-01 09:25:00	-0.075	-0.003	0.017	-4.228	-0.066	-0.003	0.015	-4.237	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	04:25:00	US/Eastern
TZL	2016-02-01 09:40:00	-0.075	-0.003	0.017	-4.228	-0.066	-0.003	0.015	-4.237	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	04:40:00	US/Eastern
TZL	2016-02-01 09:55:00	-0.075	-0.003	0.017	-4.228	-0.065	-0.003	0.015	-4.236	1	0.1	0.308	2.924	1.0	3.246	0.0	2016-02-01	04:55:00	US/Eastern
TZL	2016-02-01 10:10:00	-0.075	-0.003	0.017	-4.228	-0.064	-0.003	0.014	-4.236	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	05:10:00	US/Eastern
TZL	2016-02-01 10:25:00	-0.075	-0.003	0.017	-4.228	-0.064	-0.003	0.014	-4.236	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	05:25:00	US/Eastern
TZL	2016-02-01 10:40:00	-0.075	-0.003	0.017	-4.228	-0.063	-0.003	0.014	-4.235	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	05:40:00	US/Eastern
TZL	2016-02-01 10:55:00	-0.075	-0.003	0.017	-4.228	-0.062	-0.003	0.014	-4.235	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	05:55:00	US/Eastern
TZL	2016-02-01 11:10:00	-0.075	-0.003	0.017	-4.228	-0.062	-0.003	0.014	-4.235	1	0.1	0.308	2.924	1.0	3.246	0.0	2016-02-01	06:10:00	US/Eastern
TZL	2016-02-01 11:25:00	-0.075	-0.003	0.017	-4.228	-0.061	-0.003	0.014	-4.235	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	06:25:00	US/Eastern
TZL	2016-02-01 11:40:00	-0.075	-0.003	0.017	-4.228	-0.06	-0.003	0.014	-4.234	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	06:40:00	US/Eastern
TZL	2016-02-01 11:55:00	-0.075	-0.003	0.017	-4.228	-0.06	-0.003	0.013	-4.234	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	06:55:00	US/Eastern
TZL	2016-02-01 12:10:00	-0.075	-0.003	0.017	-4.228	-0.059	-0.003	0.013	-4.234	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	07:10:00	US/Eastern
TZL	2016-02-01 12:25:00	-0.075	-0.003	0.017	-4.228	-0.058	-0.003	0.013	-4.233	1	0.1	0.308	2.924	1.0	3.246	0.0	2016-02-01	07:25:00	US/Eastern
TZL	2016-02-01 12:40:00	-0.075	-0.003	0.017	-4.228	-0.058	-0.003	0.013	-4.233	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	07:40:00	US/Eastern
TZL	2016-02-01 12:55:00	-0.075	-0.003	0.017	-4.228	-0.057	-0.003	0.013	-4.233	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	07:55:00	US/Eastern
TZL	2016-02-01 13:10:00	-0.075	-0.003	0.017	-4.228	-0.057	-0.003	0.013	-4.232	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	08:10:00	US/Eastern
TZL	2016-02-01 13:25:00	-0.075	-0.003	0.017	-4.228	-0.056	-0.003	0.013	-4.232	1	0.1	0.308	2.924	1.0	3.246	0.002	2016-02-01	08:25:00	US/Eastern
TZL	2016-02-01 13:40:00	-0.075	-0.003	0.017	-4.228	-0.056	-0.003	0.013	-4.232	1	0.1	0.308	2.924	1.0	3.246	0.0	2016-02-01	08:40:00	US/Eastern
TZL	2016-02-01 13:55:00	-0.075	-0.003	0.017	-4.228	-0.055	-0.002	0.012	-4.231	1	0.1	0.308	2.924	1.0	3.246	0.001	2016-02-01	08:55:00	US/Eastern
TZL	2016-02-01 14:10:00	-0.075	-0.003	0.017	-4.228	-0.054	-0.002	0.012	-4.231	1	0.1	0.308	2.924	1.0	2.73	0.001	2016-02-01	09:10:00	US/Eastern
TZL	2016-02-01 14:25:00	-0.075	-0.003	0.017	-4.205	-0.054	-0.002	0.012	-4.207	1	0.101	0.309	2.916	1.0	2.73	0.025	2016-02-01	09:25:00	US/Eastern
TZL	2016-02-01 14:40:00	-0.075	-0.003	0.017	-4.182	-0.053	-0.002	0.012	-4.183	1	0.101	0.309	2.907	1.0	2.73	0.049	2016-02-01	09:40:00	US/Eastern
TZL	2016-02-01 14:55:00	-0.075	-0.003	0.017	-4.16	-0.053	-0.002	0.012	-4.158	1	0.102	0.31	2.899	1.0	2.73	0.025	2016-02-01	09:55:00	US/Eastern
TZL	2016-02-01 15:10:00	-0.075	-0.004	0.017	-4.139	-0.052	-0.002	0.012	-4.133	1	0.102	0.311	2.891	1.0	2.73	0.05	2016-02-01	10:10:00	US/Eastern
TZL	2016-02-01 15:25:00	-0.075	-0.004	0.017	-4.117	-0.052	-0.002	0.012	-4.107	1	0.103	0.311	2.883	1.0	2.73	0.076	2016-02-01	10:25:00	US/Eastern
TZL	2016-02-01 15:40:00	-0.075	-0.004	0.017	-4.096	-0.051	-0.002	0.012	-4.08	1	0.103	0.312	2.874	1.0	2.73	0.103	2016-02-01	10:40:00	US/Eastern
TZL	2016-02-01 15:55:00	-0.075	-0.004	0.018	-4.075	-0.051	-0.002	0.012	-4.053	1	0.104	0.313	2.866	1.0	2.73	0.13	2016-02-01	10:55:00	US/Eastern
TZL	2016-02-01 16:10:00	-0.075	-0.004	0.018	-4.054	-0.05	-0.002	0.012	-4.025	1	0.104	0.313	2.858	1.0	2.73	0.028	2016-02-01	11:10:00	US/Eastern
TZL	2016-02-01 16:25:00	-0.075	-0.004	0.018	-4.034	-0.05	-0.002	0.012	-3.997	1	0.105	0.314	2.85	1.0	2.73	0.056	2016-02-01	11:25:00	US/Eastern
TZL	2016-02-01 16:40:00	-0.075	-0.004	0.018	-4.014	-0.049	-0.002	0.012	-3.969	1	0.105	0.315	2.842	1.0	2.73	0.085	2016-02-01	11:40:00	US/Eastern
TZL	2016-02-01 16:55:00	-0.075	-0.004	0.018	-3.994	-0.048	-0.002	0.012	-3.939	1	0.106	0.315	2.835	1.0	2.73	0.114	2016-02-01	11:55:00	US/Eastern
TZL	2016-02-01 17:10:00	-0.075	-0.004	0.018	-3.975	-0.048	-0.002	0.012	-3.91	1	0.106	0.316	2.827	1.0	2.73	0.143	2016-02-01	12:10:00	US/Eastern
