Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - UEM.txt

Data for: 2016-01-28 07:25:00 UTC - 2016-10-07 05:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
UEM	2016-01-28 07:25:00	0.1	0.005	0.022	4.249	0.099	0.005	0.022	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	02:25:00	US/Eastern
UEM	2016-01-28 07:40:00	0.1	0.005	0.022	4.249	0.098	0.005	0.022	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	02:40:00	US/Eastern
UEM	2016-01-28 07:55:00	0.1	0.005	0.022	4.249	0.097	0.005	0.022	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	02:55:00	US/Eastern
UEM	2016-01-28 08:10:00	0.1	0.005	0.022	4.249	0.096	0.005	0.022	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	03:10:00	US/Eastern
UEM	2016-01-28 08:25:00	0.1	0.005	0.022	4.249	0.095	0.005	0.021	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	03:25:00	US/Eastern
UEM	2016-01-28 08:40:00	0.1	0.005	0.022	4.249	0.094	0.005	0.021	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	03:40:00	US/Eastern
UEM	2016-01-28 08:55:00	0.1	0.005	0.022	4.249	0.093	0.005	0.021	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	03:55:00	US/Eastern
UEM	2016-01-28 09:10:00	0.1	0.005	0.022	4.249	0.092	0.005	0.021	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	04:10:00	US/Eastern
UEM	2016-01-28 09:25:00	0.1	0.005	0.022	4.249	0.091	0.005	0.02	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	04:25:00	US/Eastern
UEM	2016-01-28 09:40:00	0.1	0.005	0.022	4.249	0.09	0.005	0.02	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	04:40:00	US/Eastern
UEM	2016-01-28 09:55:00	0.1	0.005	0.022	4.249	0.089	0.004	0.02	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	04:55:00	US/Eastern
UEM	2016-01-28 10:10:00	0.1	0.005	0.022	4.249	0.089	0.004	0.02	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	05:10:00	US/Eastern
UEM	2016-01-28 10:25:00	0.1	0.005	0.022	4.249	0.088	0.004	0.02	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	05:25:00	US/Eastern
UEM	2016-01-28 10:40:00	0.1	0.005	0.022	4.249	0.087	0.004	0.019	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	05:40:00	US/Eastern
UEM	2016-01-28 10:55:00	0.1	0.005	0.022	4.249	0.086	0.004	0.019	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	05:55:00	US/Eastern
UEM	2016-01-28 11:10:00	0.1	0.005	0.022	4.249	0.085	0.004	0.019	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	06:10:00	US/Eastern
UEM	2016-01-28 11:25:00	0.1	0.005	0.022	4.249	0.084	0.004	0.019	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	06:25:00	US/Eastern
UEM	2016-01-28 11:40:00	0.1	0.005	0.022	4.249	0.083	0.004	0.019	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	06:40:00	US/Eastern
UEM	2016-01-28 11:55:00	0.1	0.005	0.022	4.249	0.082	0.004	0.018	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	06:55:00	US/Eastern
UEM	2016-01-28 12:10:00	0.1	0.005	0.022	4.249	0.081	0.004	0.018	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	07:10:00	US/Eastern
UEM	2016-01-28 12:25:00	0.1	0.005	0.022	4.249	0.081	0.004	0.018	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	07:25:00	US/Eastern
UEM	2016-01-28 12:40:00	0.1	0.005	0.022	4.249	0.08	0.004	0.018	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	07:40:00	US/Eastern
UEM	2016-01-28 12:55:00	0.1	0.005	0.022	4.249	0.079	0.004	0.018	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	07:55:00	US/Eastern
UEM	2016-01-28 13:10:00	0.1	0.005	0.022	4.249	0.078	0.004	0.017	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	08:10:00	US/Eastern
UEM	2016-01-28 13:25:00	0.1	0.005	0.022	4.249	0.077	0.004	0.017	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	08:25:00	US/Eastern
UEM	2016-01-28 13:40:00	0.1	0.005	0.022	4.249	0.077	0.004	0.017	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	08:40:00	US/Eastern
UEM	2016-01-28 13:55:00	0.1	0.005	0.022	4.249	0.076	0.004	0.017	4.249	1	0.1	0.308	2.924	1.0	3.109	0.0	2016-01-28	08:55:00	US/Eastern
UEM	2016-01-28 14:10:00	0.1	0.005	0.022	4.249	0.075	0.004	0.017	4.249	1	0.1	0.308	2.924	1.0	2.661	0.0	2016-01-28	09:10:00	US/Eastern
UEM	2016-01-28 14:25:00	0.1	0.005	0.022	4.225	0.074	0.004	0.017	4.225	1	0.101	0.309	2.916	1.0	2.661	-0.024	2016-01-28	09:25:00	US/Eastern
UEM	2016-01-28 14:40:00	0.1	0.005	0.023	4.203	0.073	0.004	0.017	4.201	1	0.101	0.309	2.907	1.0	2.661	-0.024	2016-01-28	09:40:00	US/Eastern
UEM	2016-01-28 14:55:00	0.1	0.005	0.023	4.18	0.073	0.004	0.017	4.176	1	0.102	0.31	2.899	1.0	2.661	-0.049	2016-01-28	09:55:00	US/Eastern
UEM	2016-01-28 15:10:00	0.1	0.005	0.023	4.158	0.072	0.004	0.016	4.151	1	0.102	0.311	2.891	1.0	2.661	-0.074	2016-01-28	10:10:00	US/Eastern
UEM	2016-01-28 15:25:00	0.1	0.005	0.023	4.136	0.071	0.004	0.016	4.125	1	0.103	0.311	2.883	1.0	2.661	-0.1	2016-01-28	10:25:00	US/Eastern
UEM	2016-01-28 15:40:00	0.1	0.005	0.023	4.115	0.07	0.004	0.016	4.098	1	0.103	0.312	2.874	1.0	2.661	-0.127	2016-01-28	10:40:00	US/Eastern
UEM	2016-01-28 15:55:00	0.1	0.005	0.023	4.094	0.07	0.004	0.016	4.071	1	0.104	0.313	2.866	1.0	2.661	-0.027	2016-01-28	10:55:00	US/Eastern
UEM	2016-01-28 16:10:00	0.1	0.005	0.023	4.073	0.069	0.004	0.016	4.043	1	0.104	0.313	2.858	1.0	2.661	-0.055	2016-01-28	11:10:00	US/Eastern
UEM	2016-01-28 16:25:00	0.1	0.005	0.023	4.052	0.068	0.004	0.016	4.015	1	0.105	0.314	2.85	1.0	2.661	-0.083	2016-01-28	11:25:00	US/Eastern
UEM	2016-01-28 16:40:00	0.1	0.006	0.023	4.032	0.068	0.004	0.016	3.986	1	0.105	0.315	2.842	1.0	2.661	-0.112	2016-01-28	11:40:00	US/Eastern
UEM	2016-01-28 16:55:00	0.1	0.006	0.024	4.012	0.067	0.004	0.016	3.957	1	0.106	0.315	2.835	1.0	2.661	-0.141	2016-01-28	11:55:00	US/Eastern
UEM	2016-01-28 17:10:00	0.1	0.006	0.024	3.992	0.066	0.004	0.016	3.927	1	0.106	0.316	2.827	1.0	2.661	-0.03	2016-01-28	12:10:00	US/Eastern
UEM	2016-01-28 17:25:00	0.1	0.006	0.024	3.973	0.065	0.004	0.016	3.897	1	0.107	0.317	2.819	1.0	2.661	-0.06	2016-01-28	12:25:00	US/Eastern
