Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - UGLD.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-31 17:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
UGLD	2016-01-20 05:10:00	0.25	0.006	0.08	3.06	0.208	0.007	0.056	3.594	4	1.263	1.664	1.645	0.5	2.334	-0.053	2016-01-20	00:10:00	US/Eastern
UGLD	2016-01-20 05:25:00	0.25	0.006	0.08	3.06	0.206	0.007	0.056	3.583	4	1.264	1.664	1.644	0.5	2.334	-0.011	2016-01-20	00:25:00	US/Eastern
UGLD	2016-01-20 05:40:00	0.25	0.006	0.08	3.06	0.204	0.007	0.055	3.572	4	1.265	1.664	1.644	0.5	2.334	-0.022	2016-01-20	00:40:00	US/Eastern
UGLD	2016-01-20 05:55:00	0.25	0.006	0.08	3.06	0.201	0.006	0.055	3.561	4	1.266	1.664	1.644	0.5	2.334	-0.033	2016-01-20	00:55:00	US/Eastern
UGLD	2016-01-20 06:10:00	0.25	0.006	0.08	3.06	0.199	0.006	0.054	3.55	4	1.267	1.664	1.643	0.5	2.334	-0.044	2016-01-20	01:10:00	US/Eastern
UGLD	2016-01-20 06:25:00	0.25	0.006	0.08	3.06	0.197	0.006	0.054	3.539	4	1.268	1.663	1.643	0.5	2.334	-0.056	2016-01-20	01:25:00	US/Eastern
UGLD	2016-01-20 06:40:00	0.25	0.006	0.08	3.06	0.195	0.006	0.054	3.527	4	1.269	1.663	1.642	0.5	2.334	-0.012	2016-01-20	01:40:00	US/Eastern
UGLD	2016-01-20 06:55:00	0.25	0.006	0.08	3.06	0.193	0.006	0.053	3.515	4	1.27	1.663	1.642	0.5	2.334	-0.023	2016-01-20	01:55:00	US/Eastern
UGLD	2016-01-20 07:10:00	0.25	0.006	0.08	3.06	0.191	0.006	0.053	3.504	4	1.271	1.663	1.641	0.5	2.334	-0.035	2016-01-20	02:10:00	US/Eastern
UGLD	2016-01-20 07:25:00	0.25	0.006	0.08	3.059	0.189	0.006	0.053	3.492	4	1.272	1.663	1.641	0.5	2.334	-0.047	2016-01-20	02:25:00	US/Eastern
UGLD	2016-01-20 07:40:00	0.25	0.006	0.08	3.059	0.187	0.006	0.052	3.48	4	1.273	1.662	1.64	0.5	2.334	-0.059	2016-01-20	02:40:00	US/Eastern
UGLD	2016-01-20 07:55:00	0.25	0.006	0.08	3.059	0.185	0.005	0.052	3.468	4	1.274	1.662	1.64	0.5	2.334	-0.012	2016-01-20	02:55:00	US/Eastern
UGLD	2016-01-20 08:10:00	0.25	0.006	0.08	3.059	0.183	0.005	0.052	3.455	4	1.275	1.662	1.64	0.5	2.334	-0.024	2016-01-20	03:10:00	US/Eastern
UGLD	2016-01-20 08:25:00	0.346	0.01	0.096	3.477	0.277	0.01	0.07	3.834	5	1.326	1.76	2.087	0.4	2.586	0.354	2016-01-20	03:25:00	US/Eastern
UGLD	2016-01-20 08:40:00	0.346	0.01	0.096	3.477	0.274	0.01	0.069	3.827	5	1.327	1.76	2.087	0.4	2.586	0.347	2016-01-20	03:40:00	US/Eastern
UGLD	2016-01-20 08:55:00	0.346	0.01	0.096	3.477	0.271	0.01	0.069	3.819	5	1.328	1.76	2.086	0.4	2.586	0.339	2016-01-20	03:55:00	US/Eastern
UGLD	2016-01-20 09:10:00	0.346	0.01	0.097	3.477	0.269	0.009	0.068	3.811	5	1.329	1.76	2.086	0.4	2.586	-0.008	2016-01-20	04:10:00	US/Eastern
UGLD	2016-01-20 09:25:00	0.346	0.01	0.097	3.477	0.266	0.009	0.067	3.803	5	1.33	1.759	2.086	0.4	2.586	-0.016	2016-01-20	04:25:00	US/Eastern
UGLD	2016-01-20 09:40:00	0.346	0.01	0.097	3.477	0.263	0.009	0.067	3.795	5	1.331	1.759	2.085	0.4	2.586	-0.024	2016-01-20	04:40:00	US/Eastern
UGLD	2016-01-20 09:55:00	0.346	0.01	0.097	3.476	0.26	0.009	0.066	3.787	5	1.332	1.759	2.085	0.4	2.586	-0.032	2016-01-20	04:55:00	US/Eastern
UGLD	2016-01-20 10:10:00	0.346	0.01	0.097	3.476	0.258	0.009	0.066	3.778	5	1.333	1.759	2.085	0.4	2.586	-0.041	2016-01-20	05:10:00	US/Eastern
UGLD	2016-01-20 10:25:00	0.346	0.01	0.097	3.476	0.255	0.009	0.065	3.77	5	1.334	1.759	2.084	0.4	2.586	-0.008	2016-01-20	05:25:00	US/Eastern
UGLD	2016-01-20 10:40:00	0.346	0.01	0.097	3.476	0.252	0.008	0.065	3.761	5	1.335	1.758	2.084	0.4	2.586	-0.017	2016-01-20	05:40:00	US/Eastern
UGLD	2016-01-20 10:55:00	0.346	0.01	0.097	3.476	0.25	0.008	0.064	3.753	5	1.336	1.758	2.084	0.4	2.586	-0.026	2016-01-20	05:55:00	US/Eastern
UGLD	2016-01-20 11:10:00	0.346	0.01	0.097	3.476	0.247	0.008	0.064	3.744	5	1.338	1.758	2.083	0.4	2.586	-0.035	2016-01-20	06:10:00	US/Eastern
UGLD	2016-01-20 11:25:00	0.396	0.013	0.106	3.618	0.263	0.009	0.067	3.792	4	1.289	1.66	1.634	0.5	2.334	0.014	2016-01-20	06:25:00	US/Eastern
UGLD	2016-01-20 11:40:00	0.396	0.013	0.106	3.618	0.26	0.009	0.066	3.784	4	1.29	1.659	1.633	0.5	2.334	-0.008	2016-01-20	06:40:00	US/Eastern
UGLD	2016-01-20 11:55:00	0.396	0.013	0.106	3.618	0.257	0.009	0.066	3.775	4	1.291	1.659	1.633	0.5	2.334	-0.017	2016-01-20	06:55:00	US/Eastern
UGLD	2016-01-20 12:10:00	0.396	0.013	0.106	3.617	0.255	0.008	0.065	3.767	4	1.292	1.659	1.632	0.5	2.334	-0.025	2016-01-20	07:10:00	US/Eastern
UGLD	2016-01-20 12:25:00	0.396	0.012	0.106	3.617	0.252	0.008	0.065	3.758	4	1.293	1.659	1.632	0.5	2.334	-0.034	2016-01-20	07:25:00	US/Eastern
UGLD	2016-01-20 12:40:00	0.396	0.012	0.106	3.617	0.249	0.008	0.064	3.75	4	1.294	1.659	1.632	0.5	2.334	-0.042	2016-01-20	07:40:00	US/Eastern
