Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - ULE.txt

Data for: 2016-01-20 07:40:00 UTC - 2016-12-31 17:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
ULE	2016-01-20 07:40:00	0.2	0.022	0.091	1.953	0.2	0.019	0.06	3.031	2	0.9	1.119	0.983	1.0	1.981	3.246	2016-01-20	02:40:00	US/Eastern
ULE	2016-01-20 07:55:00	0.2	0.022	0.091	1.953	0.198	0.019	0.059	3.015	2	0.9	1.119	0.983	1.0	1.981	-0.016	2016-01-20	02:55:00	US/Eastern
ULE	2016-01-20 08:10:00	0.2	0.022	0.091	1.953	0.195	0.019	0.059	2.998	2	0.9	1.119	0.983	1.0	1.981	-0.033	2016-01-20	03:10:00	US/Eastern
ULE	2016-01-20 08:25:00	0.2	0.022	0.091	1.953	0.193	0.019	0.059	2.982	2	0.9	1.119	0.983	1.0	1.981	-0.049	2016-01-20	03:25:00	US/Eastern
ULE	2016-01-20 08:40:00	0.2	0.022	0.091	1.953	0.191	0.019	0.058	2.965	2	0.9	1.119	0.983	1.0	1.981	-0.066	2016-01-20	03:40:00	US/Eastern
ULE	2016-01-20 08:55:00	0.2	0.022	0.091	1.953	0.189	0.018	0.058	2.948	2	0.9	1.119	0.983	1.0	1.981	-0.083	2016-01-20	03:55:00	US/Eastern
ULE	2016-01-20 09:10:00	0.2	0.022	0.091	1.953	0.188	0.018	0.058	2.931	2	0.9	1.119	0.983	1.0	1.981	-0.017	2016-01-20	04:10:00	US/Eastern
ULE	2016-01-20 09:25:00	0.2	0.022	0.091	1.953	0.186	0.018	0.057	2.915	2	0.9	1.119	0.983	1.0	1.981	-0.034	2016-01-20	04:25:00	US/Eastern
ULE	2016-01-20 09:40:00	0.2	0.022	0.091	1.953	0.184	0.018	0.057	2.898	2	0.9	1.119	0.983	1.0	1.981	-0.051	2016-01-20	04:40:00	US/Eastern
ULE	2016-01-20 09:55:00	0.2	0.022	0.091	1.953	0.182	0.018	0.057	2.88	2	0.9	1.119	0.983	1.0	1.981	-0.068	2016-01-20	04:55:00	US/Eastern
ULE	2016-01-20 10:10:00	0.2	0.022	0.091	1.953	0.18	0.018	0.057	2.863	2	0.9	1.119	0.983	1.0	1.981	-0.085	2016-01-20	05:10:00	US/Eastern
ULE	2016-01-20 10:25:00	0.2	0.022	0.091	1.953	0.178	0.018	0.056	2.846	2	0.9	1.119	0.983	1.0	1.981	-0.017	2016-01-20	05:25:00	US/Eastern
ULE	2016-01-20 10:40:00	0.2	0.022	0.091	1.953	0.176	0.018	0.056	2.829	2	0.9	1.119	0.983	1.0	1.981	-0.035	2016-01-20	05:40:00	US/Eastern
ULE	2016-01-20 10:55:00	0.2	0.022	0.091	1.953	0.174	0.018	0.056	2.811	2	0.9	1.119	0.983	1.0	1.981	-0.052	2016-01-20	05:55:00	US/Eastern
