Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - UNG.txt

Data for: 2016-01-01 00:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
UNG	2016-01-01 00:10:00	2.658	1.607	2.093	0.502	1.597	0.758	1.237	0.678	46	32.083	20.375	0.683	0.63	1.759	-0.261	2015-12-31	19:10:00	US/Eastern
UNG	2016-01-01 00:25:00	2.658	1.608	2.093	0.502	1.581	0.758	1.237	0.666	46	32.085	20.374	0.683	0.63	1.759	-0.013	2015-12-31	19:25:00	US/Eastern
UNG	2016-01-01 00:40:00	2.658	1.608	2.093	0.502	1.565	0.757	1.237	0.653	46	32.088	20.373	0.683	0.63	1.759	-0.013	2015-12-31	19:40:00	US/Eastern
UNG	2016-01-01 00:55:00	2.658	1.608	2.094	0.501	1.548	0.757	1.236	0.64	46	32.09	20.372	0.683	0.63	1.759	-0.013	2015-12-31	19:55:00	US/Eastern
UNG	2016-01-01 01:10:00	2.908	1.621	2.101	0.613	1.624	0.761	1.239	0.696	45	32.042	20.337	0.637	0.622	1.73	0.056	2015-12-31	20:10:00	US/Eastern
UNG	2016-01-01 01:25:00	2.908	1.621	2.101	0.612	1.607	0.76	1.239	0.683	45	32.044	20.336	0.637	0.622	1.73	-0.013	2015-12-31	20:25:00	US/Eastern
UNG	2016-01-01 01:40:00	2.908	1.622	2.102	0.612	1.59	0.76	1.238	0.671	45	32.046	20.335	0.637	0.622	1.73	-0.013	2015-12-31	20:40:00	US/Eastern
UNG	2016-01-01 01:55:00	2.908	1.622	2.102	0.612	1.574	0.759	1.238	0.658	45	32.048	20.334	0.637	0.622	1.73	-0.013	2015-12-31	20:55:00	US/Eastern
UNG	2016-01-01 02:10:00	2.908	1.622	2.102	0.612	1.557	0.759	1.238	0.645	45	32.05	20.333	0.637	0.622	1.73	-0.013	2015-12-31	21:10:00	US/Eastern
UNG	2016-01-01 02:25:00	2.908	1.623	2.102	0.611	1.541	0.758	1.237	0.633	46	32.102	20.366	0.682	0.63	1.759	-0.012	2015-12-31	21:25:00	US/Eastern
UNG	2016-01-01 02:40:00	2.908	1.623	2.102	0.611	1.525	0.758	1.237	0.62	46	32.104	20.365	0.682	0.63	1.759	-0.012	2015-12-31	21:40:00	US/Eastern
UNG	2016-01-01 02:55:00	2.908	1.624	2.103	0.611	1.509	0.757	1.237	0.608	46	32.106	20.364	0.682	0.63	1.759	-0.012	2015-12-31	21:55:00	US/Eastern
UNG	2016-01-01 03:10:00	2.908	1.624	2.103	0.611	1.494	0.757	1.237	0.596	46	32.108	20.363	0.682	0.63	1.759	-0.012	2015-12-31	22:10:00	US/Eastern
UNG	2016-01-01 03:25:00	2.458	1.602	2.091	0.41	1.313	0.748	1.232	0.459	45	32.06	20.328	0.637	0.622	1.73	-0.137	2015-12-31	22:25:00	US/Eastern
UNG	2016-01-01 03:40:00	2.458	1.602	2.091	0.409	1.3	0.748	1.232	0.448	45	32.063	20.327	0.636	0.622	1.73	-0.011	2015-12-31	22:40:00	US/Eastern
UNG	2016-01-01 03:55:00	2.458	1.602	2.091	0.409	1.286	0.748	1.232	0.437	45	32.065	20.326	0.636	0.622	1.73	-0.011	2015-12-31	22:55:00	US/Eastern
UNG	2016-01-01 04:10:00	2.458	1.603	2.092	0.409	1.273	0.747	1.231	0.427	45	32.067	20.325	0.636	0.622	1.73	-0.011	2015-12-31	23:10:00	US/Eastern
UNG	2016-01-01 04:25:00	2.458	1.603	2.092	0.409	1.26	0.747	1.231	0.416	45	32.069	20.324	0.636	0.622	1.73	-0.01	2015-12-31	23:25:00	US/Eastern
UNG	2016-01-01 04:40:00	2.458	1.603	2.092	0.409	1.247	0.747	1.231	0.406	45	32.071	20.323	0.636	0.622	1.73	-0.01	2015-12-31	23:40:00	US/Eastern
UNG	2016-01-01 04:55:00	2.458	1.604	2.092	0.408	1.234	0.746	1.231	0.396	45	32.073	20.322	0.636	0.622	1.73	-0.01	2015-12-31	23:55:00	US/Eastern
UNG	2016-01-01 05:10:00	2.458	1.604	2.092	0.408	1.221	0.746	1.231	0.386	45	32.075	20.321	0.636	0.622	1.73	-0.01	2016-01-01	00:10:00	US/Eastern
UNG	2016-01-01 05:25:00	2.833	1.623	2.102	0.575	1.345	0.753	1.234	0.48	43	31.977	20.258	0.544	0.628	1.669	0.094	2016-01-01	00:25:00	US/Eastern
UNG	2016-01-01 05:40:00	2.833	1.624	2.103	0.575	1.331	0.752	1.234	0.469	43	31.979	20.257	0.544	0.628	1.669	-0.011	2016-01-01	00:40:00	US/Eastern
UNG	2016-01-01 05:55:00	2.833	1.624	2.103	0.575	1.317	0.752	1.234	0.458	43	31.981	20.256	0.544	0.628	1.669	-0.011	2016-01-01	00:55:00	US/Eastern
UNG	2016-01-01 06:10:00	2.833	1.624	2.103	0.575	1.304	0.752	1.234	0.447	43	31.983	20.255	0.544	0.628	1.669	-0.011	2016-01-01	01:10:00	US/Eastern
UNG	2016-01-01 06:25:00	2.833	1.625	2.103	0.575	1.29	0.751	1.234	0.437	43	31.985	20.254	0.544	0.628	1.669	-0.011	2016-01-01	01:25:00	US/Eastern
