Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VBK.txt

Data for: 2016-01-04 15:55:00 UTC - 2016-12-30 11:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VBK	2016-01-04 15:55:00	0.5	0.062	0.16	2.74	0.497	0.04	0.119	3.852	1	0.15	0.366	2.32	1.0	2.798	0.0	2016-01-04	10:55:00	US/Eastern
VBK	2016-01-04 16:10:00	0.5	0.062	0.16	2.74	0.492	0.04	0.117	3.844	1	0.15	0.366	2.32	1.0	2.798	-0.007	2016-01-04	11:10:00	US/Eastern
VBK	2016-01-04 16:25:00	0.5	0.062	0.16	2.74	0.487	0.04	0.116	3.837	1	0.15	0.366	2.32	1.0	2.798	-0.008	2016-01-04	11:25:00	US/Eastern
VBK	2016-01-04 16:40:00	0.5	0.062	0.16	2.74	0.482	0.04	0.115	3.829	1	0.15	0.366	2.32	1.0	2.798	-0.008	2016-01-04	11:40:00	US/Eastern
VBK	2016-01-04 16:55:00	0.5	0.062	0.16	2.74	0.477	0.039	0.114	3.821	1	0.15	0.366	2.32	1.0	2.798	-0.008	2016-01-04	11:55:00	US/Eastern
VBK	2016-01-04 17:10:00	0.5	0.062	0.16	2.74	0.472	0.039	0.113	3.813	1	0.15	0.366	2.32	1.0	2.798	-0.008	2016-01-04	12:10:00	US/Eastern
VBK	2016-01-04 17:25:00	1.0	0.088	0.247	3.694	0.966	0.064	0.218	4.135	2	0.2	0.523	3.441	1.0	3.769	0.322	2016-01-04	12:25:00	US/Eastern
VBK	2016-01-04 17:40:00	1.0	0.088	0.247	3.694	0.956	0.063	0.216	4.133	2	0.2	0.523	3.441	1.0	3.769	-0.002	2016-01-04	12:40:00	US/Eastern
VBK	2016-01-04 17:55:00	1.0	0.088	0.247	3.694	0.946	0.063	0.214	4.131	2	0.2	0.523	3.441	1.0	3.769	-0.002	2016-01-04	12:55:00	US/Eastern
VBK	2016-01-04 18:10:00	1.0	0.088	0.247	3.694	0.937	0.062	0.212	4.128	2	0.2	0.523	3.441	1.0	3.769	-0.002	2016-01-04	13:10:00	US/Eastern
VBK	2016-01-04 18:25:00	1.0	0.088	0.247	3.694	0.927	0.062	0.21	4.126	2	0.2	0.523	3.441	1.0	3.769	-0.002	2016-01-04	13:25:00	US/Eastern
VBK	2016-01-04 18:40:00	1.0	0.088	0.247	3.694	0.917	0.062	0.208	4.123	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	13:40:00	US/Eastern
VBK	2016-01-04 18:55:00	1.0	0.088	0.247	3.694	0.908	0.061	0.205	4.121	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	13:55:00	US/Eastern
VBK	2016-01-04 19:10:00	1.0	0.088	0.247	3.694	0.898	0.061	0.203	4.118	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	14:10:00	US/Eastern
VBK	2016-01-04 19:25:00	1.0	0.088	0.247	3.694	0.889	0.06	0.201	4.115	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	14:25:00	US/Eastern
VBK	2016-01-04 19:40:00	1.0	0.088	0.247	3.694	0.88	0.06	0.199	4.113	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	14:40:00	US/Eastern
VBK	2016-01-04 19:55:00	1.0	0.088	0.247	3.694	0.871	0.059	0.197	4.11	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	14:55:00	US/Eastern
VBK	2016-01-04 20:10:00	1.0	0.088	0.247	3.694	0.862	0.059	0.196	4.107	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	15:10:00	US/Eastern
VBK	2016-01-04 20:25:00	1.0	0.088	0.247	3.694	0.853	0.058	0.194	4.104	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	15:25:00	US/Eastern
VBK	2016-01-04 20:40:00	1.0	0.088	0.247	3.694	0.844	0.058	0.192	4.101	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	15:40:00	US/Eastern
VBK	2016-01-04 20:55:00	1.0	0.088	0.247	3.694	0.835	0.057	0.19	4.098	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	15:55:00	US/Eastern
VBK	2016-01-04 21:10:00	1.0	0.088	0.247	3.694	0.827	0.057	0.188	4.095	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	16:10:00	US/Eastern
VBK	2016-01-04 21:25:00	1.0	0.088	0.247	3.694	0.818	0.057	0.186	4.092	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	16:25:00	US/Eastern
VBK	2016-01-04 21:40:00	1.0	0.088	0.247	3.694	0.809	0.056	0.184	4.089	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	16:40:00	US/Eastern
VBK	2016-01-04 21:55:00	1.0	0.088	0.247	3.694	0.801	0.056	0.182	4.086	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	16:55:00	US/Eastern
VBK	2016-01-04 22:10:00	1.0	0.088	0.247	3.694	0.793	0.055	0.181	4.082	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	17:10:00	US/Eastern
VBK	2016-01-04 22:25:00	1.0	0.088	0.247	3.694	0.785	0.055	0.179	4.079	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	17:25:00	US/Eastern
VBK	2016-01-04 22:40:00	1.0	0.088	0.247	3.694	0.776	0.054	0.177	4.076	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	17:40:00	US/Eastern
VBK	2016-01-04 22:55:00	1.0	0.088	0.247	3.694	0.768	0.054	0.175	4.072	2	0.2	0.523	3.441	1.0	3.769	-0.003	2016-01-04	17:55:00	US/Eastern
VBK	2016-01-04 23:10:00	0.625	0.069	0.179	3.108	0.386	0.035	0.097	3.634	3	0.25	0.716	3.839	1.0	4.552	-0.438	2016-01-04	18:10:00	US/Eastern
VBK	2016-01-04 23:25:00	0.625	0.069	0.179	3.108	0.382	0.035	0.096	3.623	3	0.25	0.716	3.839	1.0	4.552	-0.011	2016-01-04	18:25:00	US/Eastern
VBK	2016-01-04 23:40:00	0.625	0.069	0.179	3.108	0.378	0.035	0.095	3.613	3	0.25	0.716	3.839	1.0	4.552	-0.011	2016-01-04	18:40:00	US/Eastern
VBK	2016-01-04 23:55:00	0.625	0.069	0.179	3.108	0.374	0.034	0.094	3.602	3	0.25	0.716	3.839	1.0	4.552	-0.011	2016-01-04	18:55:00	US/Eastern
VBK	2016-01-05 00:10:00	0.625	0.069	0.179	3.108	0.37	0.034	0.094	3.591	3	0.25	0.716	3.839	1.0	4.552	-0.011	2016-01-04	19:10:00	US/Eastern
VBK	2016-01-05 00:25:00	0.625	0.069	0.179	3.108	0.366	0.034	0.093	3.579	3	0.25	0.716	3.839	1.0	4.552	-0.011	2016-01-04	19:25:00	US/Eastern
VBK	2016-01-05 00:40:00	0.625	0.069	0.179	3.108	0.362	0.034	0.092	3.568	3	0.25	0.716	3.839	1.0	4.552	-0.011	2016-01-04	19:40:00	US/Eastern
VBK	2016-01-05 00:55:00	0.625	0.069	0.179	3.108	0.359	0.034	0.091	3.556	3	0.25	0.716	3.839	1.0	4.552	-0.012	2016-01-04	19:55:00	US/Eastern
VBK	2016-01-05 01:10:00	0.625	0.069	0.179	3.108	0.355	0.033	0.091	3.545	3	0.25	0.716	3.839	1.0	4.552	-0.012	2016-01-04	20:10:00	US/Eastern
VBK	2016-01-05 01:25:00	0.625	0.069	0.179	3.108	0.351	0.033	0.09	3.533	3	0.25	0.716	3.839	1.0	4.552	-0.012	2016-01-04	20:25:00	US/Eastern
VBK	2016-01-05 01:40:00	0.625	0.069	0.179	3.108	0.348	0.033	0.089	3.521	3	0.25	0.716	3.839	1.0	4.552	-0.012	2016-01-04	20:40:00	US/Eastern
VBK	2016-01-05 01:55:00	0.625	0.069	0.179	3.108	0.344	0.033	0.089	3.509	3	0.25	0.716	3.839	1.0	4.552	-0.012	2016-01-04	20:55:00	US/Eastern
