Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VEGI.txt

Data for: 2016-02-09 15:55:00 UTC - 2016-09-17 00:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VEGI	2016-02-09 15:55:00	0.267	0.013	0.06	4.249	0.265	0.013	0.059	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	10:55:00	US/Eastern
VEGI	2016-02-09 16:10:00	0.267	0.013	0.06	4.249	0.262	0.013	0.059	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	11:10:00	US/Eastern
VEGI	2016-02-09 16:25:00	0.267	0.013	0.06	4.249	0.26	0.013	0.058	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	11:25:00	US/Eastern
VEGI	2016-02-09 16:40:00	0.267	0.013	0.06	4.249	0.257	0.013	0.057	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	11:40:00	US/Eastern
VEGI	2016-02-09 16:55:00	0.267	0.013	0.06	4.249	0.254	0.013	0.057	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	11:55:00	US/Eastern
VEGI	2016-02-09 17:10:00	0.267	0.013	0.06	4.249	0.252	0.013	0.056	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	12:10:00	US/Eastern
VEGI	2016-02-09 17:25:00	0.267	0.013	0.06	4.249	0.249	0.012	0.056	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	12:25:00	US/Eastern
VEGI	2016-02-09 17:40:00	0.267	0.013	0.06	4.249	0.247	0.012	0.055	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	12:40:00	US/Eastern
VEGI	2016-02-09 17:55:00	0.267	0.013	0.06	4.249	0.244	0.012	0.055	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	12:55:00	US/Eastern
VEGI	2016-02-09 18:10:00	0.267	0.013	0.06	4.249	0.241	0.012	0.054	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	13:10:00	US/Eastern
VEGI	2016-02-09 18:25:00	0.267	0.013	0.06	4.249	0.239	0.012	0.053	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	13:25:00	US/Eastern
VEGI	2016-02-09 18:40:00	0.267	0.013	0.06	4.249	0.236	0.012	0.053	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	13:40:00	US/Eastern
VEGI	2016-02-09 18:55:00	0.267	0.013	0.06	4.249	0.234	0.012	0.052	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	13:55:00	US/Eastern
VEGI	2016-02-09 19:10:00	0.267	0.013	0.06	4.249	0.232	0.012	0.052	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	14:10:00	US/Eastern
VEGI	2016-02-09 19:25:00	0.267	0.013	0.06	4.249	0.229	0.011	0.051	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	14:25:00	US/Eastern
VEGI	2016-02-09 19:40:00	0.267	0.013	0.06	4.249	0.227	0.011	0.051	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	14:40:00	US/Eastern
VEGI	2016-02-09 19:55:00	0.267	0.013	0.06	4.249	0.224	0.011	0.05	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	14:55:00	US/Eastern
VEGI	2016-02-09 20:10:00	0.267	0.013	0.06	4.249	0.222	0.011	0.05	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	15:10:00	US/Eastern
VEGI	2016-02-09 20:25:00	0.267	0.013	0.06	4.249	0.22	0.011	0.049	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	15:25:00	US/Eastern
VEGI	2016-02-09 20:40:00	0.267	0.013	0.06	4.249	0.218	0.011	0.049	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	15:40:00	US/Eastern
VEGI	2016-02-09 20:55:00	0.267	0.013	0.06	4.249	0.215	0.011	0.048	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	15:55:00	US/Eastern
VEGI	2016-02-09 21:10:00	0.267	0.013	0.06	4.249	0.213	0.011	0.048	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	16:10:00	US/Eastern
VEGI	2016-02-09 21:25:00	0.267	0.013	0.06	4.249	0.211	0.011	0.047	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	16:25:00	US/Eastern
VEGI	2016-02-09 21:40:00	0.267	0.013	0.06	4.249	0.209	0.01	0.047	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	16:40:00	US/Eastern
VEGI	2016-02-09 21:55:00	0.267	0.013	0.06	4.249	0.207	0.01	0.046	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	16:55:00	US/Eastern
VEGI	2016-02-09 22:10:00	0.267	0.013	0.06	4.249	0.204	0.01	0.046	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	17:10:00	US/Eastern
VEGI	2016-02-09 22:25:00	0.267	0.013	0.06	4.249	0.202	0.01	0.045	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	17:25:00	US/Eastern
VEGI	2016-02-09 22:40:00	0.267	0.013	0.06	4.249	0.2	0.01	0.045	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	17:40:00	US/Eastern
VEGI	2016-02-09 22:55:00	0.267	0.013	0.06	4.249	0.198	0.01	0.044	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	17:55:00	US/Eastern
VEGI	2016-02-09 23:10:00	0.267	0.013	0.06	4.249	0.196	0.01	0.044	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	18:10:00	US/Eastern
VEGI	2016-02-09 23:25:00	0.267	0.013	0.06	4.249	0.194	0.01	0.043	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	18:25:00	US/Eastern
VEGI	2016-02-09 23:40:00	0.267	0.013	0.06	4.249	0.192	0.01	0.043	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	18:40:00	US/Eastern
VEGI	2016-02-09 23:55:00	0.267	0.013	0.06	4.249	0.19	0.01	0.042	4.249	2	0.1	0.447	4.249	1.0	2.259	0.0	2016-02-09	18:55:00	US/Eastern
