Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VIXY.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VIXY	2016-01-20 05:10:00	-0.2	-0.041	0.246	-0.647	-0.157	-0.029	0.15	-0.854	2	2.594	2.763	-0.215	1.0	0.776	0.051	2016-01-20	00:10:00	US/Eastern
VIXY	2016-01-20 05:25:00	-0.2	-0.041	0.246	-0.647	-0.155	-0.029	0.15	-0.844	2	2.595	2.763	-0.215	1.0	0.776	0.01	2016-01-20	00:25:00	US/Eastern
VIXY	2016-01-20 05:40:00	-0.2	-0.041	0.246	-0.647	-0.153	-0.029	0.149	-0.834	2	2.597	2.762	-0.216	1.0	0.776	0.02	2016-01-20	00:40:00	US/Eastern
VIXY	2016-01-20 05:55:00	-0.2	-0.041	0.246	-0.647	-0.152	-0.029	0.149	-0.825	2	2.598	2.761	-0.217	1.0	0.776	0.029	2016-01-20	00:55:00	US/Eastern
VIXY	2016-01-20 06:10:00	-0.2	-0.041	0.246	-0.647	-0.15	-0.028	0.149	-0.815	2	2.6	2.761	-0.217	1.0	0.776	0.039	2016-01-20	01:10:00	US/Eastern
VIXY	2016-01-20 06:25:00	-0.2	-0.041	0.246	-0.647	-0.149	-0.028	0.149	-0.805	2	2.602	2.76	-0.218	1.0	0.776	0.049	2016-01-20	01:25:00	US/Eastern
VIXY	2016-01-20 06:40:00	-0.2	-0.041	0.246	-0.647	-0.147	-0.028	0.149	-0.796	2	2.603	2.759	-0.219	1.0	0.776	0.009	2016-01-20	01:40:00	US/Eastern
VIXY	2016-01-20 06:55:00	-0.2	-0.041	0.246	-0.647	-0.146	-0.028	0.149	-0.787	2	2.605	2.759	-0.219	1.0	0.776	0.019	2016-01-20	01:55:00	US/Eastern
VIXY	2016-01-20 07:10:00	-0.2	-0.041	0.246	-0.647	-0.144	-0.028	0.149	-0.777	2	2.606	2.758	-0.22	1.0	0.776	0.028	2016-01-20	02:10:00	US/Eastern
VIXY	2016-01-20 07:25:00	-0.2	-0.041	0.246	-0.647	-0.143	-0.028	0.149	-0.768	2	2.608	2.757	-0.22	1.0	0.776	0.037	2016-01-20	02:25:00	US/Eastern
VIXY	2016-01-20 07:40:00	-0.2	-0.041	0.246	-0.647	-0.141	-0.028	0.149	-0.759	2	2.609	2.757	-0.221	1.0	0.776	0.046	2016-01-20	02:40:00	US/Eastern
VIXY	2016-01-20 07:55:00	-0.2	-0.041	0.246	-0.647	-0.14	-0.028	0.149	-0.75	2	2.611	2.756	-0.222	1.0	0.776	0.009	2016-01-20	02:55:00	US/Eastern
VIXY	2016-01-20 08:10:00	-0.2	-0.041	0.246	-0.647	-0.138	-0.028	0.149	-0.741	2	2.613	2.755	-0.222	1.0	0.776	0.018	2016-01-20	03:10:00	US/Eastern
VIXY	2016-01-20 08:25:00	-0.2	-0.041	0.246	-0.647	-0.137	-0.028	0.149	-0.732	2	2.614	2.755	-0.223	1.0	0.776	0.027	2016-01-20	03:25:00	US/Eastern
VIXY	2016-01-20 08:40:00	-0.2	-0.041	0.246	-0.647	-0.135	-0.028	0.149	-0.723	2	2.616	2.754	-0.224	1.0	0.776	0.036	2016-01-20	03:40:00	US/Eastern
VIXY	2016-01-20 08:55:00	-0.2	-0.041	0.246	-0.647	-0.134	-0.028	0.149	-0.715	2	2.617	2.753	-0.224	1.0	0.776	0.044	2016-01-20	03:55:00	US/Eastern
VIXY	2016-01-20 09:10:00	-0.2	-0.041	0.246	-0.647	-0.132	-0.028	0.149	-0.706	1	2.569	2.774	-0.566	1.0	0.588	0.009	2016-01-20	04:10:00	US/Eastern
VIXY	2016-01-20 09:25:00	-0.2	-0.041	0.246	-0.647	-0.131	-0.028	0.149	-0.698	1	2.57	2.773	-0.566	1.0	0.588	0.017	2016-01-20	04:25:00	US/Eastern
VIXY	2016-01-20 09:40:00	-0.2	-0.041	0.246	-0.647	-0.13	-0.027	0.149	-0.689	1	2.572	2.772	-0.567	1.0	0.588	0.026	2016-01-20	04:40:00	US/Eastern
VIXY	2016-01-20 09:55:00	-0.2	-0.041	0.246	-0.647	-0.128	-0.027	0.148	-0.681	1	2.573	2.772	-0.568	1.0	0.588	0.034	2016-01-20	04:55:00	US/Eastern
VIXY	2016-01-20 10:10:00	-0.2	-0.041	0.246	-0.647	-0.127	-0.027	0.148	-0.672	1	2.575	2.771	-0.568	1.0	0.588	0.042	2016-01-20	05:10:00	US/Eastern
VIXY	2016-01-20 10:25:00	-0.2	-0.041	0.246	-0.647	-0.126	-0.027	0.148	-0.664	1	2.577	2.77	-0.569	1.0	0.588	0.008	2016-01-20	05:25:00	US/Eastern
VIXY	2016-01-20 10:40:00	-0.2	-0.041	0.246	-0.647	-0.124	-0.027	0.148	-0.656	1	2.578	2.77	-0.57	1.0	0.588	0.016	2016-01-20	05:40:00	US/Eastern
VIXY	2016-01-20 10:55:00	-0.2	-0.041	0.246	-0.647	-0.123	-0.027	0.148	-0.648	1	2.58	2.769	-0.57	1.0	0.588	0.024	2016-01-20	05:55:00	US/Eastern
VIXY	2016-01-20 11:10:00	-0.2	-0.041	0.246	-0.647	-0.122	-0.027	0.148	-0.64	1	2.581	2.768	-0.571	1.0	0.588	0.032	2016-01-20	06:10:00	US/Eastern
VIXY	2016-01-20 11:25:00	-0.2	-0.041	0.246	-0.647	-0.121	-0.027	0.148	-0.632	1	2.583	2.768	-0.572	1.0	0.588	0.04	2016-01-20	06:25:00	US/Eastern
VIXY	2016-01-20 11:40:00	-0.2	-0.041	0.246	-0.647	-0.119	-0.027	0.148	-0.624	1	2.584	2.767	-0.573	1.0	0.588	0.008	2016-01-20	06:40:00	US/Eastern
VIXY	2016-01-20 11:55:00	-0.2	-0.041	0.246	-0.647	-0.118	-0.027	0.148	-0.616	1	2.586	2.766	-0.573	1.0	0.588	0.016	2016-01-20	06:55:00	US/Eastern
VIXY	2016-01-20 12:10:00	-0.2	-0.041	0.246	-0.647	-0.117	-0.027	0.148	-0.609	1	2.588	2.766	-0.574	1.0	0.588	0.023	2016-01-20	07:10:00	US/Eastern
VIXY	2016-01-20 12:25:00	-0.2	-0.041	0.246	-0.647	-0.116	-0.027	0.148	-0.601	1	2.589	2.765	-0.575	1.0	0.588	0.031	2016-01-20	07:25:00	US/Eastern
VIXY	2016-01-20 12:40:00	-0.2	-0.041	0.246	-0.647	-0.115	-0.027	0.148	-0.594	1	2.591	2.765	-0.575	1.0	0.588	0.038	2016-01-20	07:40:00	US/Eastern
VIXY	2016-01-20 12:55:00	-0.2	-0.041	0.246	-0.647	-0.113	-0.027	0.148	-0.586	1	2.592	2.764	-0.576	1.0	0.588	0.007	2016-01-20	07:55:00	US/Eastern
VIXY	2016-01-20 13:10:00	-0.2	-0.041	0.246	-0.647	-0.112	-0.027	0.148	-0.579	1	2.594	2.763	-0.577	1.0	0.588	0.015	2016-01-20	08:10:00	US/Eastern
VIXY	2016-01-20 13:25:00	-0.2	-0.041	0.246	-0.647	-0.111	-0.026	0.148	-0.571	1	2.595	2.763	-0.577	1.0	0.588	0.022	2016-01-20	08:25:00	US/Eastern
VIXY	2016-01-20 13:40:00	-0.2	-0.041	0.246	-0.647	-0.11	-0.026	0.148	-0.564	1	2.597	2.762	-0.578	1.0	0.588	0.029	2016-01-20	08:40:00	US/Eastern
VIXY	2016-01-20 13:55:00	-0.2	-0.041	0.246	-0.647	-0.109	-0.026	0.148	-0.557	1	2.598	2.761	-0.579	1.0	0.588	0.037	2016-01-20	08:55:00	US/Eastern
VIXY	2016-01-20 14:10:00	-0.2	-0.041	0.246	-0.647	-0.108	-0.026	0.148	-0.55	1	2.6	2.761	-0.58	1.0	0.486	0.007	2016-01-20	09:10:00	US/Eastern
VIXY	2016-01-20 14:25:00	-0.2	-0.041	0.246	-0.647	-0.106	-0.026	0.148	-0.542	1	2.601	2.76	-0.58	1.0	0.486	0.015	2016-01-20	09:25:00	US/Eastern
VIXY	2016-01-20 14:40:00	-0.2	-0.041	0.246	-0.646	-0.105	-0.026	0.148	-0.535	1	2.601	2.76	-0.58	1.0	0.486	0.022	2016-01-20	09:40:00	US/Eastern
VIXY	2016-01-20 14:55:00	-0.2	-0.041	0.246	-0.646	-0.104	-0.026	0.148	-0.528	1	2.602	2.759	-0.58	1.0	0.486	0.029	2016-01-20	09:55:00	US/Eastern
VIXY	2016-01-20 15:10:00	-0.2	-0.041	0.246	-0.645	-0.103	-0.026	0.148	-0.52	1	2.602	2.759	-0.581	1.0	0.486	0.037	2016-01-20	10:10:00	US/Eastern
VIXY	2016-01-20 15:25:00	-0.2	-0.041	0.246	-0.645	-0.102	-0.026	0.148	-0.513	1	2.603	2.759	-0.581	1.0	0.486	0.007	2016-01-20	10:25:00	US/Eastern
VIXY	2016-01-20 15:40:00	-0.2	-0.041	0.246	-0.644	-0.101	-0.026	0.148	-0.506	1	2.603	2.758	-0.581	1.0	0.486	0.014	2016-01-20	10:40:00	US/Eastern
VIXY	2016-01-20 15:55:00	-0.2	-0.042	0.246	-0.644	-0.1	-0.026	0.148	-0.499	1	2.604	2.758	-0.582	1.0	0.486	0.021	2016-01-20	10:55:00	US/Eastern
VIXY	2016-01-20 16:10:00	-0.2	-0.042	0.246	-0.643	-0.099	-0.026	0.148	-0.492	1	2.604	2.757	-0.582	1.0	0.486	0.028	2016-01-20	11:10:00	US/Eastern
VIXY	2016-01-20 16:25:00	-0.2	-0.042	0.246	-0.643	-0.098	-0.026	0.148	-0.485	1	2.605	2.757	-0.582	1.0	0.486	0.035	2016-01-20	11:25:00	US/Eastern
VIXY	2016-01-20 16:40:00	-0.2	-0.042	0.246	-0.642	-0.097	-0.026	0.148	-0.478	1	2.605	2.756	-0.582	1.0	0.486	0.007	2016-01-20	11:40:00	US/Eastern
VIXY	2016-01-20 16:55:00	-0.2	-0.042	0.246	-0.642	-0.096	-0.026	0.148	-0.471	1	2.606	2.756	-0.583	1.0	0.486	0.014	2016-01-20	11:55:00	US/Eastern
VIXY	2016-01-20 17:10:00	-0.2	-0.042	0.246	-0.641	-0.095	-0.026	0.148	-0.465	1	2.606	2.756	-0.583	1.0	0.486	0.02	2016-01-20	12:10:00	US/Eastern
VIXY	2016-01-20 17:25:00	-0.2	-0.042	0.246	-0.641	-0.094	-0.026	0.148	-0.458	1	2.607	2.755	-0.583	1.0	0.486	0.027	2016-01-20	12:25:00	US/Eastern
VIXY	2016-01-20 17:40:00	-0.2	-0.042	0.246	-0.64	-0.093	-0.026	0.148	-0.451	1	2.607	2.755	-0.583	1.0	0.486	0.034	2016-01-20	12:40:00	US/Eastern
VIXY	2016-01-20 17:55:00	-0.2	-0.042	0.246	-0.64	-0.092	-0.026	0.148	-0.445	1	2.608	2.754	-0.584	1.0	0.486	0.007	2016-01-20	12:55:00	US/Eastern
VIXY	2016-01-20 18:10:00	-0.2	-0.042	0.246	-0.639	-0.091	-0.026	0.148	-0.438	1	2.608	2.754	-0.584	1.0	0.486	0.013	2016-01-20	13:10:00	US/Eastern
VIXY	2016-01-20 18:25:00	-0.2	-0.043	0.246	-0.639	-0.09	-0.026	0.148	-0.432	1	2.609	2.754	-0.584	1.0	0.486	0.019	2016-01-20	13:25:00	US/Eastern
VIXY	2016-01-20 18:40:00	-0.2	-0.043	0.246	-0.638	-0.089	-0.026	0.148	-0.426	1	2.609	2.753	-0.585	1.0	0.486	0.026	2016-01-20	13:40:00	US/Eastern
VIXY	2016-01-20 18:55:00	-0.2	-0.043	0.246	-0.638	-0.088	-0.026	0.147	-0.419	1	2.61	2.753	-0.585	1.0	0.486	0.032	2016-01-20	13:55:00	US/Eastern
VIXY	2016-01-20 19:10:00	-0.2	-0.043	0.246	-0.637	-0.087	-0.026	0.147	-0.413	1	2.61	2.752	-0.585	1.0	0.486	0.006	2016-01-20	14:10:00	US/Eastern
VIXY	2016-01-20 19:25:00	-0.2	-0.043	0.246	-0.637	-0.086	-0.026	0.147	-0.407	1	2.611	2.752	-0.585	1.0	0.486	0.012	2016-01-20	14:25:00	US/Eastern
VIXY	2016-01-20 19:40:00	-0.2	-0.043	0.246	-0.636	-0.086	-0.026	0.147	-0.401	1	2.611	2.751	-0.586	1.0	0.486	0.019	2016-01-20	14:40:00	US/Eastern
VIXY	2016-01-20 19:55:00	-0.2	-0.043	0.247	-0.636	-0.085	-0.026	0.147	-0.395	1	2.612	2.751	-0.586	1.0	0.486	0.025	2016-01-20	14:55:00	US/Eastern
VIXY	2016-01-20 20:10:00	0.0	-0.033	0.244	0.137	0.116	-0.016	0.15	0.882	2	2.663	2.729	-0.243	1.0	0.587	1.302	2016-01-20	15:10:00	US/Eastern
VIXY	2016-01-20 20:25:00	0.0	-0.033	0.244	0.137	0.115	-0.017	0.15	0.875	2	2.663	2.728	-0.243	1.0	0.587	-0.007	2016-01-20	15:25:00	US/Eastern
VIXY	2016-01-20 20:40:00	0.0	-0.034	0.244	0.137	0.114	-0.017	0.15	0.868	2	2.664	2.728	-0.243	1.0	0.587	-0.014	2016-01-20	15:40:00	US/Eastern
VIXY	2016-01-20 20:55:00	0.0	-0.034	0.244	0.138	0.112	-0.017	0.15	0.862	2	2.664	2.727	-0.243	1.0	0.587	-0.021	2016-01-20	15:55:00	US/Eastern
