Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VLUE.txt

Data for: 2016-01-22 15:10:00 UTC - 2016-12-23 18:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VLUE	2016-01-22 15:10:00	-0.025	0.004	0.023	-1.232	-0.025	0.001	0.011	-2.337	1	0.15	0.366	2.32	1.0	2.654	-2.114	2016-01-22	10:10:00	US/Eastern
VLUE	2016-01-22 15:25:00	-0.025	0.004	0.023	-1.232	-0.025	0.001	0.011	-2.322	1	0.15	0.366	2.32	1.0	2.654	-2.098	2016-01-22	10:25:00	US/Eastern
VLUE	2016-01-22 15:40:00	-0.025	0.004	0.023	-1.232	-0.024	0.001	0.011	-2.306	1	0.15	0.366	2.32	1.0	2.654	-2.083	2016-01-22	10:40:00	US/Eastern
VLUE	2016-01-22 15:55:00	-0.025	0.004	0.023	-1.232	-0.024	0.001	0.011	-2.291	1	0.15	0.366	2.32	1.0	2.654	-2.067	2016-01-22	10:55:00	US/Eastern
VLUE	2016-01-22 16:10:00	-0.025	0.004	0.023	-1.232	-0.024	0.001	0.011	-2.275	1	0.15	0.366	2.32	1.0	2.654	0.016	2016-01-22	11:10:00	US/Eastern
VLUE	2016-01-22 16:25:00	-0.025	0.004	0.023	-1.232	-0.024	0.001	0.011	-2.26	1	0.15	0.366	2.32	1.0	2.654	0.031	2016-01-22	11:25:00	US/Eastern
VLUE	2016-01-22 16:40:00	-0.025	0.004	0.023	-1.232	-0.023	0.001	0.011	-2.244	1	0.15	0.366	2.32	1.0	2.654	0.046	2016-01-22	11:40:00	US/Eastern
VLUE	2016-01-22 16:55:00	-0.025	0.004	0.023	-1.232	-0.023	0.001	0.011	-2.229	1	0.15	0.366	2.32	1.0	2.654	0.062	2016-01-22	11:55:00	US/Eastern
VLUE	2016-01-22 17:10:00	-0.025	0.004	0.023	-1.232	-0.023	0.001	0.011	-2.213	1	0.15	0.366	2.32	1.0	2.654	0.077	2016-01-22	12:10:00	US/Eastern
VLUE	2016-01-22 17:25:00	-0.025	0.004	0.023	-1.232	-0.023	0.001	0.011	-2.198	1	0.15	0.366	2.32	1.0	2.654	0.015	2016-01-22	12:25:00	US/Eastern
VLUE	2016-01-22 17:40:00	-0.025	0.004	0.023	-1.232	-0.022	0.001	0.011	-2.183	1	0.15	0.366	2.32	1.0	2.654	0.031	2016-01-22	12:40:00	US/Eastern
VLUE	2016-01-22 17:55:00	-0.025	0.004	0.023	-1.232	-0.022	0.001	0.011	-2.168	1	0.15	0.366	2.32	1.0	2.654	0.046	2016-01-22	12:55:00	US/Eastern
VLUE	2016-01-22 18:10:00	-0.025	0.004	0.023	-1.232	-0.022	0.001	0.011	-2.152	1	0.15	0.366	2.32	1.0	2.654	0.061	2016-01-22	13:10:00	US/Eastern
VLUE	2016-01-22 18:25:00	-0.025	0.004	0.023	-1.232	-0.022	0.001	0.011	-2.137	1	0.15	0.366	2.32	1.0	2.654	0.076	2016-01-22	13:25:00	US/Eastern
VLUE	2016-01-22 18:40:00	-0.025	0.004	0.023	-1.232	-0.022	0.001	0.011	-2.122	1	0.15	0.366	2.32	1.0	2.654	0.015	2016-01-22	13:40:00	US/Eastern
VLUE	2016-01-22 18:55:00	-0.025	0.004	0.023	-1.232	-0.021	0.001	0.011	-2.107	1	0.15	0.366	2.32	1.0	2.654	0.03	2016-01-22	13:55:00	US/Eastern
VLUE	2016-01-22 19:10:00	-0.025	0.004	0.023	-1.232	-0.021	0.001	0.011	-2.092	1	0.15	0.366	2.32	1.0	2.654	0.045	2016-01-22	14:10:00	US/Eastern
VLUE	2016-01-22 19:25:00	-0.025	0.004	0.023	-1.232	-0.021	0.001	0.011	-2.077	1	0.15	0.366	2.32	1.0	2.654	0.06	2016-01-22	14:25:00	US/Eastern
VLUE	2016-01-22 19:40:00	-0.025	0.004	0.023	-1.232	-0.021	0.001	0.011	-2.062	1	0.15	0.366	2.32	1.0	2.654	0.075	2016-01-22	14:40:00	US/Eastern
VLUE	2016-01-22 19:55:00	-0.025	0.004	0.023	-1.232	-0.02	0.001	0.011	-2.047	1	0.15	0.366	2.32	1.0	2.654	0.015	2016-01-22	14:55:00	US/Eastern
VLUE	2016-01-22 20:10:00	-0.025	0.004	0.023	-1.232	-0.02	0.001	0.01	-2.033	1	0.15	0.366	2.32	1.0	2.654	0.03	2016-01-22	15:10:00	US/Eastern
VLUE	2016-01-22 20:25:00	-0.025	0.004	0.023	-1.232	-0.02	0.001	0.01	-2.018	1	0.15	0.366	2.32	1.0	2.654	0.044	2016-01-22	15:25:00	US/Eastern
VLUE	2016-01-22 20:40:00	-0.025	0.004	0.023	-1.232	-0.02	0.001	0.01	-2.003	1	0.15	0.366	2.32	1.0	2.654	0.059	2016-01-22	15:40:00	US/Eastern
VLUE	2016-01-22 20:55:00	-0.025	0.004	0.023	-1.232	-0.02	0.001	0.01	-1.989	1	0.15	0.366	2.32	1.0	2.654	0.074	2016-01-22	15:55:00	US/Eastern
VLUE	2016-01-22 21:10:00	-0.025	0.004	0.023	-1.232	-0.019	0.001	0.01	-1.974	1	0.15	0.366	2.32	1.0	2.654	0.015	2016-01-22	16:10:00	US/Eastern
VLUE	2016-01-22 21:25:00	-0.025	0.004	0.023	-1.232	-0.019	0.001	0.01	-1.96	1	0.15	0.366	2.32	1.0	2.654	0.029	2016-01-22	16:25:00	US/Eastern
VLUE	2016-01-22 21:40:00	-0.025	0.004	0.023	-1.232	-0.019	0.001	0.01	-1.945	1	0.15	0.366	2.32	1.0	2.654	0.043	2016-01-22	16:40:00	US/Eastern
VLUE	2016-01-22 21:55:00	-0.025	0.004	0.023	-1.232	-0.019	0.001	0.01	-1.931	1	0.15	0.366	2.32	1.0	2.654	0.058	2016-01-22	16:55:00	US/Eastern
