Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VONV.txt

Data for: 2016-02-01 20:55:00 UTC - 2016-12-14 17:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VONV	2016-02-01 20:55:00	0.0	-0.002	0.01	0.188	0.0	-0.001	0.005	0.188	1	0.122	0.434	2.024	1.0	2.386	-0.007	2016-02-01	15:55:00	US/Eastern
VONV	2016-02-01 21:10:00	0.0	-0.002	0.009	0.187	0.0	-0.001	0.005	0.187	1	0.121	0.432	2.036	1.0	2.386	-0.001	2016-02-01	16:10:00	US/Eastern
VONV	2016-02-01 21:25:00	0.0	-0.002	0.009	0.185	0.0	-0.001	0.005	0.185	1	0.12	0.429	2.049	1.0	2.386	-0.003	2016-02-01	16:25:00	US/Eastern
VONV	2016-02-01 21:40:00	0.0	-0.002	0.009	0.184	0.0	-0.001	0.005	0.184	1	0.119	0.427	2.063	1.0	2.386	-0.004	2016-02-01	16:40:00	US/Eastern
VONV	2016-02-01 21:55:00	0.0	-0.002	0.009	0.182	0.0	-0.001	0.005	0.182	1	0.118	0.425	2.076	1.0	2.386	-0.006	2016-02-01	16:55:00	US/Eastern
VONV	2016-02-01 22:10:00	0.0	-0.002	0.009	0.181	0.0	-0.001	0.005	0.181	1	0.117	0.423	2.09	1.0	2.386	-0.007	2016-02-01	17:10:00	US/Eastern
VONV	2016-02-01 22:25:00	0.0	-0.002	0.009	0.18	0.0	-0.001	0.005	0.18	1	0.116	0.42	2.104	1.0	2.386	-0.001	2016-02-01	17:25:00	US/Eastern
VONV	2016-02-01 22:40:00	0.0	-0.002	0.009	0.178	0.0	-0.001	0.005	0.178	1	0.115	0.418	2.118	1.0	2.386	-0.003	2016-02-01	17:40:00	US/Eastern
VONV	2016-02-01 22:55:00	0.0	-0.002	0.009	0.177	0.0	-0.001	0.005	0.177	1	0.114	0.416	2.132	1.0	2.386	-0.004	2016-02-01	17:55:00	US/Eastern
VONV	2016-02-01 23:10:00	0.0	-0.002	0.009	0.175	0.0	-0.001	0.005	0.175	1	0.112	0.413	2.147	1.0	2.386	-0.006	2016-02-01	18:10:00	US/Eastern
VONV	2016-02-01 23:25:00	0.0	-0.002	0.009	0.174	0.0	-0.001	0.005	0.174	1	0.111	0.411	2.162	1.0	2.386	-0.007	2016-02-01	18:25:00	US/Eastern
VONV	2016-02-01 23:40:00	0.0	-0.002	0.009	0.172	0.0	-0.001	0.005	0.172	1	0.11	0.409	2.177	1.0	2.386	-0.002	2016-02-01	18:40:00	US/Eastern
VONV	2016-02-01 23:55:00	0.0	-0.001	0.009	0.17	0.0	-0.001	0.005	0.17	1	0.109	0.406	2.192	1.0	2.386	-0.003	2016-02-01	18:55:00	US/Eastern
VONV	2016-02-02 00:10:00	0.0	-0.001	0.009	0.169	0.0	-0.001	0.005	0.169	1	0.108	0.404	2.208	1.0	2.386	-0.005	2016-02-01	19:10:00	US/Eastern
VONV	2016-02-02 00:25:00	0.0	-0.001	0.009	0.167	0.0	-0.001	0.005	0.167	1	0.107	0.401	2.224	1.0	2.386	-0.006	2016-02-01	19:25:00	US/Eastern
VONV	2016-02-02 00:40:00	0.0	-0.001	0.008	0.166	0.0	-0.001	0.005	0.166	1	0.106	0.399	2.24	1.0	2.386	-0.008	2016-02-01	19:40:00	US/Eastern
VONV	2016-02-02 00:55:00	0.0	-0.001	0.008	0.164	0.0	-0.001	0.004	0.164	1	0.105	0.396	2.257	1.0	2.386	-0.002	2016-02-01	19:55:00	US/Eastern
VONV	2016-02-02 01:10:00	0.0	-0.001	0.008	0.163	0.0	-0.001	0.004	0.163	1	0.104	0.394	2.274	1.0	2.386	-0.003	2016-02-01	20:10:00	US/Eastern
VONV	2016-02-02 01:25:00	0.0	-0.001	0.008	0.161	0.0	-0.001	0.004	0.161	1	0.103	0.392	2.291	1.0	2.386	-0.005	2016-02-01	20:25:00	US/Eastern
VONV	2016-02-02 01:40:00	0.0	-0.001	0.008	0.159	0.0	-0.001	0.004	0.159	1	0.102	0.389	2.308	1.0	2.386	-0.006	2016-02-01	20:40:00	US/Eastern
VONV	2016-02-02 01:55:00	0.0	-0.001	0.008	0.158	0.0	-0.001	0.004	0.158	1	0.101	0.386	2.326	1.0	2.386	-0.008	2016-02-01	20:55:00	US/Eastern
