Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VOO.txt

Data for: 2016-01-01 00:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VOO	2016-01-01 00:10:00	1.167	-0.006	0.618	1.897	0.835	0.03	0.336	2.397	6	2.929	2.78	1.105	0.833	1.965	-0.014	2015-12-31	19:10:00	US/Eastern
VOO	2016-01-01 00:25:00	1.167	-0.005	0.616	1.901	0.826	0.03	0.334	2.383	6	2.929	2.779	1.105	0.833	1.965	-0.014	2015-12-31	19:25:00	US/Eastern
VOO	2016-01-01 00:40:00	1.167	-0.004	0.615	1.905	0.818	0.03	0.332	2.369	6	2.928	2.779	1.105	0.833	1.965	-0.014	2015-12-31	19:40:00	US/Eastern
VOO	2016-01-01 00:55:00	1.167	-0.003	0.613	1.91	0.809	0.03	0.331	2.356	6	2.928	2.778	1.106	0.833	1.965	-0.014	2015-12-31	19:55:00	US/Eastern
VOO	2016-01-01 01:10:00	1.167	-0.002	0.611	1.914	0.801	0.03	0.329	2.342	6	2.927	2.778	1.106	0.833	1.965	-0.014	2015-12-31	20:10:00	US/Eastern
VOO	2016-01-01 01:25:00	1.167	-0.001	0.609	1.918	0.793	0.03	0.327	2.328	6	2.927	2.777	1.107	0.833	1.965	-0.014	2015-12-31	20:25:00	US/Eastern
VOO	2016-01-01 01:40:00	1.167	-0.001	0.607	1.922	0.784	0.031	0.326	2.315	6	2.926	2.777	1.107	0.833	1.965	-0.014	2015-12-31	20:40:00	US/Eastern
VOO	2016-01-01 01:55:00	1.167	0.0	0.605	1.927	0.776	0.031	0.324	2.301	6	2.926	2.776	1.107	0.833	1.965	-0.014	2015-12-31	20:55:00	US/Eastern
VOO	2016-01-01 02:10:00	1.167	0.001	0.603	1.931	0.768	0.031	0.322	2.288	6	2.925	2.776	1.108	0.833	1.965	-0.014	2015-12-31	21:10:00	US/Eastern
VOO	2016-01-01 02:25:00	1.167	0.002	0.602	1.936	0.76	0.031	0.321	2.274	6	2.924	2.775	1.108	0.833	1.965	-0.013	2015-12-31	21:25:00	US/Eastern
