Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - VPL.txt

Data for: 2016-01-20 18:10:00 UTC - 2016-12-29 00:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
VPL	2016-01-20 18:10:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.342	0.585	1.126	1.0	1.878	0.0	2016-01-20	13:10:00	US/Eastern
VPL	2016-01-20 18:25:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.341	0.585	1.127	1.0	1.878	0.0	2016-01-20	13:25:00	US/Eastern
VPL	2016-01-20 18:40:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.341	0.585	1.128	1.0	1.878	0.0	2016-01-20	13:40:00	US/Eastern
VPL	2016-01-20 18:55:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.34	0.584	1.129	1.0	1.878	0.0	2016-01-20	13:55:00	US/Eastern
VPL	2016-01-20 19:10:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.34	0.584	1.13	1.0	1.878	0.0	2016-01-20	14:10:00	US/Eastern
VPL	2016-01-20 19:25:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.339	0.584	1.132	1.0	1.878	0.0	2016-01-20	14:25:00	US/Eastern
VPL	2016-01-20 19:40:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.339	0.584	1.133	1.0	1.878	0.0	2016-01-20	14:40:00	US/Eastern
VPL	2016-01-20 19:55:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.338	0.584	1.134	1.0	1.878	0.0	2016-01-20	14:55:00	US/Eastern
VPL	2016-01-20 20:10:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.337	0.584	1.135	1.0	1.878	0.0	2016-01-20	15:10:00	US/Eastern
VPL	2016-01-20 20:25:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.337	0.583	1.136	1.0	1.878	0.0	2016-01-20	15:25:00	US/Eastern
VPL	2016-01-20 20:40:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.336	0.583	1.138	1.0	1.878	0.0	2016-01-20	15:40:00	US/Eastern
VPL	2016-01-20 20:55:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.336	0.583	1.139	1.0	1.878	0.0	2016-01-20	15:55:00	US/Eastern
VPL	2016-01-20 21:10:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.335	0.583	1.14	1.0	1.878	0.0	2016-01-20	16:10:00	US/Eastern
VPL	2016-01-20 21:25:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.335	0.583	1.141	1.0	1.878	0.0	2016-01-20	16:25:00	US/Eastern
VPL	2016-01-20 21:40:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.334	0.583	1.142	1.0	1.878	0.0	2016-01-20	16:40:00	US/Eastern
VPL	2016-01-20 21:55:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.334	0.583	1.144	1.0	1.878	0.0	2016-01-20	16:55:00	US/Eastern
VPL	2016-01-20 22:10:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.333	0.582	1.145	1.0	1.878	0.0	2016-01-20	17:10:00	US/Eastern
VPL	2016-01-20 22:25:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.333	0.582	1.146	1.0	1.878	0.0	2016-01-20	17:25:00	US/Eastern
VPL	2016-01-20 22:40:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.332	0.582	1.147	1.0	1.878	0.0	2016-01-20	17:40:00	US/Eastern
VPL	2016-01-20 22:55:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	1	0.332	0.582	1.148	1.0	1.878	0.0	2016-01-20	17:55:00	US/Eastern
VPL	2016-01-20 23:10:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.381	0.677	2.39	1.0	2.633	0.0	2016-01-20	18:10:00	US/Eastern
VPL	2016-01-20 23:25:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.381	0.677	2.391	1.0	2.633	0.0	2016-01-20	18:25:00	US/Eastern
VPL	2016-01-20 23:40:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.38	0.677	2.392	1.0	2.633	0.0	2016-01-20	18:40:00	US/Eastern
VPL	2016-01-20 23:55:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.38	0.677	2.393	1.0	2.633	0.0	2016-01-20	18:55:00	US/Eastern
VPL	2016-01-21 00:10:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.379	0.677	2.394	1.0	2.633	0.0	2016-01-20	19:10:00	US/Eastern
VPL	2016-01-21 00:25:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.379	0.677	2.395	1.0	2.633	0.0	2016-01-20	19:25:00	US/Eastern
VPL	2016-01-21 00:40:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.378	0.677	2.396	1.0	2.633	0.0	2016-01-20	19:40:00	US/Eastern
VPL	2016-01-21 00:55:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.378	0.677	2.398	1.0	2.633	0.0	2016-01-20	19:55:00	US/Eastern
VPL	2016-01-21 01:10:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.377	0.677	2.399	1.0	2.633	0.0	2016-01-20	20:10:00	US/Eastern
VPL	2016-01-21 01:25:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.377	0.676	2.4	1.0	2.633	0.0	2016-01-20	20:25:00	US/Eastern
VPL	2016-01-21 01:40:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.376	0.676	2.401	1.0	2.633	0.0	2016-01-20	20:40:00	US/Eastern
VPL	2016-01-21 01:55:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.376	0.676	2.402	1.0	2.633	0.0	2016-01-20	20:55:00	US/Eastern
VPL	2016-01-21 02:10:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.375	0.676	2.403	1.0	2.633	0.0	2016-01-20	21:10:00	US/Eastern
VPL	2016-01-21 02:25:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.374	0.676	2.404	1.0	2.633	0.0	2016-01-20	21:25:00	US/Eastern
VPL	2016-01-21 02:40:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.374	0.676	2.405	1.0	2.633	0.0	2016-01-20	21:40:00	US/Eastern
VPL	2016-01-21 02:55:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.373	0.676	2.407	1.0	2.633	0.0	2016-01-20	21:55:00	US/Eastern
VPL	2016-01-21 03:10:00	0.0	-0.003	0.082	0.031	0.0	-0.001	0.039	0.023	2	0.373	0.676	2.408	1.0	2.633	0.0	2016-01-20	22:10:00	US/Eastern
