Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XAR.txt

Data for: 2016-01-22 08:10:00 UTC - 2016-12-24 14:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XAR	2016-01-22 08:10:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	03:10:00	US/Eastern
XAR	2016-01-22 08:25:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	03:25:00	US/Eastern
XAR	2016-01-22 08:40:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	03:40:00	US/Eastern
XAR	2016-01-22 08:55:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	03:55:00	US/Eastern
XAR	2016-01-22 09:10:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	04:10:00	US/Eastern
XAR	2016-01-22 09:25:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	04:25:00	US/Eastern
XAR	2016-01-22 09:40:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	04:40:00	US/Eastern
XAR	2016-01-22 09:55:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	04:55:00	US/Eastern
XAR	2016-01-22 10:10:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	05:10:00	US/Eastern
XAR	2016-01-22 10:25:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	05:25:00	US/Eastern
XAR	2016-01-22 10:40:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	05:40:00	US/Eastern
XAR	2016-01-22 10:55:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	05:55:00	US/Eastern
XAR	2016-01-22 11:10:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	06:10:00	US/Eastern
XAR	2016-01-22 11:25:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	06:25:00	US/Eastern
XAR	2016-01-22 11:40:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	06:40:00	US/Eastern
XAR	2016-01-22 11:55:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	06:55:00	US/Eastern
XAR	2016-01-22 12:10:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	07:10:00	US/Eastern
XAR	2016-01-22 12:25:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	07:25:00	US/Eastern
XAR	2016-01-22 12:40:00	0.0	0.006	0.171	-0.037	0.0	0.007	0.149	-0.047	1	1.15	2.059	-0.073	1.0	0.633	0.0	2016-01-22	07:40:00	US/Eastern
