Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XHE.txt

Data for: 2016-01-21 20:10:00 UTC - 2016-12-30 13:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XHE	2016-01-21 20:10:00	-0.25	-0.012	0.065	-3.675	-0.25	-0.013	0.058	-4.114	1	0.15	0.366	2.32	1.0	2.595	-4.138	2016-01-21	15:10:00	US/Eastern
XHE	2016-01-21 20:25:00	-0.25	-0.012	0.065	-3.675	-0.247	-0.013	0.057	-4.112	1	0.15	0.366	2.32	1.0	2.595	-4.136	2016-01-21	15:25:00	US/Eastern
XHE	2016-01-21 20:40:00	-0.25	-0.012	0.065	-3.675	-0.244	-0.013	0.056	-4.109	1	0.15	0.366	2.32	1.0	2.595	-4.133	2016-01-21	15:40:00	US/Eastern
XHE	2016-01-21 20:55:00	-0.25	-0.012	0.065	-3.675	-0.242	-0.012	0.056	-4.106	1	0.15	0.366	2.32	1.0	2.595	-4.13	2016-01-21	15:55:00	US/Eastern
XHE	2016-01-21 21:10:00	-0.25	-0.012	0.065	-3.675	-0.239	-0.012	0.055	-4.103	1	0.15	0.366	2.32	1.0	2.595	-4.127	2016-01-21	16:10:00	US/Eastern
XHE	2016-01-21 21:25:00	-0.25	-0.012	0.065	-3.675	-0.237	-0.012	0.055	-4.1	1	0.15	0.366	2.32	1.0	2.595	0.003	2016-01-21	16:25:00	US/Eastern
XHE	2016-01-21 21:40:00	-0.25	-0.012	0.065	-3.675	-0.234	-0.012	0.054	-4.097	1	0.15	0.366	2.32	1.0	2.595	0.006	2016-01-21	16:40:00	US/Eastern
XHE	2016-01-21 21:55:00	-0.25	-0.012	0.065	-3.675	-0.232	-0.012	0.054	-4.094	1	0.15	0.366	2.32	1.0	2.595	0.009	2016-01-21	16:55:00	US/Eastern
XHE	2016-01-21 22:10:00	-0.25	-0.012	0.065	-3.675	-0.23	-0.012	0.053	-4.091	1	0.15	0.366	2.32	1.0	2.595	0.012	2016-01-21	17:10:00	US/Eastern
XHE	2016-01-21 22:25:00	-0.25	-0.012	0.065	-3.675	-0.227	-0.012	0.053	-4.088	1	0.15	0.366	2.32	1.0	2.595	0.015	2016-01-21	17:25:00	US/Eastern
XHE	2016-01-21 22:40:00	-0.25	-0.012	0.065	-3.675	-0.225	-0.012	0.052	-4.085	1	0.15	0.366	2.32	1.0	2.595	0.003	2016-01-21	17:40:00	US/Eastern
XHE	2016-01-21 22:55:00	-0.25	-0.012	0.065	-3.675	-0.223	-0.011	0.052	-4.082	1	0.15	0.366	2.32	1.0	2.595	0.006	2016-01-21	17:55:00	US/Eastern
XHE	2016-01-21 23:10:00	-0.25	-0.012	0.065	-3.675	-0.22	-0.011	0.051	-4.079	1	0.15	0.366	2.32	1.0	2.595	0.01	2016-01-21	18:10:00	US/Eastern
XHE	2016-01-21 23:25:00	-0.25	-0.012	0.065	-3.675	-0.218	-0.011	0.051	-4.075	1	0.15	0.366	2.32	1.0	2.595	0.013	2016-01-21	18:25:00	US/Eastern
XHE	2016-01-21 23:40:00	-0.25	-0.012	0.065	-3.675	-0.216	-0.011	0.05	-4.072	1	0.15	0.366	2.32	1.0	2.595	0.017	2016-01-21	18:40:00	US/Eastern
XHE	2016-01-21 23:55:00	-0.25	-0.012	0.065	-3.675	-0.213	-0.011	0.05	-4.068	1	0.15	0.366	2.32	1.0	2.595	0.003	2016-01-21	18:55:00	US/Eastern
XHE	2016-01-22 00:10:00	-0.25	-0.012	0.065	-3.675	-0.211	-0.011	0.049	-4.065	1	0.15	0.366	2.32	1.0	2.595	0.007	2016-01-21	19:10:00	US/Eastern
XHE	2016-01-22 00:25:00	-0.25	-0.012	0.065	-3.675	-0.209	-0.011	0.049	-4.061	1	0.15	0.366	2.32	1.0	2.595	0.011	2016-01-21	19:25:00	US/Eastern
XHE	2016-01-22 00:40:00	-0.25	-0.012	0.065	-3.675	-0.207	-0.011	0.048	-4.057	1	0.15	0.366	2.32	1.0	2.595	0.014	2016-01-21	19:40:00	US/Eastern
XHE	2016-01-22 00:55:00	-0.25	-0.012	0.065	-3.675	-0.205	-0.011	0.048	-4.054	1	0.15	0.366	2.32	1.0	2.595	0.018	2016-01-21	19:55:00	US/Eastern
XHE	2016-01-22 01:10:00	-0.25	-0.012	0.065	-3.675	-0.203	-0.01	0.047	-4.05	1	0.15	0.366	2.32	1.0	2.595	0.004	2016-01-21	20:10:00	US/Eastern
XHE	2016-01-22 01:25:00	-0.25	-0.012	0.065	-3.675	-0.201	-0.01	0.047	-4.046	1	0.15	0.366	2.32	1.0	2.595	0.008	2016-01-21	20:25:00	US/Eastern
XHE	2016-01-22 01:40:00	-0.25	-0.012	0.065	-3.675	-0.198	-0.01	0.047	-4.042	1	0.15	0.366	2.32	1.0	2.595	0.012	2016-01-21	20:40:00	US/Eastern
XHE	2016-01-22 01:55:00	-0.25	-0.012	0.065	-3.675	-0.196	-0.01	0.046	-4.038	1	0.15	0.366	2.32	1.0	2.595	0.016	2016-01-21	20:55:00	US/Eastern
XHE	2016-01-22 02:10:00	-0.25	-0.012	0.065	-3.675	-0.194	-0.01	0.046	-4.034	1	0.15	0.366	2.32	1.0	2.595	0.02	2016-01-21	21:10:00	US/Eastern
XHE	2016-01-22 02:25:00	-0.25	-0.012	0.065	-3.675	-0.192	-0.01	0.045	-4.03	1	0.15	0.366	2.32	1.0	2.595	0.004	2016-01-21	21:25:00	US/Eastern
XHE	2016-01-22 02:40:00	-0.25	-0.012	0.065	-3.675	-0.19	-0.01	0.045	-4.025	1	0.15	0.366	2.32	1.0	2.595	0.008	2016-01-21	21:40:00	US/Eastern
XHE	2016-01-22 02:55:00	-0.25	-0.012	0.065	-3.675	-0.188	-0.01	0.044	-4.021	1	0.15	0.366	2.32	1.0	2.595	0.013	2016-01-21	21:55:00	US/Eastern
XHE	2016-01-22 03:10:00	-0.25	-0.012	0.065	-3.675	-0.186	-0.01	0.044	-4.017	1	0.15	0.366	2.32	1.0	2.595	0.017	2016-01-21	22:10:00	US/Eastern
XHE	2016-01-22 03:25:00	-0.25	-0.012	0.065	-3.675	-0.185	-0.01	0.044	-4.012	1	0.15	0.366	2.32	1.0	2.595	0.022	2016-01-21	22:25:00	US/Eastern
XHE	2016-01-22 03:40:00	-0.25	-0.012	0.065	-3.675	-0.183	-0.009	0.043	-4.008	1	0.15	0.366	2.32	1.0	2.595	0.005	2016-01-21	22:40:00	US/Eastern
XHE	2016-01-22 03:55:00	-0.25	-0.012	0.065	-3.675	-0.181	-0.009	0.043	-4.003	1	0.15	0.366	2.32	1.0	2.595	0.009	2016-01-21	22:55:00	US/Eastern
XHE	2016-01-22 04:10:00	-0.25	-0.012	0.065	-3.675	-0.179	-0.009	0.042	-3.998	1	0.15	0.366	2.32	1.0	2.595	0.014	2016-01-21	23:10:00	US/Eastern
XHE	2016-01-22 04:25:00	-0.25	-0.012	0.065	-3.675	-0.177	-0.009	0.042	-3.993	1	0.15	0.366	2.32	1.0	2.595	0.019	2016-01-21	23:25:00	US/Eastern
XHE	2016-01-22 04:40:00	-0.25	-0.012	0.065	-3.675	-0.175	-0.009	0.042	-3.988	1	0.15	0.366	2.32	1.0	2.595	0.024	2016-01-21	23:40:00	US/Eastern
XHE	2016-01-22 04:55:00	-0.25	-0.012	0.065	-3.675	-0.173	-0.009	0.041	-3.983	1	0.15	0.366	2.32	1.0	2.595	0.005	2016-01-21	23:55:00	US/Eastern
XHE	2016-01-22 05:10:00	-0.25	-0.012	0.065	-3.675	-0.172	-0.009	0.041	-3.978	1	0.15	0.366	2.32	1.0	2.595	0.01	2016-01-22	00:10:00	US/Eastern
XHE	2016-01-22 05:25:00	-0.25	-0.012	0.065	-3.675	-0.17	-0.009	0.041	-3.973	1	0.15	0.366	2.32	1.0	2.595	0.015	2016-01-22	00:25:00	US/Eastern
XHE	2016-01-22 05:40:00	-0.25	-0.012	0.065	-3.675	-0.168	-0.009	0.04	-3.968	1	0.15	0.366	2.32	1.0	2.595	0.02	2016-01-22	00:40:00	US/Eastern
XHE	2016-01-22 05:55:00	-0.25	-0.012	0.065	-3.675	-0.166	-0.009	0.04	-3.963	1	0.15	0.366	2.32	1.0	2.595	0.026	2016-01-22	00:55:00	US/Eastern
XHE	2016-01-22 06:10:00	-0.25	-0.012	0.065	-3.675	-0.165	-0.009	0.039	-3.957	1	0.15	0.366	2.32	1.0	2.595	0.005	2016-01-22	01:10:00	US/Eastern
XHE	2016-01-22 06:25:00	-0.25	-0.012	0.065	-3.675	-0.163	-0.008	0.039	-3.952	1	0.15	0.366	2.32	1.0	2.595	0.011	2016-01-22	01:25:00	US/Eastern
XHE	2016-01-22 06:40:00	-0.25	-0.012	0.065	-3.675	-0.161	-0.008	0.039	-3.946	1	0.15	0.366	2.32	1.0	2.595	0.017	2016-01-22	01:40:00	US/Eastern
XHE	2016-01-22 06:55:00	-0.25	-0.012	0.065	-3.675	-0.159	-0.008	0.038	-3.94	1	0.15	0.366	2.32	1.0	2.595	0.022	2016-01-22	01:55:00	US/Eastern
XHE	2016-01-22 07:10:00	-0.25	-0.012	0.065	-3.675	-0.158	-0.008	0.038	-3.935	1	0.15	0.366	2.32	1.0	2.595	0.028	2016-01-22	02:10:00	US/Eastern
XHE	2016-01-22 07:25:00	-0.25	-0.012	0.065	-3.675	-0.156	-0.008	0.038	-3.929	1	0.15	0.366	2.32	1.0	2.595	0.006	2016-01-22	02:25:00	US/Eastern
XHE	2016-01-22 07:40:00	-0.25	-0.012	0.065	-3.675	-0.155	-0.008	0.037	-3.923	1	0.15	0.366	2.32	1.0	2.595	0.012	2016-01-22	02:40:00	US/Eastern
XHE	2016-01-22 07:55:00	-0.25	-0.012	0.065	-3.675	-0.153	-0.008	0.037	-3.917	1	0.15	0.366	2.32	1.0	2.595	0.018	2016-01-22	02:55:00	US/Eastern
XHE	2016-01-22 08:10:00	-0.25	-0.012	0.065	-3.675	-0.151	-0.008	0.037	-3.91	1	0.15	0.366	2.32	1.0	2.595	0.024	2016-01-22	03:10:00	US/Eastern
XHE	2016-01-22 08:25:00	-0.25	-0.012	0.065	-3.675	-0.15	-0.008	0.036	-3.904	1	0.15	0.366	2.32	1.0	2.595	0.03	2016-01-22	03:25:00	US/Eastern
XHE	2016-01-22 08:40:00	-0.25	-0.012	0.065	-3.675	-0.148	-0.008	0.036	-3.898	1	0.15	0.366	2.32	1.0	2.595	0.006	2016-01-22	03:40:00	US/Eastern
XHE	2016-01-22 08:55:00	-0.25	-0.012	0.065	-3.675	-0.147	-0.008	0.036	-3.891	1	0.15	0.366	2.32	1.0	2.595	0.013	2016-01-22	03:55:00	US/Eastern
XHE	2016-01-22 09:10:00	-0.25	-0.012	0.065	-3.675	-0.145	-0.008	0.035	-3.885	1	0.15	0.366	2.32	1.0	2.595	0.019	2016-01-22	04:10:00	US/Eastern
XHE	2016-01-22 09:25:00	-0.25	-0.012	0.065	-3.675	-0.144	-0.008	0.035	-3.878	1	0.15	0.366	2.32	1.0	2.595	0.026	2016-01-22	04:25:00	US/Eastern
XHE	2016-01-22 09:40:00	-0.25	-0.012	0.065	-3.675	-0.142	-0.007	0.035	-3.871	1	0.15	0.366	2.32	1.0	2.595	0.033	2016-01-22	04:40:00	US/Eastern
XHE	2016-01-22 09:55:00	-0.25	-0.012	0.065	-3.675	-0.141	-0.007	0.035	-3.864	1	0.15	0.366	2.32	1.0	2.595	0.007	2016-01-22	04:55:00	US/Eastern
XHE	2016-01-22 10:10:00	-0.25	-0.012	0.065	-3.675	-0.139	-0.007	0.034	-3.857	1	0.15	0.366	2.32	1.0	2.595	0.014	2016-01-22	05:10:00	US/Eastern
XHE	2016-01-22 10:25:00	-0.25	-0.012	0.065	-3.675	-0.138	-0.007	0.034	-3.85	1	0.15	0.366	2.32	1.0	2.595	0.021	2016-01-22	05:25:00	US/Eastern
XHE	2016-01-22 10:40:00	-0.25	-0.012	0.065	-3.675	-0.136	-0.007	0.034	-3.843	1	0.15	0.366	2.32	1.0	2.595	0.028	2016-01-22	05:40:00	US/Eastern
XHE	2016-01-22 10:55:00	-0.25	-0.012	0.065	-3.675	-0.135	-0.007	0.033	-3.835	1	0.15	0.366	2.32	1.0	2.595	0.036	2016-01-22	05:55:00	US/Eastern
XHE	2016-01-22 11:10:00	-0.25	-0.012	0.065	-3.675	-0.134	-0.007	0.033	-3.828	1	0.15	0.366	2.32	1.0	2.595	0.007	2016-01-22	06:10:00	US/Eastern
XHE	2016-01-22 11:25:00	-0.25	-0.012	0.065	-3.675	-0.132	-0.007	0.033	-3.82	1	0.15	0.366	2.32	1.0	2.595	0.015	2016-01-22	06:25:00	US/Eastern
XHE	2016-01-22 11:40:00	-0.25	-0.012	0.065	-3.675	-0.131	-0.007	0.033	-3.813	1	0.15	0.366	2.32	1.0	2.595	0.023	2016-01-22	06:40:00	US/Eastern
XHE	2016-01-22 11:55:00	-0.25	-0.012	0.065	-3.675	-0.129	-0.007	0.032	-3.805	1	0.15	0.366	2.32	1.0	2.595	0.031	2016-01-22	06:55:00	US/Eastern
XHE	2016-01-22 12:10:00	-0.25	-0.012	0.065	-3.675	-0.128	-0.007	0.032	-3.797	1	0.15	0.366	2.32	1.0	2.595	0.038	2016-01-22	07:10:00	US/Eastern
XHE	2016-01-22 12:25:00	-0.25	-0.012	0.065	-3.675	-0.127	-0.007	0.032	-3.789	1	0.15	0.366	2.32	1.0	2.595	0.008	2016-01-22	07:25:00	US/Eastern
XHE	2016-01-22 12:40:00	-0.25	-0.012	0.065	-3.675	-0.126	-0.007	0.031	-3.781	1	0.15	0.366	2.32	1.0	2.595	0.016	2016-01-22	07:40:00	US/Eastern
XHE	2016-01-22 12:55:00	-0.25	-0.012	0.065	-3.675	-0.124	-0.007	0.031	-3.772	1	0.15	0.366	2.32	1.0	2.595	0.024	2016-01-22	07:55:00	US/Eastern
XHE	2016-01-22 13:10:00	-0.25	-0.012	0.065	-3.675	-0.123	-0.006	0.031	-3.764	1	0.15	0.366	2.32	1.0	2.595	0.033	2016-01-22	08:10:00	US/Eastern
