Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XLE.txt

Data for: 2016-01-01 00:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XLE	2016-01-01 00:10:00	1.28	1.785	2.332	-0.217	1.11	0.83	1.272	0.22	31	34.538	17.279	-0.205	0.903	0.702	-0.009	2015-12-31	19:10:00	US/Eastern
XLE	2016-01-01 00:25:00	1.28	1.785	2.332	-0.217	1.098	0.829	1.272	0.211	31	34.536	17.278	-0.205	0.903	0.702	-0.009	2015-12-31	19:25:00	US/Eastern
XLE	2016-01-01 00:40:00	0.842	1.763	2.339	-0.394	0.651	0.807	1.271	-0.123	33	34.634	17.262	-0.095	0.879	0.788	-0.334	2015-12-31	19:40:00	US/Eastern
XLE	2016-01-01 00:55:00	0.842	1.764	2.339	-0.394	0.645	0.807	1.271	-0.128	32	34.583	17.268	-0.15	0.875	0.74	-0.005	2015-12-31	19:55:00	US/Eastern
XLE	2016-01-01 01:10:00	0.842	1.764	2.339	-0.394	0.638	0.807	1.271	-0.133	32	34.581	17.267	-0.149	0.875	0.74	-0.005	2015-12-31	20:10:00	US/Eastern
XLE	2016-01-01 01:25:00	0.842	1.764	2.338	-0.394	0.631	0.807	1.271	-0.138	32	34.58	17.267	-0.149	0.875	0.74	-0.005	2015-12-31	20:25:00	US/Eastern
XLE	2016-01-01 01:40:00	1.092	1.777	2.334	-0.294	0.717	0.812	1.27	-0.075	31	34.528	17.276	-0.204	0.903	0.702	0.063	2015-12-31	20:40:00	US/Eastern
XLE	2016-01-01 01:55:00	1.092	1.778	2.334	-0.294	0.709	0.812	1.27	-0.081	32	34.577	17.266	-0.149	0.906	0.74	-0.006	2015-12-31	20:55:00	US/Eastern
XLE	2016-01-01 02:10:00	1.092	1.778	2.333	-0.294	0.702	0.811	1.27	-0.086	32	34.575	17.266	-0.149	0.906	0.74	-0.006	2015-12-31	21:10:00	US/Eastern
XLE	2016-01-01 02:25:00	1.092	1.778	2.333	-0.294	0.695	0.811	1.27	-0.092	32	34.573	17.265	-0.149	0.906	0.74	-0.006	2015-12-31	21:25:00	US/Eastern
XLE	2016-01-01 02:40:00	1.092	1.779	2.333	-0.294	0.687	0.811	1.27	-0.098	32	34.572	17.265	-0.149	0.906	0.74	-0.006	2015-12-31	21:40:00	US/Eastern
XLE	2016-01-01 02:55:00	1.092	1.779	2.333	-0.294	0.68	0.811	1.27	-0.103	32	34.57	17.264	-0.149	0.875	0.74	-0.006	2015-12-31	21:55:00	US/Eastern
XLE	2016-01-01 03:10:00	0.792	1.764	2.338	-0.416	0.563	0.806	1.27	-0.191	31	34.519	17.273	-0.204	0.903	0.702	-0.088	2015-12-31	22:10:00	US/Eastern
XLE	2016-01-01 03:25:00	0.792	1.765	2.338	-0.416	0.557	0.805	1.27	-0.196	31	34.517	17.272	-0.204	0.903	0.702	-0.005	2015-12-31	22:25:00	US/Eastern
XLE	2016-01-01 03:40:00	0.792	1.765	2.338	-0.416	0.551	0.805	1.27	-0.2	31	34.516	17.272	-0.204	0.903	0.702	-0.005	2015-12-31	22:40:00	US/Eastern
XLE	2016-01-01 03:55:00	0.792	1.765	2.338	-0.416	0.546	0.805	1.27	-0.205	31	34.514	17.272	-0.203	0.903	0.702	-0.004	2015-12-31	22:55:00	US/Eastern
