Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XLG.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-15 11:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XLG	2016-01-20 05:10:00	0.15	-0.003	0.149	1.03	0.095	0.0	0.078	1.214	1	0.35	0.587	1.107	1.0	2.049	-0.057	2016-01-20	00:10:00	US/Eastern
XLG	2016-01-20 05:25:00	0.15	-0.003	0.149	1.03	0.094	0.0	0.078	1.203	1	0.35	0.587	1.107	1.0	2.049	-0.011	2016-01-20	00:25:00	US/Eastern
XLG	2016-01-20 05:40:00	0.15	-0.003	0.149	1.03	0.093	0.0	0.078	1.192	1	0.35	0.587	1.107	1.0	2.049	-0.022	2016-01-20	00:40:00	US/Eastern
XLG	2016-01-20 05:55:00	0.15	-0.003	0.149	1.03	0.092	0.0	0.078	1.182	1	0.35	0.587	1.107	1.0	2.049	-0.033	2016-01-20	00:55:00	US/Eastern
XLG	2016-01-20 06:10:00	0.15	-0.003	0.149	1.03	0.091	0.0	0.078	1.171	1	0.35	0.587	1.107	1.0	2.049	-0.044	2016-01-20	01:10:00	US/Eastern
XLG	2016-01-20 06:25:00	0.15	-0.003	0.149	1.03	0.09	0.0	0.078	1.16	1	0.35	0.587	1.107	1.0	2.049	-0.054	2016-01-20	01:25:00	US/Eastern
XLG	2016-01-20 06:40:00	0.15	-0.003	0.149	1.03	0.089	0.0	0.078	1.149	1	0.35	0.587	1.107	1.0	2.049	-0.011	2016-01-20	01:40:00	US/Eastern
XLG	2016-01-20 06:55:00	0.15	-0.003	0.149	1.03	0.088	0.0	0.078	1.139	1	0.35	0.587	1.107	1.0	2.049	-0.021	2016-01-20	01:55:00	US/Eastern
XLG	2016-01-20 07:10:00	0.15	-0.003	0.149	1.03	0.088	0.0	0.077	1.129	1	0.35	0.587	1.107	1.0	2.049	-0.032	2016-01-20	02:10:00	US/Eastern
XLG	2016-01-20 07:25:00	0.15	-0.003	0.149	1.03	0.087	0.0	0.077	1.118	1	0.35	0.587	1.107	1.0	2.049	-0.042	2016-01-20	02:25:00	US/Eastern
XLG	2016-01-20 07:40:00	0.15	-0.003	0.149	1.03	0.086	0.0	0.077	1.108	1	0.35	0.587	1.107	1.0	2.049	-0.052	2016-01-20	02:40:00	US/Eastern
XLG	2016-01-20 07:55:00	0.15	-0.003	0.149	1.03	0.085	0.0	0.077	1.098	1	0.35	0.587	1.107	1.0	2.049	-0.01	2016-01-20	02:55:00	US/Eastern
