Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XME.txt

Data for: 2016-01-01 00:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XME	2016-01-01 00:10:00	-0.219	-0.061	0.358	-0.441	-0.235	-0.067	0.203	-0.83	2	1.908	1.614	0.057	1.0	1.076	0.013	2015-12-31	19:10:00	US/Eastern
XME	2016-01-01 00:25:00	-0.219	-0.061	0.358	-0.441	-0.233	-0.067	0.203	-0.817	2	1.907	1.613	0.057	1.0	1.076	0.012	2015-12-31	19:25:00	US/Eastern
XME	2016-01-01 00:40:00	-0.219	-0.061	0.358	-0.44	-0.23	-0.067	0.203	-0.805	2	1.906	1.611	0.058	1.0	1.076	0.012	2015-12-31	19:40:00	US/Eastern
XME	2016-01-01 00:55:00	-0.219	-0.062	0.358	-0.44	-0.228	-0.067	0.203	-0.793	2	1.905	1.61	0.059	1.0	1.076	0.012	2015-12-31	19:55:00	US/Eastern
XME	2016-01-01 01:10:00	-0.219	-0.062	0.358	-0.439	-0.225	-0.067	0.203	-0.781	2	1.904	1.608	0.06	1.0	1.076	0.012	2015-12-31	20:10:00	US/Eastern
XME	2016-01-01 01:25:00	-0.219	-0.062	0.358	-0.439	-0.223	-0.067	0.203	-0.769	2	1.903	1.607	0.06	1.0	1.076	0.012	2015-12-31	20:25:00	US/Eastern
XME	2016-01-01 01:40:00	-0.219	-0.062	0.358	-0.438	-0.221	-0.068	0.203	-0.757	2	1.902	1.605	0.061	1.0	1.076	0.012	2015-12-31	20:40:00	US/Eastern
XME	2016-01-01 01:55:00	-0.219	-0.062	0.358	-0.438	-0.219	-0.068	0.203	-0.745	2	1.901	1.604	0.062	1.0	1.076	0.012	2015-12-31	20:55:00	US/Eastern
XME	2016-01-01 02:10:00	-0.219	-0.062	0.358	-0.437	-0.216	-0.068	0.203	-0.733	2	1.9	1.603	0.062	1.0	1.076	0.012	2015-12-31	21:10:00	US/Eastern
XME	2016-01-01 02:25:00	-0.219	-0.063	0.358	-0.437	-0.214	-0.068	0.203	-0.722	2	1.899	1.601	0.063	1.0	1.076	0.012	2015-12-31	21:25:00	US/Eastern
