Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XPH.txt

Data for: 2016-01-27 19:40:00 UTC - 2016-12-31 14:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XPH	2016-01-27 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	14:40:00	US/Eastern
XPH	2016-01-27 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	14:55:00	US/Eastern
XPH	2016-01-27 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	15:10:00	US/Eastern
XPH	2016-01-27 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	15:25:00	US/Eastern
XPH	2016-01-27 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	15:40:00	US/Eastern
XPH	2016-01-27 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	15:55:00	US/Eastern
XPH	2016-01-27 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	16:10:00	US/Eastern
XPH	2016-01-27 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	16:25:00	US/Eastern
XPH	2016-01-27 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	16:40:00	US/Eastern
XPH	2016-01-27 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	16:55:00	US/Eastern
XPH	2016-01-27 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	17:10:00	US/Eastern
XPH	2016-01-27 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	17:25:00	US/Eastern
XPH	2016-01-27 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	17:40:00	US/Eastern
XPH	2016-01-27 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	17:55:00	US/Eastern
XPH	2016-01-27 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	18:10:00	US/Eastern
XPH	2016-01-27 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	18:25:00	US/Eastern
XPH	2016-01-27 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	18:40:00	US/Eastern
XPH	2016-01-27 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	18:55:00	US/Eastern
XPH	2016-01-28 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.83	0.0	2016-01-27	19:10:00	US/Eastern
XPH	2016-01-28 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	19:25:00	US/Eastern
XPH	2016-01-28 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	19:40:00	US/Eastern
XPH	2016-01-28 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	19:55:00	US/Eastern
XPH	2016-01-28 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	20:10:00	US/Eastern
XPH	2016-01-28 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	20:25:00	US/Eastern
XPH	2016-01-28 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	20:40:00	US/Eastern
XPH	2016-01-28 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	20:55:00	US/Eastern
XPH	2016-01-28 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	21:10:00	US/Eastern
XPH	2016-01-28 02:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	21:25:00	US/Eastern
XPH	2016-01-28 02:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	21:40:00	US/Eastern
XPH	2016-01-28 02:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	21:55:00	US/Eastern
XPH	2016-01-28 03:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	22:10:00	US/Eastern
XPH	2016-01-28 03:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.305	0.0	2016-01-27	22:25:00	US/Eastern
XPH	2016-01-28 03:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-27	22:40:00	US/Eastern
XPH	2016-01-28 03:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-27	22:55:00	US/Eastern
XPH	2016-01-28 04:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-27	23:10:00	US/Eastern
XPH	2016-01-28 04:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-27	23:25:00	US/Eastern
XPH	2016-01-28 04:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-27	23:40:00	US/Eastern
XPH	2016-01-28 04:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-27	23:55:00	US/Eastern
XPH	2016-01-28 05:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	00:10:00	US/Eastern
XPH	2016-01-28 05:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	00:25:00	US/Eastern
XPH	2016-01-28 05:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	00:40:00	US/Eastern
XPH	2016-01-28 05:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	00:55:00	US/Eastern
XPH	2016-01-28 06:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	01:10:00	US/Eastern
XPH	2016-01-28 06:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	01:25:00	US/Eastern
XPH	2016-01-28 06:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	01:40:00	US/Eastern
XPH	2016-01-28 06:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	01:55:00	US/Eastern
XPH	2016-01-28 07:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	02:10:00	US/Eastern
XPH	2016-01-28 07:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	02:25:00	US/Eastern
XPH	2016-01-28 07:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	02:40:00	US/Eastern
XPH	2016-01-28 07:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	02:55:00	US/Eastern
XPH	2016-01-28 08:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	03:10:00	US/Eastern
XPH	2016-01-28 08:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	03:25:00	US/Eastern
XPH	2016-01-28 08:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3	0.15	0.671	4.249	0.667	2.691	0.0	2016-01-28	03:40:00	US/Eastern
XPH	2016-01-28 08:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	0.2	0.894	4.249	0.5	3.03	0.0	2016-01-28	03:55:00	US/Eastern
XPH	2016-01-28 09:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4	0.2	0.894	4.249	0.5	3.03	0.0	2016-01-28	04:10:00	US/Eastern
