Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XSW.txt

Data for: 2016-02-10 01:10:00 UTC - 2016-12-17 20:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XSW	2016-02-10 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.769	0.0	2016-02-09	20:10:00	US/Eastern
XSW	2016-02-10 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.769	0.0	2016-02-09	20:25:00	US/Eastern
XSW	2016-02-10 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.769	0.0	2016-02-09	20:40:00	US/Eastern
XSW	2016-02-10 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.769	0.0	2016-02-09	20:55:00	US/Eastern
XSW	2016-02-10 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.769	0.0	2016-02-09	21:10:00	US/Eastern
XSW	2016-02-10 02:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.769	0.0	2016-02-09	21:25:00	US/Eastern
XSW	2016-02-10 02:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.769	0.0	2016-02-09	21:40:00	US/Eastern
XSW	2016-02-10 02:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.769	0.0	2016-02-09	21:55:00	US/Eastern
XSW	2016-02-10 03:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.769	0.0	2016-02-09	22:10:00	US/Eastern
XSW	2016-02-10 03:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.769	0.0	2016-02-09	22:25:00	US/Eastern
