Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XTL.txt

Data for: 2016-01-22 12:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XTL	2016-01-22 12:10:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.25	0.55	3.181	1.0	3.297	0.0	2016-01-22	07:10:00	US/Eastern
XTL	2016-01-22 12:25:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.25	0.55	3.181	1.0	3.297	0.0	2016-01-22	07:25:00	US/Eastern
XTL	2016-01-22 12:40:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.25	0.55	3.181	1.0	3.297	0.0	2016-01-22	07:40:00	US/Eastern
XTL	2016-01-22 12:55:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.25	0.55	3.181	1.0	3.297	0.0	2016-01-22	07:55:00	US/Eastern
XTL	2016-01-22 13:10:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.25	0.55	3.181	1.0	3.297	0.0	2016-01-22	08:10:00	US/Eastern
XTL	2016-01-22 13:25:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.25	0.55	3.181	1.0	3.297	0.0	2016-01-22	08:25:00	US/Eastern
XTL	2016-01-22 13:40:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.25	0.55	3.181	1.0	3.297	0.0	2016-01-22	08:40:00	US/Eastern
XTL	2016-01-22 13:55:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.25	0.55	3.181	1.0	3.297	0.0	2016-01-22	08:55:00	US/Eastern
XTL	2016-01-22 14:10:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.25	0.55	3.181	1.0	2.746	0.0	2016-01-22	09:10:00	US/Eastern
XTL	2016-01-22 14:25:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.251	0.552	3.171	1.0	2.746	0.0	2016-01-22	09:25:00	US/Eastern
XTL	2016-01-22 14:40:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.252	0.553	3.16	1.0	2.746	0.0	2016-01-22	09:40:00	US/Eastern
XTL	2016-01-22 14:55:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.253	0.555	3.15	1.0	2.746	0.0	2016-01-22	09:55:00	US/Eastern
XTL	2016-01-22 15:10:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.254	0.556	3.14	1.0	2.746	0.0	2016-01-22	10:10:00	US/Eastern
XTL	2016-01-22 15:25:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.255	0.558	3.13	1.0	2.746	0.0	2016-01-22	10:25:00	US/Eastern
XTL	2016-01-22 15:40:00	0.0	-0.002	0.041	0.061	0.0	0.0	0.025	0.009	2	0.256	0.559	3.12	1.0	2.746	0.0	2016-01-22	10:40:00	US/Eastern
