Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XTN.txt

Data for: 2016-01-25 10:40:00 UTC - 2016-12-21 00:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XTN	2016-01-25 10:40:00	0.067	-0.006	0.043	1.684	0.066	0.001	0.019	3.374	1	0.315	0.747	0.917	1.0	2.011	3.175	2016-01-25	05:40:00	US/Eastern
XTN	2016-01-25 10:55:00	0.067	-0.005	0.042	1.703	0.065	0.001	0.019	3.391	1	0.314	0.746	0.92	1.0	2.011	3.191	2016-01-25	05:55:00	US/Eastern
XTN	2016-01-25 11:10:00	0.067	-0.005	0.042	1.723	0.065	0.001	0.019	3.408	1	0.312	0.745	0.923	1.0	2.011	3.209	2016-01-25	06:10:00	US/Eastern
XTN	2016-01-25 11:25:00	-0.133	-0.015	0.047	-2.531	-0.135	-0.009	0.032	-3.99	2	0.361	0.822	1.993	1.0	2.536	-4.19	2016-01-25	06:25:00	US/Eastern
XTN	2016-01-25 11:40:00	-0.133	-0.015	0.046	-2.561	-0.134	-0.009	0.031	-3.999	2	0.36	0.821	1.996	1.0	2.536	-0.008	2016-01-25	06:40:00	US/Eastern
XTN	2016-01-25 11:55:00	-0.133	-0.015	0.046	-2.592	-0.133	-0.009	0.031	-4.008	2	0.359	0.821	1.999	1.0	2.536	-0.017	2016-01-25	06:55:00	US/Eastern
XTN	2016-01-25 12:10:00	-0.133	-0.015	0.045	-2.624	-0.131	-0.009	0.031	-4.017	2	0.358	0.82	2.003	1.0	2.536	-0.027	2016-01-25	07:10:00	US/Eastern
XTN	2016-01-25 12:25:00	-0.133	-0.014	0.045	-2.657	-0.13	-0.008	0.03	-4.027	2	0.357	0.819	2.006	1.0	2.536	-0.037	2016-01-25	07:25:00	US/Eastern
XTN	2016-01-25 12:40:00	-0.133	-0.014	0.044	-2.691	-0.129	-0.008	0.03	-4.038	2	0.356	0.818	2.01	1.0	2.536	-0.048	2016-01-25	07:40:00	US/Eastern
XTN	2016-01-25 12:55:00	-0.133	-0.014	0.044	-2.727	-0.127	-0.008	0.029	-4.049	2	0.355	0.817	2.013	1.0	2.536	-0.011	2016-01-25	07:55:00	US/Eastern
XTN	2016-01-25 13:10:00	-0.133	-0.014	0.043	-2.763	-0.126	-0.008	0.029	-4.061	2	0.354	0.816	2.016	1.0	2.536	-0.023	2016-01-25	08:10:00	US/Eastern
XTN	2016-01-25 13:25:00	-0.133	-0.014	0.043	-2.801	-0.125	-0.008	0.029	-4.074	2	0.353	0.815	2.02	1.0	2.536	-0.036	2016-01-25	08:25:00	US/Eastern
XTN	2016-01-25 13:40:00	-0.133	-0.014	0.042	-2.841	-0.123	-0.008	0.028	-4.087	2	0.352	0.814	2.023	1.0	2.536	-0.049	2016-01-25	08:40:00	US/Eastern
XTN	2016-01-25 13:55:00	-0.133	-0.013	0.042	-2.881	-0.122	-0.008	0.028	-4.102	2	0.351	0.814	2.027	1.0	2.536	-0.064	2016-01-25	08:55:00	US/Eastern
XTN	2016-01-25 14:10:00	-0.133	-0.013	0.041	-2.924	-0.121	-0.008	0.027	-4.117	2	0.35	0.813	2.03	1.0	2.448	-0.015	2016-01-25	09:10:00	US/Eastern
XTN	2016-01-25 14:25:00	-0.133	-0.013	0.041	-2.916	-0.119	-0.008	0.027	-4.092	2	0.351	0.814	2.027	1.0	2.448	0.009	2016-01-25	09:25:00	US/Eastern
XTN	2016-01-25 14:40:00	-0.133	-0.013	0.041	-2.907	-0.118	-0.008	0.027	-4.067	2	0.352	0.814	2.023	1.0	2.448	0.034	2016-01-25	09:40:00	US/Eastern
XTN	2016-01-25 14:55:00	-0.133	-0.014	0.041	-2.899	-0.117	-0.008	0.027	-4.042	2	0.353	0.815	2.02	1.0	2.448	0.059	2016-01-25	09:55:00	US/Eastern
