Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XXV.txt

Data for: 2016-01-23 14:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XXV	2016-01-23 14:10:00	0.025	0.001	0.006	4.249	0.025	0.001	0.006	4.249	1	0.15	0.366	2.32	1.0	2.513	0.0	2016-01-23	09:10:00	US/Eastern
XXV	2016-01-23 14:25:00	0.025	0.001	0.006	4.225	0.024	0.001	0.006	4.225	1	0.151	0.367	2.315	1.0	2.513	-0.024	2016-01-23	09:25:00	US/Eastern
XXV	2016-01-23 14:40:00	0.025	0.001	0.006	4.203	0.024	0.001	0.005	4.201	1	0.151	0.367	2.311	1.0	2.513	-0.024	2016-01-23	09:40:00	US/Eastern
XXV	2016-01-23 14:55:00	0.025	0.001	0.006	4.18	0.024	0.001	0.005	4.176	1	0.152	0.368	2.306	1.0	2.513	-0.049	2016-01-23	09:55:00	US/Eastern
XXV	2016-01-23 15:10:00	0.025	0.001	0.006	4.158	0.024	0.001	0.005	4.151	1	0.152	0.368	2.301	1.0	2.513	-0.074	2016-01-23	10:10:00	US/Eastern
XXV	2016-01-23 15:25:00	0.025	0.001	0.006	4.136	0.023	0.001	0.005	4.125	1	0.153	0.369	2.297	1.0	2.513	-0.1	2016-01-23	10:25:00	US/Eastern
XXV	2016-01-23 15:40:00	0.025	0.001	0.006	4.115	0.023	0.001	0.005	4.098	1	0.153	0.369	2.292	1.0	2.513	-0.127	2016-01-23	10:40:00	US/Eastern
XXV	2016-01-23 15:55:00	0.025	0.001	0.006	4.094	0.023	0.001	0.005	4.071	1	0.154	0.37	2.288	1.0	2.513	-0.027	2016-01-23	10:55:00	US/Eastern
XXV	2016-01-23 16:10:00	0.025	0.001	0.006	4.073	0.023	0.001	0.005	4.043	1	0.154	0.37	2.283	1.0	2.513	-0.055	2016-01-23	11:10:00	US/Eastern
XXV	2016-01-23 16:25:00	0.025	0.001	0.006	4.052	0.023	0.001	0.005	4.015	1	0.155	0.371	2.278	1.0	2.513	-0.083	2016-01-23	11:25:00	US/Eastern
XXV	2016-01-23 16:40:00	0.025	0.001	0.006	4.032	0.022	0.001	0.005	3.986	1	0.155	0.372	2.274	1.0	2.513	-0.112	2016-01-23	11:40:00	US/Eastern
XXV	2016-01-23 16:55:00	0.025	0.001	0.006	4.012	0.022	0.001	0.005	3.957	1	0.156	0.372	2.269	1.0	2.513	-0.141	2016-01-23	11:55:00	US/Eastern
XXV	2016-01-23 17:10:00	0.025	0.001	0.006	3.992	0.022	0.001	0.005	3.927	1	0.156	0.373	2.265	1.0	2.513	-0.03	2016-01-23	12:10:00	US/Eastern
XXV	2016-01-23 17:25:00	0.025	0.001	0.006	3.973	0.022	0.001	0.005	3.897	1	0.157	0.373	2.26	1.0	2.513	-0.06	2016-01-23	12:25:00	US/Eastern
XXV	2016-01-23 17:40:00	0.025	0.001	0.006	3.954	0.021	0.001	0.005	3.866	1	0.157	0.374	2.256	1.0	2.513	-0.091	2016-01-23	12:40:00	US/Eastern
XXV	2016-01-23 17:55:00	0.025	0.001	0.006	3.935	0.021	0.001	0.005	3.835	1	0.158	0.374	2.252	1.0	2.513	-0.122	2016-01-23	12:55:00	US/Eastern
XXV	2016-01-23 18:10:00	0.025	0.001	0.006	3.916	0.021	0.001	0.005	3.803	1	0.158	0.375	2.247	1.0	2.513	-0.154	2016-01-23	13:10:00	US/Eastern
XXV	2016-01-23 18:25:00	0.025	0.001	0.006	3.898	0.021	0.001	0.005	3.771	1	0.159	0.375	2.243	1.0	2.513	-0.032	2016-01-23	13:25:00	US/Eastern
