Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - YANG.txt

Data for: 2016-01-20 05:10:00 UTC - 2016-12-31 23:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
YANG	2016-01-20 05:10:00	-0.356	-0.407	0.593	0.086	-0.389	-0.307	0.414	-0.197	11	9.444	6.844	0.227	0.909	1.49	-0.589	2016-01-20	00:10:00	US/Eastern
YANG	2016-01-20 05:25:00	-0.356	-0.407	0.593	0.086	-0.385	-0.307	0.414	-0.188	11	9.449	6.84	0.227	0.909	1.49	0.009	2016-01-20	00:25:00	US/Eastern
YANG	2016-01-20 05:40:00	-0.356	-0.407	0.593	0.086	-0.381	-0.306	0.414	-0.179	11	9.455	6.837	0.226	0.909	1.49	0.018	2016-01-20	00:40:00	US/Eastern
YANG	2016-01-20 05:55:00	-0.356	-0.407	0.593	0.086	-0.377	-0.306	0.414	-0.17	11	9.461	6.833	0.225	0.909	1.49	0.027	2016-01-20	00:55:00	US/Eastern
YANG	2016-01-20 06:10:00	-0.356	-0.407	0.593	0.086	-0.373	-0.306	0.414	-0.161	11	9.467	6.83	0.225	0.909	1.49	0.036	2016-01-20	01:10:00	US/Eastern
YANG	2016-01-20 06:25:00	-0.356	-0.407	0.593	0.086	-0.369	-0.306	0.414	-0.152	12	9.522	6.842	0.362	0.917	1.594	0.045	2016-01-20	01:25:00	US/Eastern
YANG	2016-01-20 06:40:00	-0.406	-0.41	0.593	0.006	-0.383	-0.307	0.414	-0.185	11	9.478	6.823	0.223	0.909	1.49	-0.033	2016-01-20	01:40:00	US/Eastern
YANG	2016-01-20 06:55:00	-0.406	-0.41	0.593	0.006	-0.379	-0.306	0.414	-0.176	11	9.484	6.819	0.222	0.909	1.49	-0.024	2016-01-20	01:55:00	US/Eastern
YANG	2016-01-20 07:10:00	-0.406	-0.41	0.593	0.006	-0.375	-0.306	0.414	-0.167	11	9.49	6.816	0.222	0.909	1.49	-0.015	2016-01-20	02:10:00	US/Eastern
YANG	2016-01-20 07:25:00	-0.406	-0.41	0.593	0.006	-0.372	-0.306	0.414	-0.158	11	9.495	6.812	0.221	0.909	1.49	-0.006	2016-01-20	02:25:00	US/Eastern
YANG	2016-01-20 07:40:00	-0.406	-0.41	0.593	0.006	-0.368	-0.306	0.414	-0.15	11	9.501	6.809	0.22	0.909	1.49	0.003	2016-01-20	02:40:00	US/Eastern
YANG	2016-01-20 07:55:00	-0.406	-0.41	0.593	0.006	-0.364	-0.306	0.414	-0.141	11	9.507	6.805	0.219	0.909	1.49	0.009	2016-01-20	02:55:00	US/Eastern
YANG	2016-01-20 08:10:00	-0.431	-0.411	0.593	-0.034	-0.385	-0.307	0.414	-0.189	12	9.563	6.817	0.358	0.917	1.594	-0.039	2016-01-20	03:10:00	US/Eastern
YANG	2016-01-20 08:25:00	-0.431	-0.411	0.592	-0.034	-0.381	-0.306	0.414	-0.18	12	9.568	6.813	0.357	0.917	1.594	-0.03	2016-01-20	03:25:00	US/Eastern
YANG	2016-01-20 08:40:00	-0.431	-0.411	0.592	-0.034	-0.377	-0.306	0.414	-0.171	13	9.624	6.832	0.494	0.846	1.687	-0.021	2016-01-20	03:40:00	US/Eastern
