Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - AAXJ.txt

Data for: 2017-01-04 14:40:00 UTC - 2017-12-29 12:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
AAXJ	2017-01-04 14:40:00	-0.65	-0.074	0.389	-1.481	-0.649	-0.046	0.262	-2.297	1	0.948	0.944	0.055	1.0	0.586	0.0	2017-01-04	09:40:00	US/Eastern
AAXJ	2017-01-04 14:55:00	-0.65	-0.074	0.389	-1.481	-0.642	-0.046	0.261	-2.28	1	0.947	0.944	0.056	1.0	0.586	0.017	2017-01-04	09:55:00	US/Eastern
AAXJ	2017-01-04 15:10:00	-0.65	-0.074	0.389	-1.481	-0.635	-0.046	0.261	-2.262	1	0.946	0.944	0.057	1.0	0.586	0.017	2017-01-04	10:10:00	US/Eastern
AAXJ	2017-01-04 15:25:00	-0.65	-0.074	0.389	-1.481	-0.629	-0.045	0.26	-2.245	1	0.945	0.944	0.058	1.0	0.586	0.017	2017-01-04	10:25:00	US/Eastern
AAXJ	2017-01-04 15:40:00	-0.65	-0.074	0.389	-1.481	-0.622	-0.045	0.259	-2.228	1	0.944	0.944	0.06	1.0	0.586	0.017	2017-01-04	10:40:00	US/Eastern
AAXJ	2017-01-04 15:55:00	-0.65	-0.074	0.389	-1.481	-0.616	-0.045	0.258	-2.211	1	0.943	0.944	0.061	1.0	0.586	0.017	2017-01-04	10:55:00	US/Eastern
AAXJ	2017-01-04 16:10:00	-0.65	-0.074	0.389	-1.481	-0.609	-0.044	0.258	-2.193	1	0.942	0.944	0.062	1.0	0.586	0.017	2017-01-04	11:10:00	US/Eastern
AAXJ	2017-01-04 16:25:00	-0.65	-0.074	0.389	-1.481	-0.603	-0.044	0.257	-2.176	1	0.941	0.944	0.063	1.0	0.586	0.017	2017-01-04	11:25:00	US/Eastern
AAXJ	2017-01-04 16:40:00	-0.65	-0.074	0.389	-1.481	-0.597	-0.044	0.256	-2.159	1	0.94	0.944	0.064	1.0	0.586	0.017	2017-01-04	11:40:00	US/Eastern
AAXJ	2017-01-04 16:55:00	-0.65	-0.074	0.389	-1.481	-0.591	-0.043	0.255	-2.142	1	0.939	0.944	0.065	1.0	0.586	0.017	2017-01-04	11:55:00	US/Eastern
AAXJ	2017-01-04 17:10:00	-0.65	-0.074	0.389	-1.481	-0.584	-0.043	0.255	-2.125	1	0.938	0.944	0.066	1.0	0.586	0.017	2017-01-04	12:10:00	US/Eastern
AAXJ	2017-01-04 17:25:00	-0.65	-0.074	0.389	-1.481	-0.578	-0.043	0.254	-2.108	1	0.936	0.944	0.067	1.0	0.586	0.017	2017-01-04	12:25:00	US/Eastern
AAXJ	2017-01-04 17:40:00	-0.65	-0.074	0.389	-1.481	-0.572	-0.042	0.253	-2.091	1	0.935	0.944	0.068	1.0	0.586	0.017	2017-01-04	12:40:00	US/Eastern
AAXJ	2017-01-04 17:55:00	-0.65	-0.074	0.389	-1.481	-0.566	-0.042	0.253	-2.074	1	0.934	0.944	0.07	1.0	0.586	0.017	2017-01-04	12:55:00	US/Eastern
AAXJ	2017-01-04 18:10:00	-0.65	-0.074	0.389	-1.481	-0.561	-0.042	0.252	-2.057	1	0.933	0.943	0.071	1.0	0.586	0.017	2017-01-04	13:10:00	US/Eastern
AAXJ	2017-01-04 18:25:00	-0.65	-0.074	0.389	-1.481	-0.555	-0.042	0.252	-2.04	1	0.932	0.943	0.072	1.0	0.586	0.017	2017-01-04	13:25:00	US/Eastern
AAXJ	2017-01-04 18:40:00	-0.65	-0.074	0.389	-1.481	-0.549	-0.041	0.251	-2.024	1	0.931	0.943	0.073	1.0	0.586	0.017	2017-01-04	13:40:00	US/Eastern
AAXJ	2017-01-04 18:55:00	-0.65	-0.074	0.389	-1.481	-0.543	-0.041	0.25	-2.007	1	0.93	0.943	0.074	1.0	0.586	0.017	2017-01-04	13:55:00	US/Eastern
AAXJ	2017-01-04 19:10:00	-0.65	-0.074	0.389	-1.481	-0.538	-0.041	0.25	-1.99	1	0.929	0.943	0.075	1.0	0.586	0.017	2017-01-04	14:10:00	US/Eastern
AAXJ	2017-01-04 19:25:00	-0.65	-0.074	0.389	-1.481	-0.532	-0.04	0.249	-1.974	1	0.928	0.943	0.076	1.0	0.586	0.017	2017-01-04	14:25:00	US/Eastern
AAXJ	2017-01-04 19:40:00	-0.65	-0.074	0.389	-1.481	-0.527	-0.04	0.249	-1.957	1	0.927	0.943	0.077	1.0	0.586	0.017	2017-01-04	14:40:00	US/Eastern
