Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - BOIL.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-30 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
BOIL	2017-01-01 00:10:00	0.05	-0.096	0.247	0.593	0.034	-0.05	0.134	0.626	2	3.45	2.235	-0.649	1.0	0.505	-0.005	2016-12-31	19:10:00	US/Eastern
BOIL	2017-01-01 00:25:00	0.05	-0.096	0.247	0.593	0.034	-0.05	0.134	0.624	2	3.45	2.235	-0.649	1.0	0.505	-0.008	2016-12-31	19:25:00	US/Eastern
BOIL	2017-01-01 00:40:00	0.05	-0.096	0.247	0.593	0.034	-0.05	0.134	0.621	2	3.45	2.235	-0.649	1.0	0.505	-0.01	2016-12-31	19:40:00	US/Eastern
BOIL	2017-01-01 00:55:00	0.05	-0.096	0.247	0.593	0.033	-0.05	0.134	0.619	2	3.45	2.235	-0.649	1.0	0.505	-0.013	2016-12-31	19:55:00	US/Eastern
BOIL	2017-01-01 01:10:00	0.05	-0.096	0.247	0.593	0.033	-0.05	0.134	0.616	1	3.4	2.28	-1.052	1.0	0.415	-0.003	2016-12-31	20:10:00	US/Eastern
BOIL	2017-01-01 01:25:00	0.05	-0.096	0.247	0.593	0.032	-0.05	0.134	0.614	1	3.4	2.28	-1.052	1.0	0.415	-0.005	2016-12-31	20:25:00	US/Eastern
BOIL	2017-01-01 01:40:00	0.05	-0.096	0.247	0.593	0.032	-0.05	0.134	0.611	1	3.4	2.28	-1.052	1.0	0.415	-0.007	2016-12-31	20:40:00	US/Eastern
BOIL	2017-01-01 01:55:00	0.05	-0.096	0.247	0.593	0.032	-0.05	0.134	0.609	1	3.4	2.28	-1.052	1.0	0.415	-0.01	2016-12-31	20:55:00	US/Eastern
BOIL	2017-01-01 02:10:00	0.05	-0.096	0.247	0.593	0.031	-0.05	0.134	0.606	1	3.4	2.28	-1.052	1.0	0.415	-0.012	2016-12-31	21:10:00	US/Eastern
BOIL	2017-01-01 02:25:00	0.05	-0.096	0.247	0.593	0.031	-0.05	0.134	0.604	1	3.4	2.28	-1.052	1.0	0.415	-0.002	2016-12-31	21:25:00	US/Eastern
