Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - CNPF.txt

Data for: 2017-03-30 05:10:00 UTC - 2017-11-08 03:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
CNPF	2017-03-30 05:10:00	0.067	0.003	0.015	4.249	0.066	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	01:10:00	US/Eastern
CNPF	2017-03-30 05:25:00	0.067	0.003	0.015	4.249	0.066	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	01:25:00	US/Eastern
CNPF	2017-03-30 05:40:00	0.067	0.003	0.015	4.249	0.065	0.003	0.015	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	01:40:00	US/Eastern
CNPF	2017-03-30 05:55:00	0.067	0.003	0.015	4.249	0.064	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	01:55:00	US/Eastern
CNPF	2017-03-30 06:10:00	0.067	0.003	0.015	4.249	0.064	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	02:10:00	US/Eastern
CNPF	2017-03-30 06:25:00	0.067	0.003	0.015	4.249	0.063	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	02:25:00	US/Eastern
CNPF	2017-03-30 06:40:00	0.067	0.003	0.015	4.249	0.062	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	02:40:00	US/Eastern
CNPF	2017-03-30 06:55:00	0.067	0.003	0.015	4.249	0.062	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	02:55:00	US/Eastern
CNPF	2017-03-30 07:10:00	0.067	0.003	0.015	4.249	0.061	0.003	0.014	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	03:10:00	US/Eastern
CNPF	2017-03-30 07:25:00	0.067	0.003	0.015	4.249	0.06	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	03:25:00	US/Eastern
CNPF	2017-03-30 07:40:00	0.067	0.003	0.015	4.249	0.06	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	03:40:00	US/Eastern
CNPF	2017-03-30 07:55:00	0.067	0.003	0.015	4.249	0.059	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	03:55:00	US/Eastern
CNPF	2017-03-30 08:10:00	0.067	0.003	0.015	4.249	0.059	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	04:10:00	US/Eastern
CNPF	2017-03-30 08:25:00	0.067	0.003	0.015	4.249	0.058	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	04:25:00	US/Eastern
CNPF	2017-03-30 08:40:00	0.067	0.003	0.015	4.249	0.057	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	04:40:00	US/Eastern
CNPF	2017-03-30 08:55:00	0.067	0.003	0.015	4.249	0.057	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	04:55:00	US/Eastern
CNPF	2017-03-30 09:10:00	0.067	0.003	0.015	4.249	0.056	0.003	0.013	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	05:10:00	US/Eastern
CNPF	2017-03-30 09:25:00	0.067	0.003	0.015	4.249	0.056	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	05:25:00	US/Eastern
CNPF	2017-03-30 09:40:00	0.067	0.003	0.015	4.249	0.055	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	05:40:00	US/Eastern
CNPF	2017-03-30 09:55:00	0.067	0.003	0.015	4.249	0.054	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	05:55:00	US/Eastern
CNPF	2017-03-30 10:10:00	0.067	0.003	0.015	4.249	0.054	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	06:10:00	US/Eastern
CNPF	2017-03-30 10:25:00	0.067	0.003	0.015	4.249	0.053	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	06:25:00	US/Eastern
CNPF	2017-03-30 10:40:00	0.067	0.003	0.015	4.249	0.053	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	06:40:00	US/Eastern
CNPF	2017-03-30 10:55:00	0.067	0.003	0.015	4.249	0.052	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	06:55:00	US/Eastern
CNPF	2017-03-30 11:10:00	0.067	0.003	0.015	4.249	0.052	0.003	0.012	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	07:10:00	US/Eastern
CNPF	2017-03-30 11:25:00	0.067	0.003	0.015	4.249	0.051	0.003	0.011	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	07:25:00	US/Eastern
CNPF	2017-03-30 11:40:00	0.067	0.003	0.015	4.249	0.051	0.003	0.011	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	07:40:00	US/Eastern
CNPF	2017-03-30 11:55:00	0.067	0.003	0.015	4.249	0.05	0.003	0.011	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	07:55:00	US/Eastern
CNPF	2017-03-30 12:10:00	0.067	0.003	0.015	4.249	0.05	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	08:10:00	US/Eastern
CNPF	2017-03-30 12:25:00	0.067	0.003	0.015	4.249	0.049	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	08:25:00	US/Eastern
CNPF	2017-03-30 12:40:00	0.067	0.003	0.015	4.249	0.049	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	08:40:00	US/Eastern
CNPF	2017-03-30 12:55:00	0.067	0.003	0.015	4.249	0.048	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	1.85	0.0	2017-03-30	08:55:00	US/Eastern
CNPF	2017-03-30 13:10:00	0.067	0.003	0.015	4.249	0.048	0.002	0.011	4.249	1	0.05	0.224	4.249	1.0	3.145	0.0	2017-03-30	09:10:00	US/Eastern
CNPF	2017-03-30 13:25:00	0.067	0.003	0.015	4.225	0.047	0.002	0.011	4.225	1	0.051	0.225	4.225	1.0	3.145	-0.024	2017-03-30	09:25:00	US/Eastern
CNPF	2017-03-30 13:40:00	0.067	0.003	0.015	4.203	0.047	0.002	0.011	4.201	1	0.051	0.226	4.203	1.0	3.145	-0.048	2017-03-30	09:40:00	US/Eastern
CNPF	2017-03-30 13:55:00	0.067	0.003	0.015	4.18	0.046	0.002	0.01	4.176	1	0.052	0.227	4.18	1.0	3.145	-0.073	2017-03-30	09:55:00	US/Eastern
CNPF	2017-03-30 14:10:00	0.067	0.003	0.015	4.158	0.046	0.002	0.01	4.151	1	0.052	0.228	4.158	1.0	3.145	-0.025	2017-03-30	10:10:00	US/Eastern
CNPF	2017-03-30 14:25:00	0.067	0.004	0.015	4.136	0.045	0.002	0.01	4.125	1	0.053	0.229	4.136	1.0	3.145	-0.051	2017-03-30	10:25:00	US/Eastern
CNPF	2017-03-30 14:40:00	0.067	0.004	0.015	4.115	0.045	0.002	0.01	4.098	1	0.053	0.23	4.115	1.0	3.145	-0.078	2017-03-30	10:40:00	US/Eastern
CNPF	2017-03-30 14:55:00	0.067	0.004	0.015	4.094	0.044	0.002	0.01	4.071	1	0.054	0.231	4.094	1.0	3.145	-0.105	2017-03-30	10:55:00	US/Eastern
CNPF	2017-03-30 15:10:00	0.067	0.004	0.015	4.073	0.044	0.002	0.01	4.043	1	0.054	0.232	4.073	1.0	3.145	-0.133	2017-03-30	11:10:00	US/Eastern
CNPF	2017-03-30 15:25:00	0.067	0.004	0.016	4.052	0.043	0.002	0.01	4.015	1	0.055	0.233	4.052	1.0	3.145	-0.028	2017-03-30	11:25:00	US/Eastern
CNPF	2017-03-30 15:40:00	0.067	0.004	0.016	4.032	0.043	0.002	0.01	3.986	1	0.055	0.234	4.032	1.0	3.145	-0.057	2017-03-30	11:40:00	US/Eastern
CNPF	2017-03-30 15:55:00	0.067	0.004	0.016	4.012	0.042	0.002	0.01	3.957	1	0.056	0.235	4.012	1.0	3.145	-0.086	2017-03-30	11:55:00	US/Eastern
CNPF	2017-03-30 16:10:00	0.067	0.004	0.016	3.992	0.042	0.002	0.01	3.927	1	0.056	0.236	3.992	1.0	3.145	-0.116	2017-03-30	12:10:00	US/Eastern
CNPF	2017-03-30 16:25:00	0.067	0.004	0.016	3.973	0.041	0.002	0.01	3.897	1	0.057	0.237	3.973	1.0	3.145	-0.146	2017-03-30	12:25:00	US/Eastern
CNPF	2017-03-30 16:40:00	0.067	0.004	0.016	3.954	0.041	0.002	0.01	3.866	1	0.057	0.238	3.954	1.0	3.145	-0.031	2017-03-30	12:40:00	US/Eastern
CNPF	2017-03-30 16:55:00	0.067	0.004	0.016	3.935	0.041	0.002	0.01	3.835	1	0.058	0.239	3.935	1.0	3.145	-0.062	2017-03-30	12:55:00	US/Eastern
CNPF	2017-03-30 17:10:00	0.067	0.004	0.016	3.916	0.04	0.002	0.01	3.803	1	0.058	0.24	3.916	1.0	3.145	-0.094	2017-03-30	13:10:00	US/Eastern
CNPF	2017-03-30 17:25:00	0.067	0.004	0.016	3.898	0.04	0.002	0.01	3.771	1	0.059	0.241	3.898	1.0	3.145	-0.126	2017-03-30	13:25:00	US/Eastern
CNPF	2017-03-30 17:40:00	0.067	0.004	0.016	3.879	0.039	0.002	0.01	3.739	1	0.059	0.242	3.879	1.0	3.145	-0.158	2017-03-30	13:40:00	US/Eastern
CNPF	2017-03-30 17:55:00	0.067	0.004	0.016	3.861	0.039	0.002	0.01	3.706	1	0.06	0.243	3.861	1.0	3.145	-0.033	2017-03-30	13:55:00	US/Eastern
CNPF	2017-03-30 18:10:00	0.067	0.004	0.016	3.844	0.039	0.002	0.01	3.673	1	0.06	0.244	3.844	1.0	3.145	-0.066	2017-03-30	14:10:00	US/Eastern
