Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - CURE.txt

Data for: 2017-01-03 19:55:00 UTC - 2017-12-23 15:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
CURE	2017-01-03 19:55:00	0.083	0.004	0.037	2.116	0.083	0.004	0.025	3.146	1	0.2	0.41	1.949	1.0	2.479	3.146	2017-01-03	14:55:00	US/Eastern
CURE	2017-01-03 20:10:00	0.083	0.004	0.037	2.116	0.082	0.004	0.025	3.131	1	0.2	0.41	1.949	1.0	2.479	3.131	2017-01-03	15:10:00	US/Eastern
CURE	2017-01-03 20:25:00	0.083	0.004	0.037	2.116	0.082	0.004	0.025	3.116	1	0.2	0.41	1.949	1.0	2.479	3.116	2017-01-03	15:25:00	US/Eastern
CURE	2017-01-03 20:40:00	0.083	0.004	0.037	2.116	0.081	0.004	0.025	3.101	1	0.2	0.41	1.949	1.0	2.479	-0.015	2017-01-03	15:40:00	US/Eastern
CURE	2017-01-03 20:55:00	0.083	0.004	0.037	2.116	0.08	0.004	0.025	3.086	1	0.2	0.41	1.949	1.0	2.479	-0.03	2017-01-03	15:55:00	US/Eastern
CURE	2017-01-03 21:10:00	0.083	0.004	0.037	2.116	0.079	0.004	0.024	3.07	1	0.2	0.41	1.949	1.0	2.479	-0.045	2017-01-03	16:10:00	US/Eastern
CURE	2017-01-03 21:25:00	0.083	0.004	0.037	2.116	0.078	0.004	0.024	3.055	1	0.2	0.41	1.949	1.0	2.479	-0.061	2017-01-03	16:25:00	US/Eastern
CURE	2017-01-03 21:40:00	0.083	0.004	0.037	2.116	0.077	0.004	0.024	3.04	1	0.2	0.41	1.949	1.0	2.479	-0.076	2017-01-03	16:40:00	US/Eastern
CURE	2017-01-03 21:55:00	0.083	0.004	0.037	2.116	0.077	0.004	0.024	3.024	1	0.2	0.41	1.949	1.0	2.479	-0.015	2017-01-03	16:55:00	US/Eastern
CURE	2017-01-03 22:10:00	0.083	0.004	0.037	2.116	0.076	0.004	0.024	3.009	1	0.2	0.41	1.949	1.0	2.479	-0.031	2017-01-03	17:10:00	US/Eastern
CURE	2017-01-03 22:25:00	0.083	0.004	0.037	2.116	0.075	0.004	0.024	2.993	1	0.2	0.41	1.949	1.0	2.479	-0.047	2017-01-03	17:25:00	US/Eastern
CURE	2017-01-03 22:40:00	0.083	0.004	0.037	2.116	0.074	0.004	0.024	2.977	1	0.2	0.41	1.949	1.0	2.479	-0.062	2017-01-03	17:40:00	US/Eastern
CURE	2017-01-03 22:55:00	0.083	0.004	0.037	2.116	0.074	0.004	0.024	2.961	1	0.2	0.41	1.949	1.0	2.479	-0.078	2017-01-03	17:55:00	US/Eastern
CURE	2017-01-03 23:10:00	0.083	0.004	0.037	2.116	0.073	0.004	0.023	2.945	1	0.2	0.41	1.949	1.0	2.479	-0.016	2017-01-03	18:10:00	US/Eastern
CURE	2017-01-03 23:25:00	0.083	0.004	0.037	2.116	0.072	0.004	0.023	2.929	1	0.2	0.41	1.949	1.0	2.479	-0.032	2017-01-03	18:25:00	US/Eastern
CURE	2017-01-03 23:40:00	0.083	0.004	0.037	2.116	0.071	0.004	0.023	2.913	1	0.2	0.41	1.949	1.0	2.479	-0.048	2017-01-03	18:40:00	US/Eastern
CURE	2017-01-03 23:55:00	0.083	0.004	0.037	2.116	0.071	0.004	0.023	2.897	1	0.2	0.41	1.949	1.0	2.479	-0.064	2017-01-03	18:55:00	US/Eastern
CURE	2017-01-04 00:10:00	0.083	0.004	0.037	2.116	0.07	0.003	0.023	2.881	1	0.2	0.41	1.949	1.0	2.479	-0.08	2017-01-03	19:10:00	US/Eastern
CURE	2017-01-04 00:25:00	0.083	0.004	0.037	2.116	0.069	0.003	0.023	2.865	1	0.2	0.41	1.949	1.0	2.479	-0.016	2017-01-03	19:25:00	US/Eastern
CURE	2017-01-04 00:40:00	0.083	0.004	0.037	2.116	0.068	0.003	0.023	2.849	1	0.2	0.41	1.949	1.0	2.479	-0.033	2017-01-03	19:40:00	US/Eastern
CURE	2017-01-04 00:55:00	0.083	0.004	0.037	2.116	0.068	0.003	0.023	2.832	1	0.2	0.41	1.949	1.0	2.479	-0.049	2017-01-03	19:55:00	US/Eastern
CURE	2017-01-04 01:10:00	0.083	0.004	0.037	2.116	0.067	0.003	0.023	2.816	1	0.2	0.41	1.949	1.0	2.479	-0.065	2017-01-03	20:10:00	US/Eastern
CURE	2017-01-04 01:25:00	0.083	0.004	0.037	2.116	0.066	0.003	0.022	2.799	1	0.2	0.41	1.949	1.0	2.479	-0.082	2017-01-03	20:25:00	US/Eastern
