Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - CZA.txt

Data for: 2017-01-11 08:25:00 UTC - 2017-12-27 14:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
CZA	2017-01-11 08:25:00	0.075	0.004	0.017	4.249	0.075	0.004	0.017	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	03:25:00	US/Eastern
CZA	2017-01-11 08:40:00	0.075	0.004	0.017	4.249	0.074	0.004	0.016	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	03:40:00	US/Eastern
CZA	2017-01-11 08:55:00	0.075	0.004	0.017	4.249	0.073	0.004	0.016	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	03:55:00	US/Eastern
CZA	2017-01-11 09:10:00	0.075	0.004	0.017	4.249	0.072	0.004	0.016	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	04:10:00	US/Eastern
CZA	2017-01-11 09:25:00	0.075	0.004	0.017	4.249	0.072	0.004	0.016	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	04:25:00	US/Eastern
CZA	2017-01-11 09:40:00	0.075	0.004	0.017	4.249	0.071	0.004	0.016	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	04:40:00	US/Eastern
CZA	2017-01-11 09:55:00	0.075	0.004	0.017	4.249	0.07	0.004	0.016	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	04:55:00	US/Eastern
CZA	2017-01-11 10:10:00	0.075	0.004	0.017	4.249	0.069	0.003	0.015	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	05:10:00	US/Eastern
CZA	2017-01-11 10:25:00	0.075	0.004	0.017	4.249	0.069	0.003	0.015	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	05:25:00	US/Eastern
CZA	2017-01-11 10:40:00	0.075	0.004	0.017	4.249	0.068	0.003	0.015	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	05:40:00	US/Eastern
CZA	2017-01-11 10:55:00	0.075	0.004	0.017	4.249	0.067	0.003	0.015	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	05:55:00	US/Eastern
CZA	2017-01-11 11:10:00	0.075	0.004	0.017	4.249	0.066	0.003	0.015	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	06:10:00	US/Eastern
CZA	2017-01-11 11:25:00	0.075	0.004	0.017	4.249	0.066	0.003	0.015	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	06:25:00	US/Eastern
CZA	2017-01-11 11:40:00	0.075	0.004	0.017	4.249	0.065	0.003	0.015	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	06:40:00	US/Eastern
CZA	2017-01-11 11:55:00	0.075	0.004	0.017	4.249	0.064	0.003	0.014	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	06:55:00	US/Eastern
CZA	2017-01-11 12:10:00	0.075	0.004	0.017	4.249	0.064	0.003	0.014	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	07:10:00	US/Eastern
CZA	2017-01-11 12:25:00	0.075	0.004	0.017	4.249	0.063	0.003	0.014	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	07:25:00	US/Eastern
CZA	2017-01-11 12:40:00	0.075	0.004	0.017	4.249	0.062	0.003	0.014	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	07:40:00	US/Eastern
CZA	2017-01-11 12:55:00	0.075	0.004	0.017	4.249	0.062	0.003	0.014	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	07:55:00	US/Eastern
CZA	2017-01-11 13:10:00	0.075	0.004	0.017	4.249	0.061	0.003	0.014	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	08:10:00	US/Eastern
CZA	2017-01-11 13:25:00	0.075	0.004	0.017	4.249	0.061	0.003	0.014	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	08:25:00	US/Eastern
CZA	2017-01-11 13:40:00	0.075	0.004	0.017	4.249	0.06	0.003	0.013	4.249	1	0.1	0.308	2.924	1.0	3.073	0.0	2017-01-11	08:40:00	US/Eastern
