Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - DAG.txt

Data for: 2017-01-03 11:40:00 UTC - 2017-12-27 13:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
DAG	2017-01-03 11:40:00	0.025	0.026	0.078	-0.016	0.025	0.015	0.044	0.227	1	0.25	0.639	1.174	1.0	2.167	0.539	2017-01-03	06:40:00	US/Eastern
DAG	2017-01-03 11:55:00	0.025	0.026	0.078	-0.016	0.025	0.015	0.044	0.221	2	0.3	0.733	2.32	0.5	2.8	-0.006	2017-01-03	06:55:00	US/Eastern
DAG	2017-01-03 12:10:00	0.025	0.026	0.078	-0.016	0.024	0.015	0.044	0.215	2	0.3	0.733	2.32	0.5	2.8	-0.011	2017-01-03	07:10:00	US/Eastern
DAG	2017-01-03 12:25:00	0.025	0.026	0.078	-0.016	0.024	0.015	0.044	0.21	2	0.3	0.733	2.32	0.5	2.8	-0.017	2017-01-03	07:25:00	US/Eastern
DAG	2017-01-03 12:40:00	0.025	0.026	0.078	-0.016	0.024	0.015	0.044	0.205	2	0.3	0.733	2.32	0.5	2.8	-0.022	2017-01-03	07:40:00	US/Eastern
DAG	2017-01-03 12:55:00	0.025	0.026	0.078	-0.016	0.024	0.015	0.044	0.199	2	0.3	0.733	2.32	0.5	2.8	-0.027	2017-01-03	07:55:00	US/Eastern
DAG	2017-01-03 13:10:00	0.025	0.026	0.078	-0.016	0.023	0.015	0.044	0.194	2	0.3	0.733	2.32	0.5	2.8	-0.005	2017-01-03	08:10:00	US/Eastern
DAG	2017-01-03 13:25:00	0.025	0.026	0.078	-0.016	0.023	0.015	0.044	0.189	2	0.3	0.733	2.32	0.5	2.8	-0.011	2017-01-03	08:25:00	US/Eastern
DAG	2017-01-03 13:40:00	0.025	0.026	0.078	-0.016	0.023	0.015	0.044	0.184	2	0.3	0.733	2.32	0.5	2.8	-0.016	2017-01-03	08:40:00	US/Eastern
DAG	2017-01-03 13:55:00	0.025	0.026	0.078	-0.016	0.023	0.015	0.044	0.178	2	0.3	0.733	2.32	0.5	2.8	-0.021	2017-01-03	08:55:00	US/Eastern
DAG	2017-01-03 14:10:00	0.025	0.026	0.078	-0.016	0.022	0.015	0.044	0.173	2	0.3	0.733	2.32	0.5	2.479	-0.026	2017-01-03	09:10:00	US/Eastern
DAG	2017-01-03 14:25:00	0.025	0.026	0.078	-0.016	0.022	0.015	0.044	0.168	2	0.301	0.734	2.315	0.5	2.479	-0.005	2017-01-03	09:25:00	US/Eastern
DAG	2017-01-03 14:40:00	0.025	0.026	0.078	-0.016	0.022	0.015	0.044	0.163	2	0.302	0.735	2.311	0.5	2.479	-0.011	2017-01-03	09:40:00	US/Eastern
DAG	2017-01-03 14:55:00	0.025	0.026	0.078	-0.016	0.022	0.015	0.044	0.158	2	0.303	0.736	2.306	0.5	2.479	-0.016	2017-01-03	09:55:00	US/Eastern
DAG	2017-01-03 15:10:00	0.025	0.026	0.078	-0.017	0.021	0.015	0.044	0.153	2	0.304	0.737	2.301	0.5	2.479	-0.021	2017-01-03	10:10:00	US/Eastern
DAG	2017-01-03 15:25:00	0.025	0.026	0.078	-0.017	0.021	0.015	0.044	0.147	2	0.305	0.738	2.297	0.5	2.479	-0.026	2017-01-03	10:25:00	US/Eastern
DAG	2017-01-03 15:40:00	0.025	0.026	0.078	-0.017	0.021	0.015	0.044	0.142	2	0.306	0.739	2.292	0.5	2.479	-0.005	2017-01-03	10:40:00	US/Eastern
DAG	2017-01-03 15:55:00	0.025	0.026	0.078	-0.017	0.021	0.015	0.044	0.137	2	0.307	0.74	2.288	0.5	2.479	-0.01	2017-01-03	10:55:00	US/Eastern
DAG	2017-01-03 16:10:00	0.025	0.026	0.078	-0.017	0.021	0.015	0.044	0.132	2	0.308	0.741	2.283	0.5	2.479	-0.015	2017-01-03	11:10:00	US/Eastern
DAG	2017-01-03 16:25:00	0.025	0.026	0.078	-0.017	0.02	0.015	0.044	0.128	2	0.309	0.742	2.278	0.5	2.479	-0.02	2017-01-03	11:25:00	US/Eastern
DAG	2017-01-03 16:40:00	0.025	0.026	0.078	-0.018	0.02	0.015	0.044	0.123	2	0.31	0.743	2.274	0.5	2.479	-0.025	2017-01-03	11:40:00	US/Eastern
DAG	2017-01-03 16:55:00	0.025	0.026	0.078	-0.018	0.02	0.015	0.044	0.118	2	0.311	0.744	2.269	0.5	2.479	-0.005	2017-01-03	11:55:00	US/Eastern
DAG	2017-01-03 17:10:00	0.025	0.026	0.078	-0.018	0.02	0.015	0.044	0.113	2	0.313	0.745	2.265	0.5	2.479	-0.01	2017-01-03	12:10:00	US/Eastern
DAG	2017-01-03 17:25:00	0.025	0.026	0.078	-0.018	0.02	0.015	0.044	0.108	2	0.314	0.746	2.26	0.5	2.479	-0.014	2017-01-03	12:25:00	US/Eastern
