Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - DGLD.txt

Data for: 2017-01-03 12:40:00 UTC - 2017-12-29 19:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
DGLD	2017-01-03 12:40:00	0.0	-0.006	0.025	0.225	0.0	-0.005	0.023	0.228	1	0.403	0.821	0.727	1.0	1.892	-0.003	2017-01-03	07:40:00	US/Eastern
DGLD	2017-01-03 12:55:00	0.0	-0.006	0.025	0.225	0.0	-0.005	0.023	0.227	1	0.403	0.821	0.728	1.0	1.892	-0.004	2017-01-03	07:55:00	US/Eastern
DGLD	2017-01-03 13:10:00	0.0	-0.005	0.024	0.224	0.0	-0.005	0.022	0.226	1	0.402	0.821	0.728	1.0	1.892	-0.001	2017-01-03	08:10:00	US/Eastern
DGLD	2017-01-03 13:25:00	0.0	-0.005	0.024	0.224	0.0	-0.005	0.022	0.226	1	0.402	0.821	0.729	1.0	1.892	-0.002	2017-01-03	08:25:00	US/Eastern
DGLD	2017-01-03 13:40:00	0.0	-0.005	0.023	0.224	0.0	-0.005	0.022	0.225	1	0.401	0.821	0.73	1.0	1.892	-0.002	2017-01-03	08:40:00	US/Eastern
DGLD	2017-01-03 13:55:00	0.0	-0.005	0.023	0.224	0.0	-0.005	0.021	0.224	1	0.401	0.821	0.73	1.0	1.892	-0.003	2017-01-03	08:55:00	US/Eastern
DGLD	2017-01-03 14:10:00	0.0	-0.005	0.022	0.224	0.0	-0.005	0.021	0.224	1	0.4	0.821	0.731	1.0	1.74	-0.004	2017-01-03	09:10:00	US/Eastern
DGLD	2017-01-03 14:25:00	0.0	-0.005	0.022	0.222	0.0	-0.005	0.021	0.222	1	0.399	0.819	0.734	1.0	1.74	-0.001	2017-01-03	09:25:00	US/Eastern
DGLD	2017-01-03 14:40:00	0.0	-0.005	0.022	0.221	0.0	-0.005	0.021	0.221	1	0.398	0.816	0.737	1.0	1.74	-0.002	2017-01-03	09:40:00	US/Eastern
DGLD	2017-01-03 14:55:00	0.0	-0.005	0.022	0.22	0.0	-0.005	0.021	0.22	1	0.397	0.814	0.741	1.0	1.74	-0.004	2017-01-03	09:55:00	US/Eastern
DGLD	2017-01-03 15:10:00	0.0	-0.005	0.022	0.219	0.0	-0.005	0.021	0.219	1	0.396	0.812	0.744	1.0	1.74	-0.005	2017-01-03	10:10:00	US/Eastern
DGLD	2017-01-03 15:25:00	0.0	-0.005	0.022	0.217	0.0	-0.004	0.021	0.217	1	0.395	0.81	0.747	1.0	1.74	-0.006	2017-01-03	10:25:00	US/Eastern
DGLD	2017-01-03 15:40:00	0.0	-0.005	0.022	0.216	0.0	-0.004	0.02	0.216	1	0.394	0.808	0.75	1.0	1.74	-0.001	2017-01-03	10:40:00	US/Eastern
DGLD	2017-01-03 15:55:00	0.0	-0.005	0.022	0.215	0.0	-0.004	0.02	0.215	1	0.393	0.806	0.754	1.0	1.74	-0.003	2017-01-03	10:55:00	US/Eastern
DGLD	2017-01-03 16:10:00	0.0	-0.005	0.021	0.214	0.0	-0.004	0.02	0.214	1	0.392	0.803	0.757	1.0	1.74	-0.004	2017-01-03	11:10:00	US/Eastern
DGLD	2017-01-03 16:25:00	0.0	-0.005	0.021	0.212	0.0	-0.004	0.02	0.212	1	0.391	0.801	0.761	1.0	1.74	-0.005	2017-01-03	11:25:00	US/Eastern
DGLD	2017-01-03 16:40:00	0.0	-0.004	0.021	0.211	0.0	-0.004	0.02	0.211	1	0.39	0.799	0.764	1.0	1.74	-0.006	2017-01-03	11:40:00	US/Eastern
DGLD	2017-01-03 16:55:00	0.0	-0.004	0.021	0.21	0.0	-0.004	0.02	0.21	1	0.389	0.797	0.767	1.0	1.74	-0.001	2017-01-03	11:55:00	US/Eastern
DGLD	2017-01-03 17:10:00	0.0	-0.004	0.021	0.208	0.0	-0.004	0.02	0.208	1	0.388	0.795	0.771	1.0	1.74	-0.003	2017-01-03	12:10:00	US/Eastern
DGLD	2017-01-03 17:25:00	0.0	-0.004	0.021	0.207	0.0	-0.004	0.02	0.207	1	0.386	0.792	0.774	1.0	1.74	-0.004	2017-01-03	12:25:00	US/Eastern
DGLD	2017-01-03 17:40:00	0.0	-0.004	0.021	0.206	0.0	-0.004	0.02	0.206	1	0.385	0.79	0.778	1.0	1.74	-0.005	2017-01-03	12:40:00	US/Eastern
DGLD	2017-01-03 17:55:00	0.0	-0.004	0.021	0.205	0.0	-0.004	0.019	0.205	1	0.384	0.788	0.781	1.0	1.74	-0.007	2017-01-03	12:55:00	US/Eastern
DGLD	2017-01-03 18:10:00	0.0	-0.004	0.021	0.203	0.0	-0.004	0.019	0.203	1	0.383	0.786	0.785	1.0	1.74	-0.001	2017-01-03	13:10:00	US/Eastern
DGLD	2017-01-03 18:25:00	0.0	-0.004	0.02	0.202	0.0	-0.004	0.019	0.202	1	0.382	0.783	0.789	1.0	1.74	-0.003	2017-01-03	13:25:00	US/Eastern
DGLD	2017-01-03 18:40:00	0.0	-0.004	0.02	0.201	0.0	-0.004	0.019	0.201	1	0.381	0.781	0.792	1.0	1.74	-0.004	2017-01-03	13:40:00	US/Eastern
DGLD	2017-01-03 18:55:00	0.0	-0.004	0.02	0.199	0.0	-0.004	0.019	0.199	1	0.38	0.779	0.796	1.0	1.74	-0.005	2017-01-03	13:55:00	US/Eastern
DGLD	2017-01-03 19:10:00	0.0	-0.004	0.02	0.198	0.0	-0.004	0.019	0.198	1	0.379	0.777	0.799	1.0	1.74	-0.007	2017-01-03	14:10:00	US/Eastern
DGLD	2017-01-03 19:25:00	0.0	-0.004	0.02	0.197	0.0	-0.004	0.019	0.197	1	0.378	0.774	0.803	1.0	1.74	-0.001	2017-01-03	14:25:00	US/Eastern
DGLD	2017-01-03 19:40:00	0.0	-0.004	0.02	0.195	0.0	-0.004	0.019	0.195	1	0.377	0.772	0.807	1.0	1.74	-0.003	2017-01-03	14:40:00	US/Eastern
