Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - DNL.txt

Data for: 2017-01-06 01:55:00 UTC - 2017-12-30 10:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
DNL	2017-01-06 01:55:00	-0.05	0.004	0.031	-1.754	-0.05	0.002	0.024	-2.134	2	0.25	0.55	3.181	0.5	3.307	-1.911	2017-01-05	20:55:00	US/Eastern
DNL	2017-01-06 02:10:00	-0.05	0.004	0.031	-1.754	-0.049	0.002	0.024	-2.119	2	0.25	0.55	3.181	0.5	3.307	-1.895	2017-01-05	21:10:00	US/Eastern
DNL	2017-01-06 02:25:00	-0.05	0.004	0.031	-1.754	-0.049	0.002	0.024	-2.104	2	0.25	0.55	3.181	0.5	3.307	0.015	2017-01-05	21:25:00	US/Eastern
DNL	2017-01-06 02:40:00	-0.05	0.004	0.031	-1.754	-0.048	0.002	0.024	-2.089	2	0.25	0.55	3.181	0.5	3.307	0.03	2017-01-05	21:40:00	US/Eastern
DNL	2017-01-06 02:55:00	-0.05	0.004	0.031	-1.754	-0.048	0.002	0.024	-2.074	2	0.25	0.55	3.181	0.5	3.307	0.045	2017-01-05	21:55:00	US/Eastern
DNL	2017-01-06 03:10:00	-0.05	0.004	0.031	-1.754	-0.047	0.002	0.024	-2.059	2	0.25	0.55	3.181	0.5	3.307	0.06	2017-01-05	22:10:00	US/Eastern
DNL	2017-01-06 03:25:00	-0.05	0.004	0.031	-1.754	-0.047	0.002	0.024	-2.044	2	0.25	0.55	3.181	0.5	3.307	0.075	2017-01-05	22:25:00	US/Eastern
DNL	2017-01-06 03:40:00	-0.05	0.004	0.031	-1.754	-0.046	0.002	0.024	-2.03	2	0.25	0.55	3.181	0.5	3.307	0.015	2017-01-05	22:40:00	US/Eastern
DNL	2017-01-06 03:55:00	-0.05	0.004	0.031	-1.754	-0.046	0.002	0.024	-2.015	2	0.25	0.55	3.181	0.5	3.307	0.029	2017-01-05	22:55:00	US/Eastern
DNL	2017-01-06 04:10:00	-0.05	0.004	0.031	-1.754	-0.045	0.002	0.024	-2.0	2	0.25	0.55	3.181	0.5	3.307	0.044	2017-01-05	23:10:00	US/Eastern
DNL	2017-01-06 04:25:00	-0.05	0.004	0.031	-1.754	-0.045	0.002	0.024	-1.986	2	0.25	0.55	3.181	0.5	3.307	0.059	2017-01-05	23:25:00	US/Eastern
DNL	2017-01-06 04:40:00	-0.05	0.004	0.031	-1.754	-0.044	0.002	0.024	-1.971	2	0.25	0.55	3.181	0.5	3.307	0.073	2017-01-05	23:40:00	US/Eastern
DNL	2017-01-06 04:55:00	-0.05	0.004	0.031	-1.754	-0.044	0.003	0.024	-1.957	2	0.25	0.55	3.181	0.5	3.307	0.014	2017-01-05	23:55:00	US/Eastern
DNL	2017-01-06 05:10:00	-0.05	0.004	0.031	-1.754	-0.043	0.003	0.024	-1.942	2	0.25	0.55	3.181	0.5	3.307	0.029	2017-01-06	00:10:00	US/Eastern
DNL	2017-01-06 05:25:00	-0.05	0.004	0.031	-1.754	-0.043	0.003	0.024	-1.928	2	0.25	0.55	3.181	0.5	3.307	0.043	2017-01-06	00:25:00	US/Eastern
DNL	2017-01-06 05:40:00	-0.05	0.004	0.031	-1.754	-0.042	0.003	0.024	-1.914	2	0.25	0.55	3.181	0.5	3.307	0.057	2017-01-06	00:40:00	US/Eastern
DNL	2017-01-06 05:55:00	-0.05	0.004	0.031	-1.754	-0.042	0.003	0.024	-1.9	2	0.25	0.55	3.181	0.5	3.307	0.072	2017-01-06	00:55:00	US/Eastern
DNL	2017-01-06 06:10:00	-0.05	0.004	0.031	-1.754	-0.042	0.003	0.023	-1.885	2	0.25	0.55	3.181	0.5	3.307	0.014	2017-01-06	01:10:00	US/Eastern
DNL	2017-01-06 06:25:00	-0.05	0.004	0.031	-1.754	-0.041	0.003	0.023	-1.871	2	0.25	0.55	3.181	0.5	3.307	0.028	2017-01-06	01:25:00	US/Eastern
DNL	2017-01-06 06:40:00	-0.05	0.004	0.031	-1.754	-0.041	0.003	0.023	-1.857	2	0.25	0.55	3.181	0.5	3.307	0.042	2017-01-06	01:40:00	US/Eastern
DNL	2017-01-06 06:55:00	-0.05	0.004	0.031	-1.754	-0.04	0.003	0.023	-1.843	2	0.25	0.55	3.181	0.5	3.307	0.056	2017-01-06	01:55:00	US/Eastern
DNL	2017-01-06 07:10:00	-0.05	0.004	0.031	-1.754	-0.04	0.003	0.023	-1.83	2	0.25	0.55	3.181	0.5	3.307	0.07	2017-01-06	02:10:00	US/Eastern
DNL	2017-01-06 07:25:00	-0.05	0.004	0.031	-1.754	-0.039	0.003	0.023	-1.816	2	0.25	0.55	3.181	0.5	3.307	0.014	2017-01-06	02:25:00	US/Eastern
DNL	2017-01-06 07:40:00	-0.05	0.004	0.031	-1.754	-0.039	0.003	0.023	-1.802	2	0.25	0.55	3.181	0.5	3.307	0.027	2017-01-06	02:40:00	US/Eastern
DNL	2017-01-06 07:55:00	-0.05	0.004	0.031	-1.754	-0.039	0.003	0.023	-1.788	2	0.25	0.55	3.181	0.5	3.307	0.041	2017-01-06	02:55:00	US/Eastern
DNL	2017-01-06 08:10:00	-0.05	0.004	0.031	-1.754	-0.038	0.003	0.023	-1.775	2	0.25	0.55	3.181	0.5	3.307	0.055	2017-01-06	03:10:00	US/Eastern
DNL	2017-01-06 08:25:00	-0.05	0.004	0.031	-1.754	-0.038	0.003	0.023	-1.761	2	0.25	0.55	3.181	0.5	3.307	0.068	2017-01-06	03:25:00	US/Eastern
DNL	2017-01-06 08:40:00	-0.05	0.004	0.031	-1.754	-0.037	0.003	0.023	-1.748	2	0.25	0.55	3.181	0.5	3.307	0.013	2017-01-06	03:40:00	US/Eastern
DNL	2017-01-06 08:55:00	-0.05	0.004	0.031	-1.754	-0.037	0.003	0.023	-1.735	2	0.25	0.55	3.181	0.5	3.307	0.027	2017-01-06	03:55:00	US/Eastern
DNL	2017-01-06 09:10:00	-0.05	0.004	0.031	-1.754	-0.037	0.003	0.023	-1.721	2	0.25	0.55	3.181	0.5	3.307	0.04	2017-01-06	04:10:00	US/Eastern
DNL	2017-01-06 09:25:00	-0.05	0.004	0.031	-1.754	-0.036	0.003	0.023	-1.708	2	0.25	0.55	3.181	0.5	3.307	0.053	2017-01-06	04:25:00	US/Eastern
DNL	2017-01-06 09:40:00	-0.05	0.004	0.031	-1.754	-0.036	0.003	0.023	-1.695	2	0.25	0.55	3.181	0.5	3.307	0.066	2017-01-06	04:40:00	US/Eastern
DNL	2017-01-06 09:55:00	-0.05	0.004	0.031	-1.754	-0.036	0.003	0.023	-1.682	2	0.25	0.55	3.181	0.5	3.307	0.013	2017-01-06	04:55:00	US/Eastern
DNL	2017-01-06 10:10:00	-0.05	0.004	0.031	-1.754	-0.035	0.003	0.023	-1.669	2	0.25	0.55	3.181	0.5	3.307	0.026	2017-01-06	05:10:00	US/Eastern
DNL	2017-01-06 10:25:00	-0.05	0.004	0.031	-1.754	-0.035	0.003	0.023	-1.656	2	0.25	0.55	3.181	0.5	3.307	0.039	2017-01-06	05:25:00	US/Eastern
DNL	2017-01-06 10:40:00	-0.05	0.004	0.031	-1.754	-0.034	0.003	0.023	-1.644	2	0.25	0.55	3.181	0.5	3.307	0.052	2017-01-06	05:40:00	US/Eastern
DNL	2017-01-06 10:55:00	-0.05	0.004	0.031	-1.754	-0.034	0.003	0.023	-1.631	2	0.25	0.55	3.181	0.5	3.307	0.064	2017-01-06	05:55:00	US/Eastern
DNL	2017-01-06 11:10:00	-0.05	0.004	0.031	-1.754	-0.034	0.003	0.023	-1.618	2	0.25	0.55	3.181	0.5	3.307	0.013	2017-01-06	06:10:00	US/Eastern
DNL	2017-01-06 11:25:00	-0.05	0.004	0.031	-1.754	-0.033	0.003	0.023	-1.606	2	0.25	0.55	3.181	0.5	3.307	0.025	2017-01-06	06:25:00	US/Eastern
DNL	2017-01-06 11:40:00	-0.05	0.004	0.031	-1.754	-0.033	0.003	0.023	-1.593	2	0.25	0.55	3.181	0.5	3.307	0.038	2017-01-06	06:40:00	US/Eastern
DNL	2017-01-06 11:55:00	-0.05	0.004	0.031	-1.754	-0.033	0.003	0.023	-1.581	2	0.25	0.55	3.181	0.5	3.307	0.05	2017-01-06	06:55:00	US/Eastern
DNL	2017-01-06 12:10:00	-0.05	0.004	0.031	-1.754	-0.032	0.003	0.023	-1.569	2	0.25	0.55	3.181	0.5	3.307	0.062	2017-01-06	07:10:00	US/Eastern
DNL	2017-01-06 12:25:00	-0.05	0.004	0.031	-1.754	-0.032	0.003	0.023	-1.557	2	0.25	0.55	3.181	0.5	3.307	0.012	2017-01-06	07:25:00	US/Eastern
DNL	2017-01-06 12:40:00	-0.05	0.004	0.031	-1.754	-0.032	0.003	0.023	-1.544	2	0.25	0.55	3.181	0.5	3.307	0.024	2017-01-06	07:40:00	US/Eastern
DNL	2017-01-06 12:55:00	-0.05	0.004	0.031	-1.754	-0.031	0.003	0.023	-1.532	2	0.25	0.55	3.181	0.5	3.307	0.036	2017-01-06	07:55:00	US/Eastern
DNL	2017-01-06 13:10:00	-0.05	0.004	0.031	-1.754	-0.031	0.003	0.023	-1.52	2	0.25	0.55	3.181	0.5	3.307	0.048	2017-01-06	08:10:00	US/Eastern
DNL	2017-01-06 13:25:00	-0.05	0.004	0.031	-1.754	-0.031	0.003	0.022	-1.509	2	0.25	0.55	3.181	0.5	3.307	0.06	2017-01-06	08:25:00	US/Eastern
DNL	2017-01-06 13:40:00	-0.05	0.004	0.031	-1.754	-0.03	0.003	0.022	-1.497	2	0.25	0.55	3.181	0.5	3.307	0.012	2017-01-06	08:40:00	US/Eastern
DNL	2017-01-06 13:55:00	-0.05	0.004	0.031	-1.754	-0.03	0.003	0.022	-1.485	2	0.25	0.55	3.181	0.5	3.307	0.023	2017-01-06	08:55:00	US/Eastern
DNL	2017-01-06 14:10:00	-0.05	0.004	0.031	-1.754	-0.03	0.003	0.022	-1.473	2	0.25	0.55	3.181	0.5	2.676	0.035	2017-01-06	09:10:00	US/Eastern
DNL	2017-01-06 14:25:00	-0.05	0.004	0.031	-1.752	-0.03	0.003	0.022	-1.46	2	0.251	0.552	3.171	0.5	2.676	0.048	2017-01-06	09:25:00	US/Eastern
DNL	2017-01-06 14:40:00	-0.05	0.004	0.031	-1.749	-0.029	0.003	0.022	-1.447	2	0.252	0.553	3.16	0.5	2.676	0.061	2017-01-06	09:40:00	US/Eastern
