Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - DON.txt

Data for: 2017-01-05 14:40:00 UTC - 2017-12-29 00:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
DON	2017-01-05 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	09:40:00	US/Eastern
DON	2017-01-05 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	09:55:00	US/Eastern
DON	2017-01-05 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	10:10:00	US/Eastern
DON	2017-01-05 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	10:25:00	US/Eastern
DON	2017-01-05 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	10:40:00	US/Eastern
DON	2017-01-05 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	10:55:00	US/Eastern
DON	2017-01-05 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	11:10:00	US/Eastern
DON	2017-01-05 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	11:25:00	US/Eastern
DON	2017-01-05 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	11:40:00	US/Eastern
DON	2017-01-05 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	11:55:00	US/Eastern
DON	2017-01-05 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	12:10:00	US/Eastern
DON	2017-01-05 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	12:25:00	US/Eastern
DON	2017-01-05 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	12:40:00	US/Eastern
DON	2017-01-05 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	12:55:00	US/Eastern
DON	2017-01-05 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	13:10:00	US/Eastern
DON	2017-01-05 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	13:25:00	US/Eastern
DON	2017-01-05 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	13:40:00	US/Eastern
DON	2017-01-05 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	13:55:00	US/Eastern
DON	2017-01-05 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.366	2.32	1.0	2.608	0.0	2017-01-05	14:10:00	US/Eastern
