Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - DSLV.txt

Data for: 2017-01-03 15:40:00 UTC - 2017-12-31 23:55:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
DSLV	2017-01-03 15:40:00	0.25	0.043	0.078	2.656	0.249	0.031	0.068	3.19	1	0.744	1.018	0.252	1.0	1.434	3.61	2017-01-03	10:40:00	US/Eastern
DSLV	2017-01-03 15:55:00	0.25	0.043	0.078	2.656	0.247	0.031	0.068	3.174	1	0.743	1.018	0.253	1.0	1.434	3.594	2017-01-03	10:55:00	US/Eastern
DSLV	2017-01-03 16:10:00	0.25	0.043	0.078	2.656	0.244	0.031	0.067	3.158	1	0.742	1.017	0.254	1.0	1.434	3.578	2017-01-03	11:10:00	US/Eastern
DSLV	2017-01-03 16:25:00	0.25	0.043	0.078	2.656	0.242	0.031	0.067	3.142	1	0.741	1.017	0.255	1.0	1.434	3.562	2017-01-03	11:25:00	US/Eastern
DSLV	2017-01-03 16:40:00	0.25	0.043	0.078	2.656	0.239	0.031	0.067	3.126	1	0.74	1.017	0.256	1.0	1.434	3.546	2017-01-03	11:40:00	US/Eastern
DSLV	2017-01-03 16:55:00	0.25	0.043	0.078	2.656	0.237	0.031	0.066	3.11	1	0.739	1.017	0.257	1.0	1.434	-0.016	2017-01-03	11:55:00	US/Eastern
DSLV	2017-01-03 17:10:00	0.25	0.043	0.078	2.657	0.234	0.031	0.066	3.093	1	0.737	1.016	0.258	1.0	1.434	-0.033	2017-01-03	12:10:00	US/Eastern
DSLV	2017-01-03 17:25:00	0.25	0.043	0.078	2.657	0.232	0.03	0.065	3.077	1	0.736	1.016	0.259	1.0	1.434	-0.049	2017-01-03	12:25:00	US/Eastern
DSLV	2017-01-03 17:40:00	0.25	0.043	0.078	2.657	0.229	0.03	0.065	3.06	1	0.735	1.016	0.261	1.0	1.434	-0.066	2017-01-03	12:40:00	US/Eastern
DSLV	2017-01-03 17:55:00	0.25	0.043	0.078	2.657	0.227	0.03	0.065	3.044	1	0.734	1.015	0.262	1.0	1.434	-0.082	2017-01-03	12:55:00	US/Eastern
DSLV	2017-01-03 18:10:00	0.25	0.043	0.078	2.657	0.225	0.03	0.064	3.027	1	0.733	1.015	0.263	1.0	1.434	-0.017	2017-01-03	13:10:00	US/Eastern
DSLV	2017-01-03 18:25:00	0.25	0.042	0.078	2.657	0.222	0.03	0.064	3.01	1	0.732	1.015	0.264	1.0	1.434	-0.034	2017-01-03	13:25:00	US/Eastern
DSLV	2017-01-03 18:40:00	0.25	0.042	0.078	2.657	0.22	0.03	0.064	2.993	1	0.731	1.015	0.265	1.0	1.434	-0.051	2017-01-03	13:40:00	US/Eastern
DSLV	2017-01-03 18:55:00	0.25	0.042	0.078	2.657	0.218	0.03	0.063	2.976	1	0.73	1.014	0.266	1.0	1.434	-0.068	2017-01-03	13:55:00	US/Eastern
DSLV	2017-01-03 19:10:00	0.25	0.042	0.078	2.657	0.215	0.03	0.063	2.959	1	0.729	1.014	0.267	1.0	1.434	-0.085	2017-01-03	14:10:00	US/Eastern
DSLV	2017-01-03 19:25:00	0.25	0.042	0.078	2.657	0.213	0.029	0.063	2.941	1	0.728	1.014	0.268	1.0	1.434	-0.017	2017-01-03	14:25:00	US/Eastern
DSLV	2017-01-03 19:40:00	0.25	0.042	0.078	2.657	0.211	0.029	0.062	2.924	1	0.727	1.013	0.269	1.0	1.434	-0.035	2017-01-03	14:40:00	US/Eastern
