Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EEB.txt

Data for: 2017-01-05 11:10:00 UTC - 2017-12-05 13:40:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EEB	2017-01-05 11:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.743	0.0	2017-01-05	06:10:00	US/Eastern
EEB	2017-01-05 11:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	0.5	2.24	0.0	2017-01-05	06:25:00	US/Eastern
EEB	2017-01-05 11:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	0.5	2.24	0.0	2017-01-05	06:40:00	US/Eastern
EEB	2017-01-05 11:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	0.5	2.24	0.0	2017-01-05	06:55:00	US/Eastern
EEB	2017-01-05 12:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	0.5	2.24	0.0	2017-01-05	07:10:00	US/Eastern
EEB	2017-01-05 12:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	0.5	2.24	0.0	2017-01-05	07:25:00	US/Eastern
EEB	2017-01-05 12:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	0.5	2.24	0.0	2017-01-05	07:40:00	US/Eastern
EEB	2017-01-05 12:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	0.5	2.24	0.0	2017-01-05	07:55:00	US/Eastern
EEB	2017-01-05 13:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	0.5	2.24	0.0	2017-01-05	08:10:00	US/Eastern
EEB	2017-01-05 13:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	0.5	2.24	0.0	2017-01-05	08:25:00	US/Eastern
EEB	2017-01-05 13:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	0.5	2.24	0.0	2017-01-05	08:40:00	US/Eastern
EEB	2017-01-05 13:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	0.5	2.24	0.0	2017-01-05	08:55:00	US/Eastern
EEB	2017-01-05 14:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	0.5	3.061	0.0	2017-01-05	09:10:00	US/Eastern
EEB	2017-01-05 14:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.101	0.449	4.225	0.5	3.061	0.0	2017-01-05	09:25:00	US/Eastern
EEB	2017-01-05 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.102	0.452	4.203	0.5	3.061	0.0	2017-01-05	09:40:00	US/Eastern
EEB	2017-01-05 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.103	0.454	4.18	0.5	3.061	0.0	2017-01-05	09:55:00	US/Eastern
EEB	2017-01-05 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.104	0.456	4.158	0.5	3.061	0.0	2017-01-05	10:10:00	US/Eastern
EEB	2017-01-05 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.105	0.458	4.136	0.5	3.061	0.0	2017-01-05	10:25:00	US/Eastern
EEB	2017-01-05 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.106	0.46	4.115	0.5	3.061	0.0	2017-01-05	10:40:00	US/Eastern
EEB	2017-01-05 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.107	0.462	4.094	0.5	3.061	0.0	2017-01-05	10:55:00	US/Eastern
EEB	2017-01-05 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.108	0.464	4.073	0.5	3.061	0.0	2017-01-05	11:10:00	US/Eastern
EEB	2017-01-05 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.109	0.467	4.052	0.5	3.061	0.0	2017-01-05	11:25:00	US/Eastern
EEB	2017-01-05 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.11	0.469	4.032	0.5	3.061	0.0	2017-01-05	11:40:00	US/Eastern
EEB	2017-01-05 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.111	0.471	4.012	0.5	3.061	0.0	2017-01-05	11:55:00	US/Eastern
EEB	2017-01-05 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.113	0.473	3.992	0.5	3.061	0.0	2017-01-05	12:10:00	US/Eastern
EEB	2017-01-05 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.114	0.475	3.973	0.5	3.061	0.0	2017-01-05	12:25:00	US/Eastern
