Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EFZ.txt

Data for: 2017-02-23 08:40:00 UTC - 2017-12-30 14:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EFZ	2017-02-23 08:40:00	-0.15	-0.007	0.034	-4.249	-0.149	-0.007	0.033	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	03:40:00	US/Eastern
EFZ	2017-02-23 08:55:00	-0.15	-0.007	0.034	-4.249	-0.148	-0.007	0.033	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	03:55:00	US/Eastern
EFZ	2017-02-23 09:10:00	-0.15	-0.007	0.034	-4.249	-0.146	-0.007	0.033	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	04:10:00	US/Eastern
EFZ	2017-02-23 09:25:00	-0.15	-0.007	0.034	-4.249	-0.145	-0.007	0.032	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	04:25:00	US/Eastern
EFZ	2017-02-23 09:40:00	-0.15	-0.007	0.034	-4.249	-0.143	-0.007	0.032	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	04:40:00	US/Eastern
EFZ	2017-02-23 09:55:00	-0.15	-0.007	0.034	-4.249	-0.142	-0.007	0.032	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	04:55:00	US/Eastern
EFZ	2017-02-23 10:10:00	-0.15	-0.007	0.034	-4.249	-0.14	-0.007	0.031	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	05:10:00	US/Eastern
EFZ	2017-02-23 10:25:00	-0.15	-0.007	0.034	-4.249	-0.139	-0.007	0.031	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	05:25:00	US/Eastern
EFZ	2017-02-23 10:40:00	-0.15	-0.007	0.034	-4.249	-0.137	-0.007	0.031	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	05:40:00	US/Eastern
EFZ	2017-02-23 10:55:00	-0.15	-0.007	0.034	-4.249	-0.136	-0.007	0.03	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	05:55:00	US/Eastern
EFZ	2017-02-23 11:10:00	-0.15	-0.007	0.034	-4.249	-0.134	-0.007	0.03	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	06:10:00	US/Eastern
EFZ	2017-02-23 11:25:00	-0.15	-0.007	0.034	-4.249	-0.133	-0.007	0.03	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	06:25:00	US/Eastern
EFZ	2017-02-23 11:40:00	-0.15	-0.007	0.034	-4.249	-0.132	-0.007	0.029	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	06:40:00	US/Eastern
EFZ	2017-02-23 11:55:00	-0.15	-0.007	0.034	-4.249	-0.13	-0.007	0.029	-4.249	1	0.05	0.224	4.249	1.0	1.796	0.0	2017-02-23	06:55:00	US/Eastern
