Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EKH.txt

Data for: 2017-04-07 11:55:00 UTC - 2017-07-04 11:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EKH	2017-04-07 11:55:00	0.1	0.005	0.022	4.249	0.099	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	1.786	0.0	2017-04-07	07:55:00	US/Eastern
EKH	2017-04-07 12:10:00	0.1	0.005	0.022	4.249	0.098	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	1.786	0.0	2017-04-07	08:10:00	US/Eastern
EKH	2017-04-07 12:25:00	0.1	0.005	0.022	4.249	0.097	0.005	0.022	4.249	1	0.05	0.224	4.249	1.0	1.786	0.0	2017-04-07	08:25:00	US/Eastern
EKH	2017-04-07 12:40:00	0.1	0.005	0.022	4.249	0.096	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	1.786	0.0	2017-04-07	08:40:00	US/Eastern
EKH	2017-04-07 12:55:00	0.1	0.005	0.022	4.249	0.095	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	1.786	0.0	2017-04-07	08:55:00	US/Eastern
EKH	2017-04-07 13:10:00	0.1	0.005	0.022	4.249	0.094	0.005	0.021	4.249	1	0.05	0.224	4.249	1.0	3.132	0.0	2017-04-07	09:10:00	US/Eastern
EKH	2017-04-07 13:25:00	0.1	0.005	0.022	4.225	0.093	0.005	0.021	4.225	1	0.051	0.225	4.225	1.0	3.132	-0.024	2017-04-07	09:25:00	US/Eastern
EKH	2017-04-07 13:40:00	0.1	0.005	0.023	4.203	0.092	0.005	0.021	4.201	1	0.051	0.226	4.203	1.0	3.132	-0.048	2017-04-07	09:40:00	US/Eastern
EKH	2017-04-07 13:55:00	0.1	0.005	0.023	4.18	0.091	0.005	0.021	4.176	1	0.052	0.227	4.18	1.0	3.132	-0.073	2017-04-07	09:55:00	US/Eastern
EKH	2017-04-07 14:10:00	0.1	0.005	0.023	4.158	0.09	0.005	0.021	4.151	1	0.052	0.228	4.158	1.0	3.132	-0.098	2017-04-07	10:10:00	US/Eastern
EKH	2017-04-07 14:25:00	0.1	0.005	0.023	4.136	0.089	0.005	0.021	4.125	1	0.053	0.229	4.136	1.0	3.132	-0.124	2017-04-07	10:25:00	US/Eastern
EKH	2017-04-07 14:40:00	0.1	0.005	0.023	4.115	0.088	0.005	0.02	4.098	1	0.053	0.23	4.115	1.0	3.132	-0.027	2017-04-07	10:40:00	US/Eastern
EKH	2017-04-07 14:55:00	0.1	0.005	0.023	4.094	0.087	0.005	0.02	4.071	1	0.054	0.231	4.094	1.0	3.132	-0.054	2017-04-07	10:55:00	US/Eastern
EKH	2017-04-07 15:10:00	0.1	0.005	0.023	4.073	0.087	0.005	0.02	4.043	1	0.054	0.232	4.073	1.0	3.132	-0.081	2017-04-07	11:10:00	US/Eastern
EKH	2017-04-07 15:25:00	0.1	0.005	0.023	4.052	0.086	0.005	0.02	4.015	1	0.055	0.233	4.052	1.0	3.132	-0.11	2017-04-07	11:25:00	US/Eastern
EKH	2017-04-07 15:40:00	0.1	0.006	0.023	4.032	0.085	0.005	0.02	3.986	1	0.055	0.234	4.032	1.0	3.132	-0.138	2017-04-07	11:40:00	US/Eastern
EKH	2017-04-07 15:55:00	0.1	0.006	0.024	4.012	0.084	0.005	0.02	3.957	1	0.056	0.235	4.012	1.0	3.132	-0.029	2017-04-07	11:55:00	US/Eastern
EKH	2017-04-07 16:10:00	0.1	0.006	0.024	3.992	0.083	0.005	0.02	3.927	1	0.056	0.236	3.992	1.0	3.132	-0.059	2017-04-07	12:10:00	US/Eastern
EKH	2017-04-07 16:25:00	0.1	0.006	0.024	3.973	0.082	0.005	0.02	3.897	1	0.057	0.237	3.973	1.0	3.132	-0.089	2017-04-07	12:25:00	US/Eastern
