Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EMCG.txt

Data for: 2017-01-04 14:25:00 UTC - 2017-12-29 20:40:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EMCG	2017-01-04 14:25:00	0.1	0.02	0.041	1.949	0.1	0.011	0.025	3.572	1	0.2	0.41	1.949	1.0	2.374	3.981	2017-01-04	09:25:00	US/Eastern
EMCG	2017-01-04 14:40:00	0.1	0.02	0.041	1.949	0.099	0.01	0.025	3.56	1	0.2	0.41	1.949	1.0	2.374	3.97	2017-01-04	09:40:00	US/Eastern
EMCG	2017-01-04 14:55:00	0.1	0.02	0.041	1.949	0.098	0.01	0.025	3.548	1	0.2	0.41	1.949	1.0	2.374	3.958	2017-01-04	09:55:00	US/Eastern
EMCG	2017-01-04 15:10:00	0.1	0.02	0.041	1.949	0.097	0.01	0.024	3.536	1	0.2	0.41	1.949	1.0	2.374	3.946	2017-01-04	10:10:00	US/Eastern
EMCG	2017-01-04 15:25:00	0.1	0.02	0.041	1.949	0.096	0.01	0.024	3.524	1	0.2	0.41	1.949	1.0	2.374	-0.012	2017-01-04	10:25:00	US/Eastern
EMCG	2017-01-04 15:40:00	0.1	0.02	0.041	1.949	0.095	0.01	0.024	3.512	1	0.2	0.41	1.949	1.0	2.374	-0.024	2017-01-04	10:40:00	US/Eastern
EMCG	2017-01-04 15:55:00	0.1	0.02	0.041	1.949	0.094	0.01	0.024	3.5	1	0.2	0.41	1.949	1.0	2.374	-0.037	2017-01-04	10:55:00	US/Eastern
EMCG	2017-01-04 16:10:00	0.1	0.02	0.041	1.949	0.093	0.01	0.024	3.487	1	0.2	0.41	1.949	1.0	2.374	-0.049	2017-01-04	11:10:00	US/Eastern
EMCG	2017-01-04 16:25:00	0.1	0.02	0.041	1.949	0.092	0.01	0.023	3.474	1	0.2	0.41	1.949	1.0	2.374	-0.062	2017-01-04	11:25:00	US/Eastern
EMCG	2017-01-04 16:40:00	0.1	0.02	0.041	1.949	0.091	0.01	0.023	3.461	1	0.2	0.41	1.949	1.0	2.374	-0.013	2017-01-04	11:40:00	US/Eastern
EMCG	2017-01-04 16:55:00	0.1	0.02	0.041	1.949	0.09	0.01	0.023	3.448	1	0.2	0.41	1.949	1.0	2.374	-0.026	2017-01-04	11:55:00	US/Eastern
EMCG	2017-01-04 17:10:00	0.1	0.02	0.041	1.949	0.089	0.01	0.023	3.435	1	0.2	0.41	1.949	1.0	2.374	-0.039	2017-01-04	12:10:00	US/Eastern
EMCG	2017-01-04 17:25:00	0.1	0.02	0.041	1.949	0.088	0.01	0.023	3.422	1	0.2	0.41	1.949	1.0	2.374	-0.052	2017-01-04	12:25:00	US/Eastern
EMCG	2017-01-04 17:40:00	0.1	0.02	0.041	1.949	0.087	0.01	0.023	3.408	1	0.2	0.41	1.949	1.0	2.374	-0.066	2017-01-04	12:40:00	US/Eastern
EMCG	2017-01-04 17:55:00	0.1	0.02	0.041	1.949	0.086	0.01	0.022	3.395	1	0.2	0.41	1.949	1.0	2.374	-0.014	2017-01-04	12:55:00	US/Eastern
EMCG	2017-01-04 18:10:00	0.1	0.02	0.041	1.949	0.085	0.01	0.022	3.381	1	0.2	0.41	1.949	1.0	2.374	-0.027	2017-01-04	13:10:00	US/Eastern
EMCG	2017-01-04 18:25:00	0.1	0.02	0.041	1.949	0.084	0.01	0.022	3.367	1	0.2	0.41	1.949	1.0	2.374	-0.041	2017-01-04	13:25:00	US/Eastern
EMCG	2017-01-04 18:40:00	0.1	0.02	0.041	1.949	0.083	0.01	0.022	3.353	1	0.2	0.41	1.949	1.0	2.374	-0.055	2017-01-04	13:40:00	US/Eastern
EMCG	2017-01-04 18:55:00	0.1	0.02	0.041	1.949	0.083	0.01	0.022	3.339	1	0.2	0.41	1.949	1.0	2.374	-0.07	2017-01-04	13:55:00	US/Eastern
EMCG	2017-01-04 19:10:00	0.1	0.02	0.041	1.949	0.082	0.01	0.022	3.324	1	0.2	0.41	1.949	1.0	2.374	-0.014	2017-01-04	14:10:00	US/Eastern
EMCG	2017-01-04 19:25:00	0.1	0.02	0.041	1.949	0.081	0.01	0.022	3.31	1	0.2	0.41	1.949	1.0	2.374	-0.029	2017-01-04	14:25:00	US/Eastern
EMCG	2017-01-04 19:40:00	0.1	0.02	0.041	1.949	0.08	0.01	0.021	3.295	1	0.2	0.41	1.949	1.0	2.374	-0.044	2017-01-04	14:40:00	US/Eastern
EMCG	2017-01-04 19:55:00	0.1	0.02	0.041	1.949	0.079	0.01	0.021	3.28	1	0.2	0.41	1.949	1.0	2.374	-0.058	2017-01-04	14:55:00	US/Eastern
EMCG	2017-01-04 20:10:00	0.1	0.02	0.041	1.949	0.078	0.009	0.021	3.265	1	0.2	0.41	1.949	1.0	2.374	-0.073	2017-01-04	15:10:00	US/Eastern
EMCG	2017-01-04 20:25:00	0.1	0.02	0.041	1.949	0.078	0.009	0.021	3.25	1	0.2	0.41	1.949	1.0	2.374	-0.015	2017-01-04	15:25:00	US/Eastern
EMCG	2017-01-04 20:40:00	0.1	0.02	0.041	1.949	0.077	0.009	0.021	3.235	1	0.2	0.41	1.949	1.0	2.374	-0.03	2017-01-04	15:40:00	US/Eastern
EMCG	2017-01-04 20:55:00	0.1	0.02	0.041	1.949	0.076	0.009	0.021	3.22	1	0.2	0.41	1.949	1.0	2.374	-0.046	2017-01-04	15:55:00	US/Eastern
EMCG	2017-01-04 21:10:00	0.1	0.02	0.041	1.949	0.075	0.009	0.021	3.204	1	0.2	0.41	1.949	1.0	2.374	-0.061	2017-01-04	16:10:00	US/Eastern
EMCG	2017-01-04 21:25:00	0.1	0.02	0.041	1.949	0.074	0.009	0.02	3.188	1	0.2	0.41	1.949	1.0	2.374	-0.077	2017-01-04	16:25:00	US/Eastern
EMCG	2017-01-04 21:40:00	0.1	0.02	0.041	1.949	0.074	0.009	0.02	3.173	1	0.2	0.41	1.949	1.0	2.374	-0.016	2017-01-04	16:40:00	US/Eastern
EMCG	2017-01-04 21:55:00	0.1	0.02	0.041	1.949	0.073	0.009	0.02	3.157	1	0.2	0.41	1.949	1.0	2.374	-0.032	2017-01-04	16:55:00	US/Eastern
EMCG	2017-01-04 22:10:00	0.1	0.02	0.041	1.949	0.072	0.009	0.02	3.141	1	0.2	0.41	1.949	1.0	2.374	-0.048	2017-01-04	17:10:00	US/Eastern
EMCG	2017-01-04 22:25:00	0.1	0.02	0.041	1.949	0.071	0.009	0.02	3.124	1	0.2	0.41	1.949	1.0	2.374	-0.064	2017-01-04	17:25:00	US/Eastern
EMCG	2017-01-04 22:40:00	0.1	0.02	0.041	1.949	0.071	0.009	0.02	3.108	1	0.2	0.41	1.949	1.0	2.374	-0.08	2017-01-04	17:40:00	US/Eastern
EMCG	2017-01-04 22:55:00	0.1	0.02	0.041	1.949	0.07	0.009	0.02	3.091	1	0.2	0.41	1.949	1.0	2.374	-0.016	2017-01-04	17:55:00	US/Eastern
EMCG	2017-01-04 23:10:00	0.1	0.02	0.041	1.949	0.069	0.009	0.02	3.075	1	0.2	0.41	1.949	1.0	2.374	-0.033	2017-01-04	18:10:00	US/Eastern
EMCG	2017-01-04 23:25:00	0.1	0.02	0.041	1.949	0.068	0.009	0.019	3.058	1	0.2	0.41	1.949	1.0	2.374	-0.05	2017-01-04	18:25:00	US/Eastern
EMCG	2017-01-04 23:40:00	0.1	0.02	0.041	1.949	0.068	0.009	0.019	3.041	1	0.2	0.41	1.949	1.0	2.374	-0.067	2017-01-04	18:40:00	US/Eastern
EMCG	2017-01-04 23:55:00	0.1	0.02	0.041	1.949	0.067	0.009	0.019	3.024	1	0.2	0.41	1.949	1.0	2.374	-0.084	2017-01-04	18:55:00	US/Eastern
EMCG	2017-01-05 00:10:00	0.1	0.02	0.041	1.949	0.066	0.009	0.019	3.007	1	0.2	0.41	1.949	1.0	2.374	-0.017	2017-01-04	19:10:00	US/Eastern
EMCG	2017-01-05 00:25:00	0.1	0.02	0.041	1.949	0.066	0.009	0.019	2.99	1	0.2	0.41	1.949	1.0	2.374	-0.034	2017-01-04	19:25:00	US/Eastern
EMCG	2017-01-05 00:40:00	0.1	0.02	0.041	1.949	0.065	0.009	0.019	2.973	1	0.2	0.41	1.949	1.0	2.374	-0.052	2017-01-04	19:40:00	US/Eastern
EMCG	2017-01-05 00:55:00	0.1	0.02	0.041	1.949	0.064	0.009	0.019	2.955	1	0.2	0.41	1.949	1.0	2.374	-0.069	2017-01-04	19:55:00	US/Eastern
EMCG	2017-01-05 01:10:00	0.1	0.02	0.041	1.949	0.064	0.009	0.019	2.938	1	0.2	0.41	1.949	1.0	2.374	-0.087	2017-01-04	20:10:00	US/Eastern
EMCG	2017-01-05 01:25:00	0.1	0.02	0.041	1.949	0.063	0.009	0.019	2.92	1	0.2	0.41	1.949	1.0	2.374	-0.018	2017-01-04	20:25:00	US/Eastern
