Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EMLP.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-23 00:25:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EMLP	2017-01-01 00:10:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	19:10:00	US/Eastern
EMLP	2017-01-01 00:25:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	19:25:00	US/Eastern
EMLP	2017-01-01 00:40:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	19:40:00	US/Eastern
EMLP	2017-01-01 00:55:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	19:55:00	US/Eastern
EMLP	2017-01-01 01:10:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	20:10:00	US/Eastern
EMLP	2017-01-01 01:25:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	20:25:00	US/Eastern
EMLP	2017-01-01 01:40:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	20:40:00	US/Eastern
EMLP	2017-01-01 01:55:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	20:55:00	US/Eastern
EMLP	2017-01-01 02:10:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	21:10:00	US/Eastern
EMLP	2017-01-01 02:25:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	21:25:00	US/Eastern
EMLP	2017-01-01 02:40:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	21:40:00	US/Eastern
EMLP	2017-01-01 02:55:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	21:55:00	US/Eastern
EMLP	2017-01-01 03:10:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	22:10:00	US/Eastern
EMLP	2017-01-01 03:25:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	22:25:00	US/Eastern
EMLP	2017-01-01 03:40:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	22:40:00	US/Eastern
EMLP	2017-01-01 03:55:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	22:55:00	US/Eastern
EMLP	2017-01-01 04:10:00	0.0	0.011	0.035	-0.323	0.0	0.005	0.015	-0.336	1	0.5	0.513	0.975	1.0	1.894	0.0	2016-12-31	23:10:00	US/Eastern
