Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - EWG.txt

Data for: 2017-01-01 00:10:00 UTC - 2017-12-31 15:10:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
EWG	2017-01-01 00:10:00	0.35	0.06	0.604	0.48	0.14	0.046	0.407	0.229	1	3.292	1.937	-1.183	1.0	0.408	-0.004	2016-12-31	19:10:00	US/Eastern
EWG	2017-01-01 00:25:00	0.35	0.06	0.604	0.48	0.138	0.047	0.407	0.224	1	3.293	1.937	-1.184	1.0	0.408	-0.004	2016-12-31	19:25:00	US/Eastern
EWG	2017-01-01 00:40:00	0.35	0.061	0.604	0.479	0.137	0.047	0.407	0.22	1	3.294	1.937	-1.184	1.0	0.408	-0.004	2016-12-31	19:40:00	US/Eastern
EWG	2017-01-01 00:55:00	0.35	0.061	0.604	0.478	0.135	0.047	0.407	0.216	1	3.295	1.937	-1.185	1.0	0.408	-0.004	2016-12-31	19:55:00	US/Eastern
EWG	2017-01-01 01:10:00	0.35	0.062	0.604	0.477	0.134	0.048	0.407	0.212	1	3.296	1.936	-1.186	1.0	0.408	-0.004	2016-12-31	20:10:00	US/Eastern
EWG	2017-01-01 01:25:00	0.35	0.063	0.604	0.476	0.132	0.048	0.407	0.208	1	3.297	1.936	-1.186	1.0	0.408	-0.004	2016-12-31	20:25:00	US/Eastern
EWG	2017-01-01 01:40:00	0.35	0.063	0.604	0.475	0.131	0.048	0.407	0.204	1	3.298	1.936	-1.187	1.0	0.408	-0.004	2016-12-31	20:40:00	US/Eastern
EWG	2017-01-01 01:55:00	0.35	0.064	0.604	0.474	0.13	0.048	0.407	0.2	1	3.299	1.936	-1.187	1.0	0.408	-0.004	2016-12-31	20:55:00	US/Eastern
EWG	2017-01-01 02:55:00	0.0	0.049	0.6	-0.081	0.0	0.043	0.406	-0.107	1	3.303	1.935	-1.19	1.0	0.408	0.0	2016-12-31	21:55:00	US/Eastern
EWG	2017-01-01 03:10:00	0.0	0.049	0.6	-0.082	0.0	0.044	0.406	-0.107	1	3.304	1.935	-1.191	1.0	0.408	-0.001	2016-12-31	22:10:00	US/Eastern
EWG	2017-01-01 03:25:00	0.0	0.05	0.6	-0.083	0.0	0.044	0.406	-0.108	1	3.305	1.935	-1.191	1.0	0.408	-0.001	2016-12-31	22:25:00	US/Eastern
EWG	2017-01-01 03:40:00	0.0	0.05	0.6	-0.084	0.0	0.044	0.406	-0.109	1	3.306	1.935	-1.192	1.0	0.408	-0.001	2016-12-31	22:40:00	US/Eastern
EWG	2017-01-01 03:55:00	0.0	0.051	0.6	-0.085	0.0	0.045	0.406	-0.11	1	3.307	1.935	-1.193	1.0	0.408	-0.001	2016-12-31	22:55:00	US/Eastern
EWG	2017-01-01 04:10:00	0.0	0.051	0.6	-0.086	0.0	0.045	0.406	-0.111	1	3.308	1.934	-1.193	1.0	0.408	-0.001	2016-12-31	23:10:00	US/Eastern
EWG	2017-01-01 04:25:00	0.0	0.052	0.6	-0.087	0.0	0.045	0.406	-0.112	1	3.309	1.934	-1.194	1.0	0.408	-0.001	2016-12-31	23:25:00	US/Eastern
EWG	2017-01-01 04:40:00	0.0	0.053	0.6	-0.088	0.0	0.046	0.406	-0.113	1	3.31	1.934	-1.195	1.0	0.408	-0.001	2016-12-31	23:40:00	US/Eastern
EWG	2017-01-01 04:55:00	0.0	0.053	0.599	-0.089	0.0	0.046	0.406	-0.113	1	3.311	1.934	-1.195	1.0	0.408	-0.001	2016-12-31	23:55:00	US/Eastern
EWG	2017-01-01 05:10:00	0.0	0.054	0.599	-0.09	0.0	0.046	0.405	-0.114	1	3.313	1.934	-1.196	1.0	0.408	-0.001	2017-01-01	00:10:00	US/Eastern
EWG	2017-01-01 05:25:00	0.0	0.054	0.599	-0.091	0.0	0.047	0.405	-0.115	1	3.314	1.934	-1.197	1.0	0.408	-0.001	2017-01-01	00:25:00	US/Eastern
EWG	2017-01-01 05:40:00	0.0	0.055	0.599	-0.092	0.0	0.047	0.405	-0.116	1	3.315	1.933	-1.197	1.0	0.408	-0.001	2017-01-01	00:40:00	US/Eastern
EWG	2017-01-01 05:55:00	0.0	0.056	0.599	-0.093	0.0	0.047	0.405	-0.117	1	3.316	1.933	-1.198	1.0	0.408	-0.001	2017-01-01	00:55:00	US/Eastern
EWG	2017-01-01 06:10:00	0.0	0.056	0.599	-0.094	0.0	0.048	0.405	-0.118	1	3.317	1.933	-1.198	1.0	0.408	-0.001	2017-01-01	01:10:00	US/Eastern
EWG	2017-01-01 06:25:00	0.0	0.057	0.599	-0.095	0.0	0.048	0.405	-0.119	1	3.318	1.933	-1.199	1.0	0.408	-0.001	2017-01-01	01:25:00	US/Eastern
EWG	2017-01-01 06:40:00	0.0	0.057	0.599	-0.096	0.0	0.048	0.405	-0.12	1	3.319	1.933	-1.2	1.0	0.408	-0.001	2017-01-01	01:40:00	US/Eastern
EWG	2017-01-01 06:55:00	0.0	0.058	0.599	-0.097	0.0	0.049	0.405	-0.12	1	3.32	1.932	-1.2	1.0	0.408	-0.001	2017-01-01	01:55:00	US/Eastern
EWG	2017-01-01 07:10:00	0.0	0.058	0.599	-0.098	0.0	0.049	0.405	-0.121	1	3.321	1.932	-1.201	1.0	0.408	-0.001	2017-01-01	02:10:00	US/Eastern
EWG	2017-01-01 07:25:00	0.0	0.059	0.599	-0.099	0.0	0.049	0.405	-0.122	1	3.322	1.932	-1.202	1.0	0.408	-0.001	2017-01-01	02:25:00	US/Eastern
EWG	2017-01-01 07:40:00	0.0	0.06	0.599	-0.1	0.0	0.05	0.405	-0.123	1	3.323	1.932	-1.202	1.0	0.408	-0.001	2017-01-01	02:40:00	US/Eastern
EWG	2017-01-01 07:55:00	0.0	0.06	0.599	-0.101	0.0	0.05	0.405	-0.124	1	3.324	1.932	-1.203	1.0	0.408	-0.001	2017-01-01	02:55:00	US/Eastern
EWG	2017-01-01 08:10:00	0.0	0.061	0.599	-0.102	0.0	0.05	0.405	-0.125	1	3.325	1.932	-1.204	1.0	0.408	-0.001	2017-01-01	03:10:00	US/Eastern
EWG	2017-01-01 08:25:00	0.0	0.061	0.598	-0.103	0.0	0.051	0.405	-0.126	1	3.326	1.931	-1.204	1.0	0.408	-0.001	2017-01-01	03:25:00	US/Eastern
EWG	2017-01-01 08:40:00	0.0	0.062	0.598	-0.104	0.0	0.051	0.405	-0.126	1	3.327	1.931	-1.205	1.0	0.408	-0.001	2017-01-01	03:40:00	US/Eastern
